Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Derrick Henry,TEN,RB,28,8,8,18,14,0,0,0,870,9,183,140,0,155,169.0,0,1,0
Josh Allen,BUF,QB,26,8,8,0,0,2403,19,298,392,4,62,0,0,215,215.3,8,7,2
Nick Chubb,CLE,RB,27,8,8,15,10,0,0,0,841,10,149,70,0,153,163.1,0,0,0
Travis Kelce,KAN,TE,33,8,8,77,57,0,0,0,5,0,2,659,7,110,167.4,0,0,0
Patrick Mahomes,KAN,QB,27,8,8,0,0,2605,21,331,176,1,27,0,0,204,203.8,6,2,0
Tyreek Hill,MIA,WR,28,9,9,100,76,0,0,0,25,0,5,1104,3,131,206.9,0,1,0
Austin Ekeler,LAC,RB,27,8,8,69,60,0,0,0,427,6,98,381,4,139,198.8,0,3,1
Stefon Diggs,BUF,WR,29,8,8,83,60,0,0,0,0,0,0,857,7,128,187.7,0,1,0
Joe Burrow,CIN,QB,26,9,9,0,0,2535,18,333,141,4,35,0,0,200,199.5,6,4,2
Cooper Kupp,LAR,WR,29,8,8,93,72,0,0,1,52,1,9,813,6,127,198.5,0,2,1
Lamar Jackson,BAL,QB,25,9,9,0,0,1768,16,257,635,2,86,0,0,196,196.2,6,4,1
Joe Mixon,CIN,RB,26,9,9,50,38,0,0,0,585,6,151,272,2,134,171.7,0,0,0
Jalen Hurts,PHI,QB,24,8,8,0,0,2042,12,239,326,6,88,0,0,194,194.3,2,5,1
Saquon Barkley,NYG,RB,25,8,8,35,28,0,0,0,779,5,163,189,0,129,156.8,0,1,0
Jaylen Waddle,MIA,WR,24,9,9,70,47,0,0,0,17,0,2,812,6,117,163.9,0,1,1
Josh Jacobs,LVR,RB,24,8,8,29,25,0,0,0,743,6,138,172,0,128,152.5,0,1,0
Justin Jefferson,MIN,WR,23,8,8,84,59,23,0,1,13,1,2,867,3,115,173.9,0,0,0
Christian McCaffrey,2TM,RB,26,8,7,54,43,34,1,1,525,3,111,356,2,123,166.5,0,1,0
A.J. Brown,PHI,WR,25,8,7,69,43,0,0,0,0,0,0,718,6,108,150.8,0,0,0
Davante Adams,LVR,WR,30,8,8,85,48,0,0,0,-1,0,3,658,7,108,155.7,0,1,0
Rhamondre Stevenson,NWE,RB,24,9,3,43,35,0,0,0,618,4,129,227,1,115,149.5,0,0,0
Kyler Murray,ARI,QB,25,9,9,0,0,2168,12,360,359,2,59,0,0,175,174.6,6,8,2
Taysom Hill,NOR,TE,32,8,3,5,3,101,1,9,343,5,40,16,1,80,82.9,0,1,0
Mark Andrews,BAL,TE,27,8,8,64,42,0,0,0,7,0,2,488,5,80,121.5,0,0,0
Travis Etienne,JAX,RB,23,9,4,28,19,0,0,0,680,4,120,174,0,109,128.4,0,3,1
Jamaal Williams,DET,RB,27,8,5,12,9,0,0,0,545,8,126,57,0,108,117.2,0,2,1
Dalvin Cook,MIN,RB,27,8,8,28,19,0,0,0,608,5,131,119,1,107,125.7,0,1,1
Miles Sanders,PHI,RB,25,8,8,13,11,0,0,0,656,6,131,42,0,106,116.8,0,0,0
Ja'Marr Chase,CIN,WR,22,7,7,74,47,0,0,0,2,0,4,605,6,95,141.7,0,1,1
Justin Fields,CHI,QB,23,9,9,0,0,1322,10,187,602,4,91,0,0,165,165.1,6,11,1
Kenneth Walker III,SEA,RB,22,8,4,16,12,0,0,0,570,7,111,48,0,104,115.8,0,0,0
Aaron Jones,GNB,RB,28,9,9,40,32,0,0,0,600,1,107,210,3,103,135.0,0,1,1
Geno Smith,SEA,QB,32,9,9,0,0,2199,15,283,196,1,41,0,0,164,163.6,4,3,1
Leonard Fournette,TAM,RB,27,9,9,49,42,0,0,0,405,2,121,314,3,102,143.9,0,0,0
Dameon Pierce,HOU,RB,22,8,8,24,20,0,0,0,678,3,148,98,1,102,121.6,0,2,0
Zach Ertz,ARI,TE,32,9,9,68,46,0,0,0,0,0,0,394,4,67,113.4,0,0,0
T.J. Hockenson,2TM,TE,25,8,8,52,35,0,0,0,0,0,0,465,3,67,101.5,0,0,0
Christian Kirk,JAX,WR,26,9,9,70,43,0,0,1,12,0,3,574,5,87,129.6,0,1,1
Dallas Goedert,PHI,TE,27,8,8,50,40,0,0,0,0,0,0,521,2,64,104.1,0,0,0
Breece Hall,NYJ,RB,21,7,2,31,19,0,0,0,463,4,80,218,1,96,115.1,0,1,1
Khalil Herbert,CHI,RB,24,9,1,7,6,0,0,0,586,4,98,62,1,95,100.8,0,0,0
Amari Cooper,CLE,WR,28,8,8,66,39,0,0,1,0,0,0,553,5,83,122.3,1,0,0
Tony Pollard,DAL,RB,25,8,2,19,12,0,0,0,506,5,81,121,0,93,104.7,0,0,0
Tyler Boyd,CIN,WR,28,9,7,49,37,23,0,1,0,0,0,537,4,81,117.6,0,0,0
Tyler Lockett,SEA,WR,30,9,9,66,51,0,0,0,0,0,0,598,4,80,130.8,0,2,2
Mike Evans,TAM,WR,29,8,8,70,44,0,0,0,0,0,0,617,3,80,123.7,0,0,0
Alvin Kamara,NOR,RB,27,7,6,49,36,0,0,0,443,1,104,319,2,90,126.2,0,2,2
CeeDee Lamb,DAL,WR,23,8,8,73,42,0,0,0,12,0,5,556,3,75,116.8,0,0,0
Tee Higgins,CIN,WR,23,9,8,58,41,0,0,0,0,0,0,564,3,74,115.4,0,0,0
Terry McLaurin,WAS,WR,27,9,9,62,38,0,0,0,11,0,4,609,2,74,112.0,0,1,0
Chris Olave,NOR,WR,22,8,6,72,43,0,0,0,0,0,0,618,2,74,116.8,0,1,1
Curtis Samuel,WAS,WR,26,9,7,66,45,0,0,0,122,0,18,455,3,74,118.7,0,1,1
Brandon Aiyuk,SFO,WR,24,8,8,55,38,0,0,0,7,0,1,483,4,73,111.0,0,0,0
Allen Lazard,GNB,WR,27,7,7,51,30,0,0,0,0,0,0,427,5,73,102.7,0,0,0
Tyler Conklin,NYJ,TE,27,9,9,50,33,0,0,0,1,0,1,316,3,50,82.7,0,2,0
D.K. Metcalf,SEA,WR,25,9,9,68,42,0,0,0,0,0,0,510,4,71,113.0,0,2,2
Antonio Gibson,WAS,RB,24,9,6,38,31,0,0,0,328,2,89,239,2,81,111.7,0,0,0
Mike Gesicki,MIA,TE,27,9,1,32,22,0,0,0,0,0,0,238,4,48,69.8,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,8,6,21,17,0,0,0,293,3,69,151,3,80,97.4,0,0,0
Gabriel Davis,BUF,WR,23,7,7,38,18,0,0,0,0,0,0,451,4,69,87.1,0,0,0
Mecole Hardman,KAN,WR,24,8,5,34,25,0,0,0,31,2,4,297,4,69,93.8,0,1,0
Deebo Samuel,SFO,WR,26,7,6,54,32,0,0,0,138,1,24,387,2,69,100.5,0,2,1
JuJu Smith-Schuster,KAN,WR,26,8,8,60,44,0,0,0,0,0,0,582,2,68,112.2,0,2,1
Gerald Everett,LAC,TE,28,8,5,53,32,0,0,0,0,0,1,341,2,46,78.1,0,0,0
Trevor Lawrence,JAX,QB,23,9,9,0,0,2075,11,308,152,3,33,0,0,140,140.2,6,6,5
Mike Williams,LAC,WR,28,7,7,59,37,0,0,0,0,0,0,495,3,68,104.5,0,0,0
Devin Duvernay,BAL,WR,25,9,9,33,25,0,0,0,55,1,7,318,3,67,92.3,0,0,0
David Njoku,CLE,TE,26,7,7,42,34,0,0,0,-6,0,1,418,1,45,79.2,0,1,1
D.J. Moore,CAR,WR,25,9,9,71,35,0,0,0,39,0,7,449,3,67,101.8,0,0,0
Marquise Brown,ARI,WR,25,6,6,64,43,0,0,0,0,0,0,485,3,67,109.5,0,1,0
Jeff Wilson,2TM,RB,27,9,6,16,13,0,0,0,519,2,101,112,1,77,90.1,0,2,2
Juwan Johnson,NOR,TE,26,9,5,36,23,0,0,0,0,0,0,258,3,44,66.8,0,0,0
Kirk Cousins,MIN,QB,34,8,8,0,0,1999,13,304,38,2,15,0,0,138,137.8,6,2,1
Tom Brady,TAM,QB,45,9,9,0,0,2547,10,398,-5,0,12,0,0,137,137.4,1,3,2
Tory Carter,TEN,,23,5,3,0,0,0,0,0,0,0,0,0,0,,,0,0,0
James Robinson,2TM,RB,24,9,5,14,11,0,0,0,405,3,99,51,2,76,86.6,0,1,0
Alex Armah,WAS,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Marcus Mariota,ATL,QB,29,9,9,0,0,1561,10,201,304,3,60,0,0,137,136.8,6,8,3
Tua Tagovailoa,MIA,QB,24,7,7,0,0,1980,15,216,35,0,18,0,0,137,136.7,3,2,0
Justin Herbert,LAC,QB,24,8,8,1,1,2254,13,351,51,0,22,-8,0,132,133.5,5,2,2
Daniel Jones,NYG,QB,25,8,8,0,0,1399,6,220,363,3,64,0,0,128,128.3,2,3,2
Aaron Rodgers,GNB,QB,39,9,9,0,0,2091,14,317,60,0,14,0,0,126,125.6,7,6,3
Jared Goff,DET,QB,28,8,8,1,1,2041,14,275,29,0,13,5,0,125,126.0,7,4,3
Derek Carr,LVR,QB,31,8,8,0,0,1880,11,273,67,0,15,0,0,116,115.9,5,3,0
Jacoby Brissett,CLE,QB,30,8,8,0,0,1862,7,255,142,2,31,0,0,113,112.7,5,5,3
Jimmy Garoppolo,SFO,QB,31,7,6,0,0,1691,11,210,23,1,13,0,0,108,107.9,4,3,2
Russell Wilson,DEN,QB,34,7,7,1,1,1694,6,228,113,1,25,1,0,101,102.2,4,1,0
Carson Wentz,WAS,QB,30,6,6,0,0,1489,10,232,79,0,19,0,0,97,97.5,6,6,1
Matthew Stafford,LAR,QB,34,8,8,0,0,1928,8,285,5,1,12,0,0,94,93.6,8,5,3
Matt Ryan,IND,QB,37,7,7,0,0,2008,9,297,11,0,12,0,0,93,93.4,9,11,3
Davis Mills,HOU,QB,24,8,8,0,0,1656,10,258,28,0,12,0,0,91,91.0,8,4,1
Andy Dalton,NOR,QB,35,6,6,0,0,1385,10,190,33,0,14,0,0,89,88.7,5,1,1
Raheem Mostert,MIA,RB,30,9,7,22,13,0,0,0,478,2,110,97,1,76,88.5,0,0,0
Ezekiel Elliott,DAL,RB,27,7,7,8,6,0,0,0,443,4,109,32,0,72,77.5,0,0,0
Cordarrelle Patterson,ATL,RB,31,5,4,8,5,0,0,0,384,5,71,37,0,72,77.1,0,0,0
Michael Carter,NYJ,RB,23,9,7,32,25,0,0,0,330,3,85,196,0,71,95.6,0,1,0
Zach Wilson,NYJ,QB,23,6,6,1,1,1202,4,167,68,1,21,2,1,71,72.1,5,1,1
