Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Josh Allen,BUF,QB,26,5,5,0,0,1651,14,199,225,2,35,0,0,147,146.5,4,4,1
Nick Chubb,CLE,RB,27,5,5,9,6,0,0,0,593,7,98,37,0,105,111.0,0,0,0
Travis Kelce,KAN,TE,33,5,5,42,33,0,0,0,1,0,1,347,7,79,111.8,0,0,0
Lamar Jackson,BAL,QB,25,5,5,0,0,1067,12,149,374,2,49,0,0,130,130.1,5,1,0
Jalen Hurts,PHI,QB,24,5,5,0,0,1359,4,159,266,6,68,0,0,129,129.0,2,2,0
Cooper Kupp,LAR,WR,29,5,5,64,49,0,0,1,24,1,2,527,4,83,132.1,0,1,1
Patrick Mahomes,KAN,QB,27,5,5,0,0,1398,15,189,92,0,17,0,0,123,123.1,2,1,0
Saquon Barkley,NYG,RB,25,5,5,23,18,0,0,0,533,3,97,143,0,88,105.6,0,1,0
Stefon Diggs,BUF,WR,29,5,5,52,39,0,0,0,0,0,0,508,5,81,119.8,0,0,0
Derrick Henry,TEN,RB,28,5,5,14,10,0,0,0,408,5,104,121,0,83,92.9,0,1,0
Austin Ekeler,LAC,RB,27,5,5,33,31,0,0,0,313,3,61,214,2,83,113.7,0,1,0
Justin Jefferson,MIN,WR,23,5,5,55,40,23,0,1,3,1,1,547,2,76,115.9,0,0,0
Josh Jacobs,LVR,RB,24,5,5,18,17,0,0,0,490,3,91,129,0,80,96.9,0,1,0
Mark Andrews,BAL,TE,27,5,5,46,32,0,0,0,3,0,1,349,4,59,91.2,0,0,0
Davante Adams,LVR,WR,30,5,5,54,29,0,0,0,0,0,2,414,5,71,100.4,0,1,0
Taysom Hill,NOR,TE,32,4,1,1,1,22,1,1,228,5,21,2,0,58,58.9,0,1,0
Tyreek Hill,MIA,WR,28,5,5,50,38,0,0,0,18,0,4,524,2,66,104.2,0,1,0
Jamaal Williams,DET,RB,27,5,2,8,5,0,0,0,332,6,77,30,0,72,77.2,0,0,0
Christian McCaffrey,CAR,RB,26,5,5,35,26,0,0,0,324,2,72,188,1,69,95.2,0,0,0
Jaylen Waddle,MIA,WR,24,5,5,39,24,0,0,0,17,0,2,404,3,60,84.1,0,0,0
Marquise Brown,ARI,WR,25,5,5,55,38,0,0,0,0,0,0,417,3,60,97.7,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,5,5,18,16,0,0,0,223,2,50,137,3,66,82.0,0,0,0
T.J. Hockenson,DET,TE,25,5,5,34,19,0,0,0,0,0,0,267,3,47,65.7,0,0,0
Leonard Fournette,TAM,RB,27,5,5,30,26,0,0,0,280,1,74,194,2,65,91.4,0,0,0
Dameon Pierce,HOU,RB,22,5,5,15,13,0,0,0,412,3,86,57,0,65,77.9,0,2,0
Breece Hall,NYJ,RB,21,5,0,29,17,0,0,0,275,2,56,213,1,65,81.8,0,1,1
Kyler Murray,ARI,QB,25,5,5,0,0,1241,6,215,133,2,28,0,0,99,98.9,3,2,0
Miles Sanders,PHI,RB,25,5,5,12,10,0,0,0,414,3,87,41,0,64,73.5,0,0,0
Geno Smith,SEA,QB,32,5,5,0,0,1305,9,157,77,1,20,0,0,98,97.9,2,1,0
Carson Wentz,WAS,QB,30,6,6,0,0,1489,10,232,79,0,19,0,0,97,97.5,6,6,1
Khalil Herbert,CHI,RB,24,6,1,5,5,0,0,0,403,3,63,37,0,62,67.0,0,0,0
Deebo Samuel,SFO,WR,26,5,4,37,20,0,0,0,125,1,21,266,2,55,75.1,0,2,1
Dalvin Cook,MIN,RB,27,5,5,15,11,0,0,0,373,3,81,74,0,61,71.7,0,1,1
Joe Burrow,CIN,QB,26,5,5,0,0,1316,9,191,85,1,23,0,0,95,95.1,5,3,1
Justin Herbert,LAC,QB,24,5,5,0,0,1478,10,200,17,0,16,0,0,95,94.8,2,1,1
Jared Goff,DET,QB,28,5,5,0,0,1355,11,186,23,0,10,0,0,95,94.5,4,2,1
Aaron Jones,GNB,RB,28,5,5,19,14,0,0,0,390,1,61,98,1,59,72.8,0,1,1
Christian Kirk,JAX,WR,26,5,5,39,21,0,0,0,3,0,1,338,3,52,73.1,0,0,0
Dallas Goedert,PHI,TE,27,5,5,29,24,0,0,0,0,0,0,335,1,40,63.5,0,0,0
Amon-Ra St. Brown,DET,WR,23,4,4,39,27,0,0,0,68,0,2,271,3,52,78.9,0,0,0
Mike Williams,LAC,WR,28,5,5,44,28,0,0,0,0,0,0,392,2,51,79.2,0,0,0
Chris Olave,NOR,WR,22,5,3,42,25,0,0,0,0,0,0,389,2,51,75.9,0,1,1
Tyler Lockett,SEA,WR,30,5,5,40,32,0,0,0,0,0,0,406,2,51,82.6,0,1,1
James Robinson,JAX,RB,24,5,5,9,8,0,0,0,286,3,69,45,1,57,65.1,0,1,0
