Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Josh Jacobs,LVR,RB,24,12,12,50,42,0,0,0,1303,10,242,331,0,221,263.4,0,2,1
Travis Kelce,KAN,TE,33,12,12,108,77,0,0,0,5,0,2,968,12,169,246.3,0,1,1
Davante Adams,LVR,WR,30,12,12,135,79,0,0,0,-1,0,3,1176,12,190,268.5,0,1,0
Jalen Hurts,PHI,QB,24,12,12,0,0,2940,20,357,609,9,132,0,0,305,304.5,3,9,2
Patrick Mahomes,KAN,QB,27,12,12,0,0,3808,30,469,283,2,44,0,0,301,300.6,8,4,0
Stefon Diggs,BUF,WR,29,12,12,128,91,0,0,0,0,0,0,1202,10,180,271.2,0,1,0
Josh Allen,BUF,QB,26,12,12,0,0,3406,25,443,581,5,89,0,0,294,294.3,11,10,4
Justin Jefferson,MIN,WR,23,12,12,127,88,34,0,2,24,1,4,1277,6,175,263.5,0,0,0
Derrick Henry,TEN,RB,28,12,12,29,23,4,1,2,1078,10,258,286,0,201,223.6,0,2,0
Tyreek Hill,MIA,WR,28,12,12,129,96,0,0,0,30,0,6,1379,5,171,266.9,0,1,0
Nick Chubb,CLE,RB,27,12,12,24,17,0,0,0,1119,12,217,152,0,199,216.1,0,1,1
Joe Burrow,CIN,QB,26,12,12,0,0,3446,25,440,224,5,59,0,0,274,274.2,8,4,2
Austin Ekeler,LAC,RB,27,12,12,104,85,0,0,0,589,7,138,564,5,183,268.3,0,4,2
Saquon Barkley,NYG,RB,25,12,12,52,40,0,0,0,1055,8,242,241,0,180,219.6,0,1,0
A.J. Brown,PHI,WR,25,12,11,96,61,0,0,0,0,0,0,950,9,145,206.0,0,2,2
Christian McCaffrey,2TM,RB,26,12,11,83,66,34,1,1,700,4,160,559,3,173,239.3,0,1,0
Tony Pollard,DAL,RB,25,12,4,36,25,0,0,0,852,8,148,259,2,171,196.1,0,0,0
Jamaal Williams,DET,RB,27,12,6,12,9,0,0,0,769,14,188,57,0,165,173.6,0,3,2
CeeDee Lamb,DAL,WR,23,12,12,111,69,0,0,0,46,0,9,928,6,133,202.4,0,0,0
Jaylen Waddle,MIA,WR,24,12,12,90,57,0,0,0,17,0,2,972,6,133,189.9,0,1,1
Justin Fields,CHI,QB,23,12,12,0,0,1896,13,253,905,8,128,0,0,246,246.3,10,13,1
Amon-Ra St. Brown,DET,WR,23,11,11,100,76,0,0,0,83,0,6,830,6,127,203.3,0,0,0
Cooper Kupp,LAR,WR,29,9,9,98,75,0,0,1,52,1,9,812,6,126,201.4,0,2,1
Dalvin Cook,MIN,RB,27,12,12,42,28,0,0,0,927,7,198,157,1,154,182.4,0,1,1
Miles Sanders,PHI,RB,25,12,10,20,17,0,0,0,924,9,187,74,0,154,170.8,0,0,0
Aaron Jones,GNB,RB,28,13,13,58,48,0,0,0,847,2,164,328,4,154,201.5,0,3,1
Christian Kirk,JAX,WR,26,12,12,99,62,0,0,1,7,0,4,829,7,124,185.6,0,1,1
Amari Cooper,CLE,WR,28,12,12,102,61,0,0,1,0,0,0,832,7,123,184.2,1,0,0
Taysom Hill,NOR,TE,32,12,7,11,7,136,1,15,419,5,61,66,2,100,106.9,0,1,0
Tyler Lockett,SEA,WR,30,12,12,90,66,0,0,0,0,0,0,836,7,122,187.6,0,2,2
Mark Andrews,BAL,TE,27,11,11,86,56,0,0,0,8,0,3,654,5,98,154.2,0,1,0
Lamar Jackson,BAL,QB,25,12,12,0,0,2242,17,326,764,3,112,0,0,236,236.1,7,5,2
Tee Higgins,CIN,WR,23,12,11,85,60,0,0,0,0,0,0,861,5,116,176.1,0,0,0
Terry McLaurin,WAS,WR,27,13,13,98,62,0,0,0,17,0,6,945,3,114,176.2,0,1,0
Rhamondre Stevenson,NWE,RB,24,12,4,67,56,0,0,0,734,4,161,383,1,142,197.7,0,1,0
Joe Mixon,CIN,RB,26,10,10,53,41,0,0,0,605,6,158,314,2,140,180.9,0,0,0
T.J. Hockenson,2TM,TE,25,12,11,83,56,0,0,0,0,0,0,620,4,88,144.0,0,0,0
Geno Smith,SEA,QB,32,12,12,0,0,3169,22,392,243,1,52,0,0,225,225.1,6,6,4
Chris Olave,NOR,WR,22,12,7,98,60,0,0,0,0,0,0,887,3,107,166.7,0,1,1
D.K. Metcalf,SEA,WR,25,12,12,100,67,0,0,0,0,0,0,798,5,106,172.8,0,2,2
Brandon Aiyuk,SFO,WR,24,12,12,83,56,0,0,0,7,0,1,698,6,105,160.5,0,1,1
Ja'Marr Chase,CIN,WR,22,8,8,82,54,0,0,0,2,0,4,702,6,104,158.4,0,1,1
Garrett Wilson,NYJ,WR,22,12,7,94,57,0,0,1,4,0,4,790,4,103,160.4,0,1,0
Gabriel Davis,BUF,WR,23,11,11,67,35,0,0,0,0,0,0,665,6,103,137.5,0,0,0
Kenneth Walker III,SEA,RB,22,11,7,26,19,0,0,0,649,9,138,116,0,131,149.5,0,0,0
Christian Watson,GNB,WR,23,10,7,40,25,0,0,0,68,2,5,401,7,101,125.9,0,0,0
Deebo Samuel,SFO,WR,26,11,10,86,50,0,0,0,207,2,37,569,2,100,149.6,0,2,1
Curtis Samuel,WAS,WR,26,13,10,79,54,0,0,0,188,1,31,556,3,96,150.4,0,1,1
Dameon Pierce,HOU,RB,22,12,12,39,30,0,0,0,861,3,198,165,1,125,154.6,0,3,1
Cole Kmet,CHI,TE,23,13,13,50,35,0,0,0,9,0,2,408,5,72,106.7,0,1,0
Mike Evans,TAM,WR,29,11,11,89,55,0,0,0,0,0,0,761,3,94,149.1,0,0,0
DeVonta Smith,PHI,WR,24,12,12,87,61,0,0,0,0,0,0,711,4,93,154.1,0,1,1
Justin Herbert,LAC,QB,24,12,12,2,2,3339,20,510,135,0,41,-10,0,210,212.1,7,5,2
Dallas Goedert,PHI,TE,27,9,9,53,43,0,0,0,0,0,0,544,3,70,113.4,0,1,1
Tyler Boyd,CIN,WR,28,12,10,65,45,23,0,1,0,0,0,655,4,92,137.4,0,0,0
Travis Etienne,JAX,RB,23,12,7,34,25,0,0,0,782,4,146,214,0,122,146.6,0,4,2
Allen Lazard,GNB,WR,27,11,11,75,45,0,0,0,0,0,0,620,5,92,137.0,0,0,0
George Kittle,SFO,TE,29,10,10,54,38,0,0,0,0,0,0,472,4,69,107.2,0,1,1
Zach Ertz,ARI,TE,32,10,10,69,47,0,0,0,0,0,0,406,4,69,115.6,0,0,0
Leonard Fournette,TAM,RB,27,11,9,57,49,0,0,1,511,3,145,347,3,120,168.8,1,0,0
Ezekiel Elliott,DAL,RB,27,10,9,13,11,0,0,0,654,8,157,54,0,119,129.8,0,0,0
D.J. Moore,CAR,WR,25,12,12,88,46,0,0,0,39,0,7,605,4,88,134.4,0,0,0
Pat Freiermuth,PIT,TE,24,11,6,76,50,0,0,0,0,0,0,597,1,66,115.7,0,0,0
Jonathan Taylor,IND,RB,23,10,10,39,27,0,0,0,861,4,192,130,0,117,144.1,0,3,3
Juwan Johnson,NOR,TE,26,12,8,49,31,0,0,0,0,0,0,349,5,65,95.9,0,0,0
Najee Harris,PIT,RB,24,12,12,37,30,4,0,1,671,4,175,148,2,116,146.1,0,2,1
Daniel Jones,NYG,QB,25,12,12,0,0,2365,11,347,522,4,91,0,0,203,202.8,4,5,3
Michael Pittman Jr.,IND,WR,25,12,12,107,76,0,0,0,0,0,0,755,2,86,161.5,0,2,1
Trevor Lawrence,JAX,QB,23,12,12,0,0,2834,17,416,211,3,43,0,0,202,202.5,6,8,6
Antonio Gibson,WAS,RB,24,13,6,51,42,0,0,0,515,3,139,326,2,114,156.1,0,0,0
Kyler Murray,ARI,QB,25,10,10,0,0,2359,14,389,415,3,66,0,0,200,199.9,7,8,2
Gerald Everett,LAC,TE,28,11,7,65,43,0,0,0,0,0,1,462,2,60,103.2,0,0,0
David Montgomery,CHI,RB,25,12,12,30,25,0,0,0,641,4,160,244,0,111,135.5,0,1,1
Tyler Conklin,NYJ,TE,27,12,12,63,40,0,0,0,1,0,1,390,3,57,97.1,0,2,0
Josh Palmer,LAC,WR,24,11,10,86,57,0,0,0,4,0,1,612,3,80,136.6,0,1,0
Tory Carter,TEN,,23,9,3,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Devin Singletary,BUF,RB,25,12,12,42,31,0,0,0,603,4,137,226,1,109,139.9,0,2,2
Alex Armah,WAS,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Marcus Mariota,ATL,QB,29,13,13,0,0,2219,15,300,438,4,85,0,0,197,196.6,9,8,3
Derek Carr,LVR,QB,31,12,12,0,0,2980,20,414,77,0,17,0,0,191,190.9,8,3,0
Tua Tagovailoa,MIA,QB,24,10,10,0,0,2859,21,317,35,0,18,0,0,190,189.9,5,3,1
Tom Brady,TAM,QB,45,12,12,1,0,3332,16,524,-7,0,20,0,0,189,188.6,3,3,2
Kirk Cousins,MIN,QB,34,12,12,0,0,2933,18,449,58,2,25,0,0,189,189.1,9,5,2
Aaron Rodgers,GNB,QB,39,13,13,0,0,2864,22,423,67,0,20,0,0,187,187.3,9,7,4
Jared Goff,DET,QB,28,12,12,1,1,3022,19,405,42,0,21,5,0,186,186.6,7,5,3
Jacoby Brissett,CLE,QB,30,12,11,0,0,2608,12,368,238,2,47,0,0,168,168.1,6,6,4
Jimmy Garoppolo,SFO,QB,31,11,10,0,0,2437,16,308,33,2,23,0,0,165,164.8,4,3,2
Matt Ryan,IND,QB,37,11,11,0,0,2875,13,428,70,1,24,0,0,144,144.0,13,14,5
Russell Wilson,DEN,QB,34,11,11,1,1,2558,8,358,158,1,37,1,0,144,145.2,5,5,1
Andy Dalton,NOR,QB,35,10,10,0,0,2252,15,299,54,0,24,0,0,141,141.5,7,3,1
Ryan Tannehill,TEN,QB,34,10,10,0,0,2117,11,265,81,1,29,0,0,133,132.8,4,2,1
Davis Mills,HOU,QB,24,10,10,0,0,2144,11,328,38,1,17,0,0,116,115.6,11,4,1
Dak Prescott,DAL,QB,29,7,7,0,0,1563,13,212,71,1,19,0,0,114,113.6,7,1,0
Kenny Pickett,PIT,QB,24,9,8,0,0,1797,4,293,209,3,42,0,0,111,110.8,8,3,1
Jeff Wilson,2TM,RB,27,12,7,26,16,0,0,0,680,4,132,149,1,109,124.9,0,2,2
Alvin Kamara,NOR,RB,27,11,10,68,51,0,0,0,550,1,143,433,2,108,159.3,0,4,4
Matthew Stafford,LAR,QB,34,9,9,0,0,2087,10,303,9,1,13,0,0,108,108.4,8,5,3
Mac Jones,NWE,QB,24,9,9,0,0,1963,7,270,88,1,30,0,0,105,105.3,7,4,1
Khalil Herbert,CHI,RB,24,10,1,7,6,0,0,0,643,4,108,62,1,101,106.5,0,0,0
Cordarrelle Patterson,ATL,RB,31,9,8,16,11,0,0,0,566,5,108,65,0,97,108.1,0,1,1
D'Andre Swift,DET,RB,23,9,6,41,28,0,0,0,354,4,64,235,2,97,124.9,0,1,0
Carson Wentz,WAS,QB,30,6,6,0,0,1489,10,232,79,0,19,0,0,97,97.5,6,6,1
AJ Dillon,GNB,RB,24,13,3,33,23,0,0,0,624,3,143,159,0,96,119.3,0,1,0
Breece Hall,NYJ,RB,21,7,2,31,19,0,0,0,463,4,80,218,1,96,115.1,0,1,1
James Conner,ARI,RB,27,9,9,35,27,0,0,0,476,4,121,171,1,93,119.7,0,3,1
Raheem Mostert,MIA,RB,30,11,9,26,17,0,0,0,573,3,125,119,1,93,110.2,0,0,0
Taylor Heinicke,WAS,QB,29,7,7,0,0,1444,9,212,67,1,23,0,0,92,92.5,5,4,2
Samaje Perine,CIN,RB,27,12,2,40,32,0,0,0,327,1,74,262,4,89,120.9,0,0,0
D'Onta Foreman,CAR,RB,26,12,5,8,4,0,0,0,563,4,126,25,0,85,88.8,0,0,0
Kareem Hunt,CLE,RB,27,12,0,31,25,0,0,0,417,3,102,173,1,83,108.0,0,0,0
Tyler Allgeier,ATL,RB,22,12,5,10,10,0,0,0,604,1,131,87,1,81,91.1,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,10,6,23,17,0,0,0,302,3,71,151,3,81,98.3,0,0,0
Brian Robinson Jr.,WAS,RB,23,9,7,9,8,0,0,0,563,2,147,42,1,79,86.5,0,1,0
JuJu Smith-Schuster,KAN,WR,26,11,10,71,52,0,0,0,0,0,0,688,2,79,130.8,0,2,1
James Robinson,2TM,RB,24,11,5,14,11,0,0,0,425,3,110,51,2,78,88.6,0,1,0
Adam Thielen,MIN,WR,32,12,12,83,56,0,0,0,0,0,0,580,3,78,134.0,0,0,0
Chris Godwin,TAM,WR,26,10,9,99,68,0,0,0,5,0,3,648,2,77,145.3,0,0,0
Drake London,ATL,WR,21,13,11,81,47,0,0,0,0,0,0,533,4,77,124.3,0,1,1
Zach Wilson,NYJ,QB,23,7,7,1,1,1279,4,189,94,1,24,2,1,77,77.8,5,1,1
Michael Carter,NYJ,RB,23,11,9,36,28,0,0,0,370,3,99,209,0,76,103.9,0,1,0
Devin Duvernay,BAL,WR,25,12,12,45,35,0,0,0,84,1,12,378,3,76,111.2,0,0,0
Jakobi Meyers,NWE,WR,26,10,9,67,50,0,0,0,9,0,2,593,3,76,126.2,0,1,1
Mack Hollins,LVR,WR,29,12,11,73,45,4,0,1,0,0,1,566,3,75,119.8,0,0,0
DeAndre Hopkins,ARI,WR,30,6,6,64,49,0,0,0,0,0,0,574,3,75,124.4,0,1,0
Courtland Sutton,DEN,WR,27,12,12,89,52,0,0,0,5,0,1,688,1,75,127.3,0,0,0
Baker Mayfield,CAR,QB,27,7,6,0,0,1313,6,206,52,1,16,0,0,74,73.7,6,6,1
Donovan Peoples-Jones,CLE,WR,23,12,10,68,45,0,0,0,2,0,1,637,1,74,118.9,0,1,1
George Pickens,PIT,WR,21,12,7,61,37,0,0,0,24,1,3,512,2,74,110.6,0,0,0
Kenyan Drake,BAL,RB,28,10,5,19,13,0,0,0,421,3,92,69,1,73,86.0,0,0,0
Latavius Murray,2TM,RB,32,8,2,19,17,0,0,0,405,4,104,84,0,73,89.9,0,0,0
Isiah Pacheco,KAN,RB,22,12,6,6,6,0,0,0,521,3,111,46,0,73,78.7,0,3,1
Marquise Brown,ARI,WR,25,7,7,72,49,0,0,0,0,0,0,531,3,71,120.1,0,1,0
Parris Campbell,IND,WR,25,13,12,68,50,0,0,0,31,0,3,497,3,71,120.8,0,0,0
Jerry Jeudy,DEN,WR,23,10,9,59,34,0,0,0,1,0,1,514,3,70,103.5,0,0,0
Isaiah McKenzie,BUF,WR,27,11,7,50,35,0,0,0,42,1,7,359,4,70,105.1,0,0,0
Mecole Hardman,KAN,WR,24,8,5,34,25,0,0,0,31,2,4,297,4,69,93.8,0,1,0
Darius Slayton,NYG,WR,25,11,7,52,33,0,0,0,0,0,0,566,2,69,101.6,0,0,0
