Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Patrick Mahomes,KAN,QB,27,16,16,1,1,5048,40,622,329,4,58,6,0,401,402.4,12,5,0
Josh Jacobs,LVR,RB,24,16,16,61,51,0,0,0,1608,12,323,395,0,270,321.3,0,3,1
Justin Jefferson,MIN,WR,23,16,16,179,124,34,0,2,24,1,4,1771,8,237,360.9,0,0,0
Austin Ekeler,LAC,RB,27,16,16,123,103,0,0,0,881,13,193,686,5,261,363.7,0,4,2
Travis Kelce,KAN,TE,33,16,16,145,104,0,0,0,5,0,2,1300,12,203,306.5,0,1,1
Christian McCaffrey,2TM,RB,26,16,15,105,82,34,1,1,1094,8,234,707,4,257,339.5,0,1,0
Derrick Henry,TEN,RB,28,15,15,40,32,4,1,2,1429,13,319,379,0,257,289.0,0,6,3
Davante Adams,LVR,WR,30,16,16,171,95,0,0,0,-1,0,3,1443,14,228,323.2,0,1,0
Tyreek Hill,MIA,WR,28,16,16,165,117,0,0,0,32,1,7,1687,7,226,342.9,0,1,0
Josh Allen,BUF,QB,26,15,15,0,0,4029,32,536,746,7,115,0,0,374,373.8,13,13,5
Jalen Hurts,PHI,QB,24,14,14,0,0,3472,22,425,747,13,156,0,0,370,369.6,5,9,2
Nick Chubb,CLE,RB,27,16,16,31,22,0,0,0,1448,12,290,194,0,236,258.2,0,1,1
A.J. Brown,PHI,WR,25,16,15,135,84,0,0,0,0,0,0,1401,11,202,286.1,0,2,2
Saquon Barkley,NYG,RB,25,16,16,76,57,0,0,0,1312,10,295,338,0,227,284.0,0,1,0
Stefon Diggs,BUF,WR,29,15,15,144,101,0,0,0,-3,0,1,1325,10,192,293.2,0,1,0
Joe Burrow,CIN,QB,26,15,15,0,0,4260,34,564,247,5,72,0,0,339,339.1,12,5,2
CeeDee Lamb,DAL,WR,23,16,16,149,102,0,0,0,47,0,10,1307,8,183,285.4,0,0,0
Tony Pollard,DAL,RB,25,15,4,54,39,0,0,0,988,9,186,371,3,208,246.9,0,0,0
Jaylen Waddle,MIA,WR,24,16,16,112,70,0,0,0,17,0,2,1312,8,179,248.9,0,1,1
Dalvin Cook,MIN,RB,27,16,16,55,38,0,0,0,1136,8,253,295,2,197,235.1,0,3,3
Jamaal Williams,DET,RB,27,16,8,16,12,0,0,0,994,15,246,73,0,195,206.7,0,3,2
Miles Sanders,PHI,RB,25,16,14,25,20,0,0,0,1236,11,248,78,0,193,213.4,0,2,2
Taysom Hill,NOR,TE,32,15,8,12,8,240,2,19,551,7,91,76,2,134,142.3,0,2,0
Amari Cooper,CLE,WR,28,16,16,129,76,0,0,1,0,0,0,1109,9,163,238.9,1,0,0
Aaron Jones,GNB,RB,28,16,16,68,56,0,0,0,1073,2,201,375,5,185,240.8,0,4,2
T.J. Hockenson,2TM,TE,25,16,13,128,85,0,0,0,0,0,0,898,6,128,212.8,0,1,1
Amon-Ra St. Brown,DET,WR,23,15,15,137,100,0,0,0,95,0,9,1112,6,157,256.7,0,0,0
George Kittle,SFO,TE,29,14,14,80,56,0,0,0,0,0,0,736,9,126,181.6,0,1,1
DeVonta Smith,PHI,WR,24,16,16,128,88,0,0,0,0,0,0,1129,7,153,240.9,0,1,1
Mike Evans,TAM,WR,29,15,15,127,77,0,0,0,0,0,0,1124,6,148,225.4,0,0,0
Mark Andrews,BAL,TE,27,15,15,113,73,0,0,0,8,0,3,847,5,118,190.5,0,1,0
Tee Higgins,CIN,WR,23,15,13,102,73,0,0,0,0,0,0,1022,7,146,219.2,0,0,0
Rhamondre Stevenson,NWE,RB,24,16,7,82,64,0,0,0,986,5,204,393,1,172,235.9,0,3,1
Justin Fields,CHI,QB,23,15,15,0,0,2242,17,318,1143,8,160,0,0,296,296.0,11,16,2
Brandon Aiyuk,SFO,WR,24,16,16,109,74,0,0,0,23,0,2,956,8,144,217.9,0,1,1
Najee Harris,PIT,RB,24,16,16,52,40,4,0,1,954,6,249,219,3,169,209.5,0,2,1
Christian Kirk,JAX,WR,26,16,16,125,78,0,0,1,11,0,5,1009,7,142,220.0,0,1,1
Tyler Lockett,SEA,WR,30,15,15,110,80,0,0,0,0,0,0,979,8,142,221.9,0,2,2
Ezekiel Elliott,DAL,RB,27,14,13,21,17,0,0,0,866,12,223,92,0,168,184.8,0,0,0
