Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Tony Jones,2TM,RB,25,6,0,8,5,0,0,0,24,0,10,30,0,5,10.4,0,0,0
Quintin Morris,BUF,TE,23,11,1,10,7,0,0,0,0,0,0,70,0,5,12.0,0,1,1
Albert Okwuegbunam,DEN,TE,24,6,0,11,7,0,0,0,0,0,0,50,0,5,12.0,0,0,0
Donald Parham,LAC,TE,25,2,0,4,3,0,0,0,0,0,0,53,0,5,8.3,0,0,0
Ronnie Rivers,LAR,RB,23,5,1,5,5,0,0,0,21,0,9,29,0,5,10.0,0,0,0
Isaiah Spiller,LAC,RB,21,6,0,3,3,0,0,0,41,0,18,13,0,5,8.4,0,0,0
Stephen Sullivan,CAR,TE,26,10,0,4,2,0,0,0,0,0,0,46,0,5,6.6,0,0,0
Skylar Thompson,MIA,QB,25,5,1,0,0,278,0,53,14,0,10,0,0,5,4.5,2,2,2
Eric Tomlinson,DEN,TE,30,13,10,9,5,0,0,0,0,0,0,48,0,5,9.8,0,0,0
Dwayne Washington,NOR,RB,28,12,0,1,1,0,0,0,38,0,11,7,0,5,5.5,0,0,0
Trevon Wesco,CHI,TE,27,12,1,4,2,0,0,0,0,0,0,26,0,5,6.6,0,0,0
Jordan Wilkins,IND,RB,28,2,0,5,4,0,0,0,31,0,6,15,0,5,8.6,0,0,0
Kendall Blanton,LAR,TE,27,4,0,2,2,0,0,0,0,0,0,35,0,4,5.5,0,0,0
Tyrion Davis-Price,SFO,RB,22,3,0,2,0,0,0,0,37,0,16,0,0,4,3.7,0,0,0
Trestan Ebner,CHI,RB,23,13,0,5,2,0,0,0,54,0,24,8,0,4,6.2,0,2,1
Chris Manhertz,JAX,TE,30,13,9,8,6,0,0,0,0,0,0,42,0,4,10.2,0,0,0
Anthony McFarland Jr.,PIT,RB,23,1,0,2,2,0,0,0,30,0,6,11,0,4,6.1,0,0,0
Kyle Philips,TEN,WR,23,4,0,13,8,0,0,0,0,0,0,78,0,4,11.8,0,2,2
James Proche,BAL,WR,26,11,0,12,8,0,0,1,0,0,0,62,0,4,12.2,1,0,0
Andre Baccellia,ARI,WR,25,6,0,7,5,0,0,0,0,0,0,32,0,3,8.2,0,0,0
Corey Clement,ARI,RB,28,5,0,2,2,0,0,0,0,0,0,29,0,3,4.9,0,0,0
Tyrie Cleveland,DEN,WR,25,6,0,7,2,0,0,0,0,0,0,28,0,3,4.8,0,0,0
Chris Conley,2TM,WR,30,5,0,4,1,0,0,0,0,0,0,27,0,3,3.7,0,0,0
Jaelon Darden,TAM,WR,23,12,0,2,2,0,0,0,2,0,1,26,0,3,4.8,0,0,0
Tyler Davis,GNB,TE,25,13,1,7,4,0,0,0,0,0,0,26,0,3,6.6,0,0,0
Ben Ellefson,MIN,TE,26,4,1,3,3,0,0,0,0,0,0,26,0,3,5.6,0,0,0
Luke Farrell,JAX,TE,25,13,0,3,3,0,0,0,0,0,0,29,0,3,5.9,0,0,0
Brycen Hopkins,LAR,TE,25,10,0,6,3,0,0,0,0,0,0,31,0,3,6.1,0,0,0
Ronald Jones II,KAN,RB,25,2,0,1,1,0,0,0,12,0,4,22,0,3,4.4,0,0,0
Tim Jones,JAX,WR,24,13,1,4,3,0,0,0,0,0,0,30,0,3,6.0,0,0,0
Tyler Kroft,SFO,TE,30,7,3,4,3,0,0,0,0,0,0,29,0,3,5.9,0,0,0
Trace McSorley,ARI,QB,27,3,0,0,0,71,0,14,26,0,4,0,0,3,3.4,1,0,0
Jalen Nailor,MIN,WR,23,11,0,4,2,0,0,0,0,0,0,28,0,3,4.8,0,0,0
Jarrett Stidham,LVR,QB,26,3,0,0,0,72,0,13,0,0,0,0,0,3,2.9,0,0,0
DJ Turner,LVR,WR,25,9,0,1,0,0,0,0,26,0,4,0,0,3,2.6,0,1,0
Ke'Shawn Vaughn,TAM,RB,25,11,0,2,1,0,0,0,21,0,8,11,0,3,4.2,0,0,0
Cole Beasley,TAM,WR,33,2,0,5,4,0,0,0,0,0,0,17,0,2,5.7,0,0,0
Michael Burton,KAN,RB,30,13,0,3,2,0,0,0,7,0,5,11,0,2,3.8,0,0,0
Quintez Cephus,DET,WR,24,4,1,3,2,0,0,0,0,0,0,15,0,2,3.5,0,0,0
Julius Chestnut,TEN,RB,22,2,0,2,2,0,0,0,13,0,5,8,0,2,4.1,0,0,0
Snoop Conner,JAX,RB,22,4,0,0,0,0,0,0,17,0,4,0,0,2,1.7,0,0,0
Mike Davis,BAL,RB,29,8,0,2,2,0,0,0,18,0,8,4,0,2,4.2,0,1,0
Bryan Edwards,ATL,WR,24,7,1,5,3,0,0,0,0,0,0,15,0,2,4.5,0,0,0
Simi Fehoko,DAL,WR,25,5,0,4,3,0,0,0,0,0,0,24,0,2,5.4,0,0,0
Ryan Griffin,CHI,TE,32,11,0,6,3,0,0,0,0,0,0,24,0,2,5.4,0,0,0
Penny Hart,SEA,WR,26,7,0,1,1,0,0,0,0,0,0,15,0,2,2.5,0,0,0
Jesper Horsted,LVR,TE,25,11,0,4,3,0,0,0,0,0,0,19,0,2,4.9,0,0,0
Dennis Houston,DAL,WR,23,2,0,6,2,0,0,0,0,0,0,16,0,2,3.6,0,0,0
Lil'Jordan Humphrey,NWE,WR,24,6,2,4,2,0,0,0,0,0,0,20,0,2,4.0,0,0,0
Andy Isabella,ARI,WR,26,3,0,5,2,0,0,0,0,0,0,21,0,2,4.1,0,0,0
D'Ernest Johnson,CLE,RB,26,11,0,3,3,0,0,0,17,0,4,7,0,2,5.4,0,0,0
Keith Kirkwood,NOR,WR,28,2,1,2,2,0,0,0,0,0,0,18,0,2,3.8,0,0,0
Nick Mullens,MIN,QB,27,2,0,0,0,51,0,8,0,0,0,0,0,2,2.0,0,0,0
Dezmon Patmon,IND,WR,24,1,0,6,2,0,0,0,0,0,0,24,0,2,4.4,0,0,0
Kyle Rudolph,TAM,TE,33,6,0,4,2,0,0,0,0,0,0,20,0,2,4.0,0,0,0
Trey Sermon,PHI,RB,23,2,0,0,0,0,0,0,19,0,2,0,0,2,1.9,0,0,0
Stone Smartt,LAC,TE,24,4,1,5,4,0,0,0,0,0,0,17,0,2,5.7,0,0,0
J.J. Taylor,NWE,RB,24,1,0,1,1,0,0,0,9,0,10,8,0,2,2.7,0,0,0
Cole Turner,WAS,TE,22,6,2,9,2,0,0,0,0,0,0,23,0,2,4.3,0,0,0
Nick Vannett,2TM,TE,29,5,1,4,3,0,0,0,0,0,0,22,0,2,5.2,0,0,0
Tylan Wallace,BAL,WR,23,8,0,6,3,0,0,0,0,0,0,21,0,2,5.1,0,0,0
Juwann Winfree,GNB,WR,26,3,0,4,1,0,0,0,0,0,0,17,0,2,2.7,0,0,0
Michael Woods II,CLE,WR,22,6,0,6,2,0,0,0,0,0,0,21,0,2,4.1,0,0,0
Salvon Ahmed,MIA,RB,24,8,0,0,0,0,0,0,14,0,5,0,0,1,1.4,0,0,0
Maurice Alexander,DET,WR,25,7,0,1,1,0,0,0,0,0,0,7,0,1,1.7,0,0,0
Brandon Allen,CIN,QB,30,1,0,0,0,22,0,3,-1,0,3,0,0,1,0.8,0,0,0
Stephen Anderson,ARI,TE,29,13,0,5,3,0,0,0,0,0,0,9,0,1,3.9,0,0,0
C.J. Board,TEN,WR,29,4,0,1,1,0,0,0,0,0,0,6,0,1,1.6,0,1,0
Miles Boykin,PIT,WR,26,12,0,2,1,0,0,0,0,0,0,11,0,1,2.1,0,0,0
Jalen Camp,HOU,WR,24,2,0,1,1,0,0,0,0,0,0,7,0,1,1.7,0,0,0
Danny Gray,SFO,WR,23,9,0,7,1,0,0,0,0,0,0,10,0,1,2.0,0,0,0
Troy Hairston,HOU,RB,24,12,4,5,3,0,0,0,0,0,0,12,0,1,4.2,0,0,0
Jacob Harris,LAR,TE,25,7,0,1,1,0,0,0,0,0,0,6,0,1,1.6,0,0,0
Kylin Hill,GNB,RB,24,2,0,0,0,0,0,0,7,0,1,0,0,1,0.7,0,0,0
Brian Hoyer,NWE,QB,37,1,1,0,0,37,0,6,0,0,0,0,0,1,1.5,0,0,0
David Johnson,NOR,RB,31,1,0,1,1,0,0,0,-4,0,1,11,0,1,1.7,0,0,0
Jakob Johnson,LVR,RB,28,13,7,5,4,0,0,0,0,0,0,7,0,1,4.7,0,0,0
Josh Johnson,SFO,QB,36,1,0,0,0,10,0,2,3,0,2,0,0,1,0.7,0,0,0
Tyron Johnson,2TM,WR,26,4,1,1,1,0,0,0,0,0,0,8,0,1,1.8,0,0,0
Sean McKeon,DAL,TE,25,9,0,3,2,0,0,0,0,0,0,11,0,1,3.1,0,0,0
Gardner Minshew II,PHI,QB,26,3,0,0,0,34,0,4,-2,0,2,0,0,1,1.2,0,0,0
Jason Moore,LAC,WR,27,6,0,2,1,0,0,0,0,0,0,5,0,1,1.5,0,0,0
Devine Ozigbo,DEN,RB,26,3,0,1,1,0,0,0,2,0,1,3,0,1,1.5,0,0,0
Mason Schreck,HOU,TE,29,2,1,2,2,0,0,0,0,0,0,6,0,1,2.6,0,0,0
Keith Smith,ATL,RB,30,13,4,2,1,0,0,0,2,0,1,8,0,1,2.0,0,0,0
Tommy Sweeney,BUF,TE,27,5,0,1,1,0,0,0,0,0,0,7,0,1,1.7,0,0,0
Patrick Taylor,GNB,RB,24,10,0,0,0,0,0,0,6,0,1,0,0,1,0.6,0,0,0
Jalen Tolbert,DAL,WR,23,8,1,3,2,0,0,0,0,0,0,12,0,1,3.2,0,0,0
Austin Trammell,LAR,WR,24,2,0,4,2,0,0,0,0,0,0,13,0,1,3.3,0,0,0
KaVontae Turpin,DAL,WR,26,13,0,2,1,0,0,0,17,0,3,9,0,1,1.6,0,2,1
Montrell Washington,DEN,WR,23,13,1,9,4,0,0,0,30,0,5,2,0,1,5.2,0,4,1
Maxx Williams,ARI,TE,28,7,0,1,1,0,0,0,0,0,0,7,0,1,1.7,0,0,0
Devin Asiasi,CIN,,25,10,0,2,0,0,0,0,0,0,0,0,0,,,0,0,0
C.J. Beathard,JAX,QB,29,2,0,0,0,6,0,3,-1,0,1,0,0,,0.1,0,0,0
Trinity Benson,DET,,25,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Giovani Bernard,TAM,,31,4,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Khari Blasingame,CHI,,26,12,5,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Lynn Bowden Jr.,NWE,,25,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Nick Boyle,BAL,,29,10,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Anthony Brown,BAL,QB,24,1,0,0,0,16,0,5,-5,0,3,0,0,,0.1,0,0,0
John Brown,BUF,,32,2,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Jason Cabinda,DET,RB,26,5,2,2,0,0,0,0,4,0,1,0,0,,0.4,0,0,0
Trenton Cannon,TEN,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Cethan Carter,MIA,,27,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Dan Chisena,MIN,,25,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Pharoh Cooper,ARI,,27,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Keke Coutee,IND,WR,25,6,0,1,1,0,0,0,0,0,0,20,0,,1.0,0,3,1
Chase Daniel,LAC,QB,36,2,0,0,0,0,0,2,0,0,0,0,0,,,0,0,0
Rico Dowdle,DAL,,24,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jacob Eason,CAR,QB,25,1,0,0,0,59,0,5,0,0,0,0,0,,0.4,1,0,0
Alex Erickson,WAS,,30,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Demetric Felton,CLE,RB,24,7,1,3,1,0,0,0,-4,0,1,3,0,,0.9,0,1,0
Nick Foles,IND,,33,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jerome Ford,CLE,RB,23,9,0,0,0,0,0,0,3,0,3,0,0,,0.3,0,0,0
Feleipe Franks,ATL,,25,9,1,2,0,0,0,0,0,0,0,0,0,,,0,0,0
Jake Funk,LAR,,24,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Tanner Gentry,BUF,,28,3,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Cullen Gillaspia,SEA,,27,6,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Josh Gordon,TEN,,31,2,0,1,0,0,0,0,0,0,0,0,0,,,0,0,0
Justin Hardee,NYJ,,28,13,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Clark Harris,CIN,,38,1,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Chad Henne,KAN,QB,37,2,0,0,0,0,0,2,-3,0,3,0,0,,-0.3,0,1,0
Rashard Higgins,CAR,,28,3,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Jacob Hollister,2TM,,29,5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
