Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Kirk Cousins,MIN@PHI,37,44,31,364,4,0,0,0,0,0,0,0,0,0,0,1,0
Daniel Jones,NYG@ARI,33,37,26,321,2,1,0,9,59,1,0,0,0,0,0,0,0
Russell Wilson,WAS@DEN,32,32,18,308,3,1,0,6,56,0,0,0,0,0,0,1,0
Keenan Allen,LAC@TEN,31,0,0,0,0,0,0,0,0,0,0,8,111,2,0,0,0
Mike Evans,CHI@TB,29,0,0,0,0,0,0,0,0,0,0,6,171,1,0,0,0
Puka Nacua,SF@LA,29,0,0,0,0,0,0,2,4,0,0,15,147,0,0,0,0
Josh Allen,LV@BUF,28,37,31,274,3,0,0,3,7,0,0,0,0,0,0,0,0
Jared Goff,SEA@DET,28,35,28,323,3,1,0,0,0,0,0,0,0,0,0,0,0
Tee Higgins,BAL@CIN,28,0,0,0,0,0,0,0,0,0,0,8,89,2,0,0,0
Brian Robinson,WAS@DEN,28,0,0,0,0,0,0,18,87,2,1,2,42,0,0,0,0
Nico Collins,IND@HOU,27,0,0,0,0,0,0,0,0,0,0,7,146,1,0,0,0
Joshua Dobbs,NYG@ARI,27,31,21,228,1,0,0,3,41,1,1,0,0,0,0,0,0
Geno Smith,SEA@DET,27,41,32,328,2,0,0,3,20,0,0,0,0,0,0,0,0
Kyren Williams,SF@LA,27,0,0,0,0,0,0,14,52,1,0,6,48,1,0,0,0
Saquon Barkley,NYG@ARI,26,0,0,0,0,0,0,17,63,1,0,6,29,1,0,0,0
Justin Herbert,LAC@TEN,26,41,27,305,2,0,1,1,0,0,0,0,0,0,0,0,0
Jalen Hurts,MIN@PHI,26,23,18,193,1,1,0,12,35,2,0,0,0,0,0,0,0
Lamar Jackson,BAL@CIN,26,33,24,237,2,0,0,12,54,0,0,0,0,0,0,0,0
Jordan Love,GB@ATL,26,25,14,151,3,0,0,2,23,0,0,0,0,0,0,0,0
C.J. Stroud,IND@HOU,26,47,30,384,2,0,0,3,1,0,0,0,0,0,0,1,0
D'Andre Swift,MIN@PHI,26,0,0,0,0,0,0,28,175,1,0,3,6,0,0,0,0
T.J. Hockenson,MIN@PHI,25,0,0,0,0,0,0,0,0,0,0,7,66,2,0,0,0
Justin Jefferson,MIN@PHI,25,0,0,0,0,0,0,0,0,0,0,11,159,0,0,1,0
CeeDee Lamb,NYJ@DAL,25,0,0,0,0,0,0,0,0,0,0,11,143,0,0,0,0
Tyler Lockett,SEA@DET,25,0,0,0,0,0,0,0,0,0,0,8,59,2,0,0,0
Patrick Mahomes,KC@JAX,25,41,29,305,2,1,0,7,30,0,0,0,0,0,0,0,0
Raheem Mostert,MIA@NE,25,0,0,0,0,0,0,18,121,2,0,1,6,0,0,0,0
Sam Howell,WAS@DEN,24,39,27,299,2,0,0,2,13,0,0,0,0,0,0,0,0
Jerome Ford,CLE@PIT,23,0,0,0,0,0,0,16,106,0,1,3,25,1,0,0,0
Dak Prescott,NYJ@DAL,23,38,31,255,2,0,0,6,14,0,0,0,0,0,0,0,0
Josh Reynolds,SEA@DET,23,0,0,0,0,0,0,0,0,0,0,5,66,2,0,0,0
DeVonta Smith,MIN@PHI,23,0,0,0,0,0,0,0,0,0,0,4,131,1,0,0,0
Christian Kirk,KC@JAX,22,1,1,-1,0,0,0,0,0,0,0,11,110,0,0,0,0
