Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Trevor Lawrence,TEN@JAX,35,32,24,262,2,0,0,5,17,2,0,0,0,0,0,0,0
Brock Purdy,TB@SF,32,25,21,333,3,0,0,4,14,0,0,0,0,0,0,0,0
Tyreek Hill,LV@MIA,30,0,0,0,0,0,0,0,0,0,0,10,146,1,0,0,0
Calvin Ridley,TEN@JAX,30,0,0,0,0,0,0,1,18,0,0,7,103,2,0,0,0
Saquon Barkley,NYG@WAS,29,0,0,0,0,0,0,14,83,0,0,4,57,2,0,0,0
Justin Herbert,LAC@GB,29,36,21,260,2,0,0,8,73,0,0,0,0,0,0,0,0
Josh Allen,NYJ@BUF,28,32,20,275,3,1,0,5,15,0,0,0,0,0,0,0,0
Nathaniel Dell,ARI@HOU,28,0,0,0,0,0,0,0,0,0,0,8,149,1,0,0,0
Keenan Allen,LAC@GB,27,0,0,0,0,0,0,0,0,0,0,10,116,1,0,0,0
Tommy DeVito,NYG@WAS,27,26,18,246,3,0,0,1,7,0,0,0,0,0,0,0,0
Lamar Jackson,CIN@BAL,27,26,16,264,2,0,0,9,54,0,0,0,0,0,0,0,0
Brandon Aiyuk,TB@SF,26,0,0,0,0,0,0,0,0,0,0,5,156,1,0,0,0
Jordan Love,LAC@GB,24,40,27,322,2,0,0,3,0,0,0,0,0,0,0,0,0
Kyler Murray,ARI@HOU,23,30,20,214,1,1,0,7,51,1,0,0,0,0,0,0,0
Justin Fields,CHI@DET,22,23,16,169,1,0,0,18,104,0,0,0,0,0,0,0,0
George Kittle,TB@SF,22,0,0,0,0,0,0,0,0,0,0,8,89,1,0,0,0
D.J. Moore,CHI@DET,22,0,0,0,0,0,0,0,0,0,0,7,96,1,0,0,0
Tua Tagovailoa,LV@MIA,22,39,28,325,2,1,0,2,6,0,0,0,0,0,0,1,0
Jaylen Warren,PIT@CLE,22,0,0,0,0,0,0,9,129,1,0,3,16,0,0,0,0
Davante Adams,LV@MIA,21,0,0,0,0,0,0,0,0,0,0,7,82,1,0,0,0
Amon-Ra St. Brown,CHI@DET,21,0,0,0,0,0,0,0,0,0,0,8,77,1,0,0,0
Gus Edwards,CIN@BAL,20,0,0,0,0,0,0,12,62,2,0,2,8,0,0,0,0
Jahmyr Gibbs,CHI@DET,20,0,0,0,0,0,0,8,36,1,0,6,59,0,0,0,0
Patrick Mahomes,PHI@KC,20,43,24,177,2,1,0,6,38,0,0,0,0,0,0,0,0
Christian McCaffrey,TB@SF,20,0,0,0,0,0,0,21,78,0,0,5,25,1,0,0,0
D.K. Metcalf,SEA@LA,20,0,0,0,0,0,0,0,0,0,0,5,94,1,0,0,0
Joe Mixon,CIN@BAL,20,0,0,0,0,0,0,16,69,0,0,5,31,1,0,0,0
Khalil Shakir,NYJ@BUF,20,0,0,0,0,0,0,0,0,0,0,3,115,1,0,0,0
Joshua Dobbs,MIN@DEN,19,32,20,221,1,1,0,8,21,1,0,0,0,0,0,1,0
Sam Howell,NYG@WAS,19,45,31,256,1,3,0,3,35,1,0,0,0,0,0,0,0
Dak Prescott,DAL@CAR,19,38,25,189,2,0,0,2,6,0,0,0,0,0,0,0,0
Brian Robinson,NYG@WAS,19,0,0,0,0,0,0,17,73,0,0,7,59,0,0,0,0
Devin Singletary,ARI@HOU,19,0,0,0,0,0,0,22,112,1,0,2,6,0,0,0,0
C.J. Stroud,ARI@HOU,19,37,27,336,2,3,0,1,-1,0,0,0,0,0,0,0,0
D'Andre Swift,PHI@KC,19,0,0,0,0,0,0,12,76,1,0,3,31,0,0,0,0
James Cook,NYJ@BUF,18,0,0,0,0,0,0,17,73,0,0,3,29,1,0,0,0
Breece Hall,NYJ@BUF,18,0,0,0,0,0,0,10,23,0,0,5,50,1,0,0,0
Jalen Hurts,PHI@KC,18,22,14,150,0,1,0,12,29,2,0,0,0,0,0,0,0
Puka Nacua,SEA@LA,18,0,0,0,0,0,0,1,7,0,0,5,70,1,0,0,0
Jayden Reed,LAC@GB,18,0,0,0,0,0,0,3,46,1,0,4,46,0,0,0,0
Darius Slayton,NYG@WAS,18,0,0,0,0,0,0,0,0,0,0,4,82,1,0,0,0
Jared Goff,CHI@DET,17,35,23,236,2,3,1,2,3,0,0,0,0,0,0,0,0
Will Levis,TEN@JAX,17,17,13,158,2,0,0,4,2,0,0,0,0,0,0,1,0
David Montgomery,CHI@DET,17,0,0,0,0,0,0,12,76,1,0,2,22,0,0,0,0
Tony Pollard,DAL@CAR,17,0,0,0,0,0,0,12,61,1,0,4,19,0,0,0,0
Rachaad White,TB@SF,17,0,0,0,0,0,0,9,30,1,0,6,28,0,0,0,0
Romeo Doubs,LAC@GB,16,0,0,0,0,0,0,0,0,0,0,5,53,1,0,0,0
Travis Kelce,PHI@KC,16,0,0,0,0,0,0,0,0,0,0,7,44,1,0,1,0
Courtland Sutton,MIN@DEN,16,0,0,0,0,0,0,0,0,0,0,4,66,1,0,0,0
Justin Watson,PHI@KC,16,0,0,0,0,0,0,0,0,0,0,5,53,1,0,0,0
Russell Wilson,MIN@DEN,16,35,27,259,1,0,0,2,1,0,0,0,0,0,0,0,0
Odell Beckham Jr.,CIN@BAL,15,0,0,0,0,0,0,0,0,0,0,4,116,0,0,0,0
Mike Evans,TB@SF,15,0,0,0,0,0,0,0,0,0,0,5,43,1,0,0,0
DeAndre Hopkins,TEN@JAX,15,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0
CeeDee Lamb,DAL@CAR,15,0,0,0,0,0,0,1,7,0,0,6,38,1,0,0,0
DeVonta Smith,PHI@KC,15,0,0,0,0,0,0,0,0,0,0,6,99,0,0,0,0
Geno Smith,SEA@LA,15,34,22,233,1,0,0,1,-1,0,0,0,0,0,0,0,0
Adam Thielen,DAL@CAR,15,0,0,0,0,0,0,0,0,0,0,8,74,0,0,0,0
Ty Chandler,MIN@DEN,14,0,0,0,0,0,0,10,73,0,0,4,37,0,0,0,0
Ty Johnson,NYJ@BUF,14,0,0,0,0,0,0,3,11,0,0,3,47,1,0,0,0
Josh Oliver,MIN@DEN,14,0,0,0,0,0,0,0,0,0,0,4,47,1,0,0,0
Nico Collins,ARI@HOU,13,0,0,0,0,0,0,0,0,0,0,7,65,0,0,0,0
Greg Dortch,ARI@HOU,13,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0
Samaje Perine,MIN@DEN,13,0,0,0,0,0,0,1,7,0,0,7,60,0,0,0,0
Jake Browning,CIN@BAL,12,14,8,68,1,0,0,4,40,0,0,0,0,0,0,0,0
Zach Charbonnet,SEA@LA,12,0,0,0,0,0,0,15,47,0,0,6,22,0,0,0,0
Darrell Henderson,SEA@LA,12,0,0,0,0,0,0,6,1,1,0,4,28,0,0,0,0
Baker Mayfield,TB@SF,12,45,29,246,1,1,0,3,5,0,0,0,0,0,0,1,0
Elijah Moore,PIT@CLE,12,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,0
David Njoku,PIT@CLE,12,0,0,0,0,0,0,0,0,0,0,7,56,0,0,0,0
Stone Smartt,LAC@GB,12,0,0,0,0,0,0,0,0,0,0,1,51,1,0,0,0
Dontayvion Wicks,LAC@GB,12,0,0,0,0,0,0,0,0,0,0,3,91,0,0,0,0
Jameson Williams,CHI@DET,12,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0
Salvon Ahmed,LV@MIA,11,0,0,0,0,0,0,3,6,0,0,3,25,1,0,0,0
Jahan Dotson,NYG@WAS,11,0,0,0,0,0,0,0,0,0,0,3,23,1,0,0,0
Jerome Ford,PIT@CLE,11,0,0,0,0,0,0,12,31,1,0,2,8,0,0,0,0
Rondale Moore,ARI@HOU,11,0,0,0,0,0,0,2,6,0,0,1,48,1,0,0,0
Dalton Schultz,ARI@HOU,11,0,0,0,0,0,0,0,0,0,0,2,32,1,0,0,0
Matthew Stafford,SEA@LA,11,31,17,190,1,1,0,2,1,0,0,0,0,0,0,0,0
Nelson Agholor,CIN@BAL,10,0,0,0,0,0,0,0,0,0,0,1,37,1,0,0,0
Joe Burrow,CIN@BAL,10,17,11,101,1,0,0,1,7,0,0,0,0,0,0,0,0
Jerry Jeudy,MIN@DEN,10,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
Dalton Kincaid,NYJ@BUF,10,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,0
Tyler Lockett,SEA@LA,10,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
Aidan O'Connell,LV@MIA,10,41,24,271,1,3,0,1,3,0,0,0,0,0,0,0,0
Luke Schoonmaker,DAL@CAR,10,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0
Christian Watson,LAC@GB,10,0,0,0,0,0,0,1,1,0,0,2,21,1,0,0,0
Ja'Marr Chase,CIN@BAL,9,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
AJ Dillon,LAC@GB,9,0,0,0,0,0,0,14,29,0,0,4,32,0,0,0,0
Chris Godwin,TB@SF,9,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0
T.J. Hockenson,MIN@DEN,9,0,0,0,0,0,0,0,0,0,0,4,55,0,0,0,0
Trey McBride,ARI@HOU,9,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
Terry McLaurin,NYG@WAS,9,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
Raheem Mostert,LV@MIA,9,0,0,0,0,0,0,22,86,0,0,1,7,0,0,0,0
Isiah Pacheco,PHI@KC,9,0,0,0,0,0,0,19,89,0,0,1,2,0,0,0,0
Donald Parham,LAC@GB,9,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
