Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Amari Cooper,CLE@HOU,51,0,0,0,0,0,0,0,0,0,0,11,265,2,1,0,0
Breece Hall,WAS@NYJ,42,0,0,0,0,0,0,20,95,2,0,12,96,0,0,0,0
George Pickens,CIN@PIT,35,0,0,0,0,0,0,0,0,0,0,4,195,2,0,0,0
Puka Nacua,NO@LA,32,0,0,0,0,0,0,2,16,0,0,9,164,1,0,0,0
Derek Carr,NO@LA,30,40,27,319,3,1,1,2,2,0,0,0,0,0,0,0,0
Joe Flacco,CLE@HOU,30,42,27,368,3,2,1,2,1,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,DET@MIN,28,0,0,0,0,0,0,0,0,0,0,12,106,1,0,0,0
D.J. Chark,GB@CAR,27,0,0,0,0,0,0,0,0,0,0,6,98,2,0,0,0
Mike Evans,JAX@TB,27,0,0,0,0,0,0,0,0,0,0,7,86,2,0,0,0
Jordan Love,GB@CAR,27,28,17,219,2,0,0,2,12,1,0,0,0,0,0,0,0
Calvin Ridley,JAX@TB,27,0,0,0,0,0,0,1,-12,0,0,6,90,2,0,0,0
Russell Wilson,NE@DEN,27,37,25,238,2,0,2,4,20,0,0,0,0,0,0,0,0
Josh Allen,BUF@LAC,26,21,15,237,1,1,0,5,15,2,0,0,0,0,0,0,0
Lamar Jackson,BAL@SF,26,35,23,252,2,0,0,7,45,0,0,0,0,0,0,0,0
Justin Jefferson,DET@MIN,26,0,0,0,0,0,0,0,0,0,0,6,141,1,0,0,0
Justin Fields,ARI@CHI,25,27,15,170,1,1,0,9,97,1,0,0,0,0,0,0,0
Jahmyr Gibbs,DET@MIN,25,0,0,0,0,0,0,15,80,2,0,4,20,0,0,1,0
Tee Higgins,CIN@PIT,25,0,0,0,0,0,0,0,0,0,0,5,140,1,0,0,0
Jalen Hurts,NYG@PHI,25,38,24,301,1,1,0,8,34,1,0,0,0,0,0,0,0
Matthew Stafford,NO@LA,25,34,24,328,2,0,0,1,-4,0,0,0,0,0,0,0,0
Bryce Young,GB@CAR,25,36,23,312,2,0,0,4,17,0,0,0,0,0,0,0,0
CeeDee Lamb,DAL@MIA,24,0,0,0,0,0,0,2,14,0,0,6,118,1,0,0,0
Christian McCaffrey,BAL@SF,24,0,0,0,0,0,0,14,103,1,0,6,28,0,0,0,0
Kyler Murray,ARI@CHI,24,38,24,230,2,0,0,5,32,0,0,0,0,0,0,0,0
Gabriel Davis,BUF@LAC,23,0,0,0,0,0,0,0,0,0,0,4,130,1,0,0,0
Baker Mayfield,JAX@TB,23,35,26,283,2,0,0,5,5,0,0,0,0,0,0,0,0
Chris Olave,NO@LA,23,0,0,0,0,0,0,0,0,0,0,9,123,0,1,0,0
Dak Prescott,DAL@MIA,23,32,20,253,2,0,0,5,25,0,0,0,0,0,0,1,0
Mason Rudolph,CIN@PIT,23,27,17,290,2,0,0,2,4,0,0,0,0,0,0,0,0
Zay Flowers,BAL@SF,22,0,0,0,0,0,0,0,0,0,0,9,72,1,0,0,0
Derrick Henry,SEA@TEN,22,1,1,12,1,0,0,19,88,1,0,1,11,0,0,0,0
James Conner,ARI@CHI,21,0,0,0,0,0,0,12,45,0,0,5,67,1,0,0,0
