Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Dak Prescott,NYG@DAL,45,35,26,404,4,1,0,2,17,1,0,0,0,0,0,0,0
Keenan Allen,DET@LAC,40,0,0,0,0,0,0,0,0,0,0,11,175,2,0,0,0
CeeDee Lamb,NYG@DAL,39,0,0,0,0,0,0,1,14,1,0,11,151,1,0,0,0
Justin Herbert,DET@LAC,35,40,27,323,4,1,0,4,15,0,0,0,0,0,0,0,0
Brandin Cooks,NYG@DAL,32,0,0,0,0,0,0,0,0,0,0,9,173,1,0,0,0
T.J. Hockenson,NO@MIN,30,0,0,0,0,0,0,0,0,0,0,11,134,1,0,0,0
Sam Howell,WAS@SEA,30,44,29,312,3,0,0,2,17,0,0,0,0,0,0,1,0
Brock Purdy,SF@JAX,29,26,19,296,3,0,0,0,0,0,0,0,0,0,0,0,0
Amon-Ra St. Brown,DET@LAC,29,0,0,0,0,0,0,2,9,0,0,8,156,1,0,0,0
Geno Smith,WAS@SEA,27,47,31,369,2,0,0,1,13,0,0,0,0,0,0,0,0
Joshua Dobbs,NO@MIN,26,34,23,268,1,0,0,8,44,1,0,0,0,0,0,0,0
Mike Evans,TEN@TB,26,0,0,0,0,0,0,0,0,0,0,6,143,1,0,0,0
Brian Robinson,WAS@SEA,26,0,0,0,0,0,0,8,38,0,0,6,119,1,0,0,0
Jahmyr Gibbs,DET@LAC,25,0,0,0,0,0,0,14,77,2,0,3,35,0,0,0,0
Jared Goff,DET@LAC,25,33,23,333,2,0,0,3,-2,0,0,0,0,0,0,0,0
Noah Brown,HOU@CIN,24,0,0,0,0,0,0,0,0,0,0,7,172,0,0,0,0
Joe Burrow,HOU@CIN,23,40,27,347,2,2,0,5,20,0,0,0,0,0,0,0,0
Ja'Marr Chase,HOU@CIN,23,0,0,0,0,0,0,0,0,0,0,5,124,1,0,0,0
Tyler Lockett,WAS@SEA,23,0,0,0,0,0,0,0,0,0,0,8,92,1,0,0,0
Devin Singletary,HOU@CIN,23,0,0,0,0,0,0,30,150,1,0,1,11,0,0,0,0
Baker Mayfield,TEN@TB,22,29,18,278,2,1,0,3,12,0,0,0,0,0,0,0,0
C.J. Stroud,HOU@CIN,22,39,23,356,1,1,0,2,8,1,0,0,0,0,0,2,0
Russell Wilson,DEN@BUF,22,29,24,193,2,0,0,9,30,0,0,0,0,0,0,0,0
Trey McBride,ATL@ARI,21,0,0,0,0,0,0,0,0,0,0,8,131,0,0,0,0
Chris Olave,NO@MIN,21,0,0,0,0,0,0,0,0,0,0,6,94,1,0,0,0
Austin Ekeler,DET@LAC,20,0,0,0,0,0,0,19,67,1,0,4,48,0,0,0,0
George Kittle,SF@JAX,20,0,0,0,0,0,0,0,0,0,0,3,116,1,0,0,0
Jordan Love,GB@PIT,20,40,21,289,2,2,0,2,11,0,0,0,0,0,0,0,0
Javonte Williams,DEN@BUF,20,0,0,0,0,0,0,21,79,0,0,4,31,1,0,0,0
Tyler Boyd,HOU@CIN,19,0,0,0,0,0,0,0,0,0,0,8,117,0,0,0,0
Christian McCaffrey,SF@JAX,19,0,0,0,0,0,0,16,95,0,0,6,47,0,0,0,0
Jayden Reed,GB@PIT,19,0,0,0,0,0,0,0,0,0,0,5,84,1,0,0,0
Kenneth Walker,WAS@SEA,19,0,0,0,0,0,0,19,63,0,0,1,64,1,0,0,0
Nathaniel Dell,HOU@CIN,18,0,0,0,0,0,0,1,13,0,0,6,56,1,0,0,0
Najee Harris,GB@PIT,18,0,0,0,0,0,0,16,82,1,0,3,14,0,0,0,0
Alvin Kamara,NO@MIN,18,0,0,0,0,0,0,9,42,0,2,7,33,0,0,0,0
Courtland Sutton,DEN@BUF,18,0,0,0,0,0,0,0,0,0,0,8,53,1,0,1,0
Jaylen Warren,GB@PIT,18,0,0,0,0,0,0,15,101,1,0,2,9,0,0,0,0
Garrett Wilson,NYJ@LV,18,1,0,0,0,0,0,0,0,0,0,9,93,0,0,0,0
Josh Allen,DEN@BUF,17,26,15,177,1,2,1,4,13,1,0,0,0,0,0,1,0
Tommy DeVito,NYG@DAL,17,27,14,86,2,1,0,7,41,0,0,0,0,0,0,0,0
D'Onta Foreman,CAR@CHI,17,0,0,0,0,0,0,21,80,1,0,2,12,0,0,0,0
David Montgomery,DET@LAC,17,0,0,0,0,0,0,12,116,1,0,0,0,0,0,0,0
Bijan Robinson,ATL@ARI,17,0,0,0,0,0,0,22,95,1,0,1,11,0,0,0,0
Deshaun Watson,CLE@BAL,17,34,20,213,1,1,0,8,37,0,1,0,0,0,0,0,0
Rachaad White,TEN@TB,17,0,0,0,0,0,0,20,51,0,0,2,47,1,0,0,0
Antonio Gibson,WAS@SEA,16,0,0,0,0,0,0,4,13,0,0,5,42,1,0,0,0
