Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
D.K. Metcalf,SEA@DAL,37,0,0,0,0,0,0,0,0,0,0,6,134,3,0,0,0
Brock Purdy,SF@PHI,36,27,19,314,4,0,0,2,9,0,0,0,0,0,0,0,0
Deebo Samuel,SF@PHI,35,0,0,0,0,0,0,3,22,1,0,4,116,2,0,0,0
Geno Smith,SEA@DAL,35,41,23,334,3,1,0,2,6,1,0,0,0,0,0,0,0
Nico Collins,DEN@HOU,34,0,0,0,0,0,0,0,0,0,0,9,191,1,0,0,0
Dak Prescott,SEA@DAL,33,41,29,299,3,0,1,7,23,0,0,0,0,0,0,0,0
Tyreek Hill,MIA@WAS,32,0,0,0,0,0,0,2,-4,0,0,5,157,2,0,0,0
CeeDee Lamb,SEA@DAL,32,0,0,0,0,0,0,2,30,0,0,12,116,1,0,0,0
Ja'Marr Chase,CIN@JAX,31,1,1,-7,0,0,0,0,0,0,0,11,149,1,0,0,0
Jake Browning,CIN@JAX,29,37,32,354,1,0,0,2,22,1,0,1,-7,0,0,0,0
Mike Evans,CAR@TB,29,0,0,0,0,0,0,0,0,0,0,7,162,1,0,0,0
Sam LaPorta,DET@NO,29,0,0,0,0,0,0,0,0,0,0,9,140,1,0,0,0
Jordan Love,KC@GB,29,36,25,267,3,0,0,2,10,0,0,0,0,0,0,0,0
Matthew Stafford,CLE@LA,29,37,22,279,3,0,0,1,-2,0,0,0,0,0,0,0,0
Alvin Kamara,DET@NO,28,0,0,0,0,0,0,14,51,2,0,6,58,0,0,0,0
Trevor Lawrence,CIN@JAX,28,29,22,258,2,0,0,5,8,1,0,0,0,0,0,0,0
Joe Mixon,CIN@JAX,28,0,0,0,0,0,0,19,68,2,0,6,49,0,0,0,0
Michael Pittman,IND@TEN,27,0,0,0,0,0,0,0,0,0,0,11,105,1,0,0,0
Christian Watson,KC@GB,27,0,0,0,0,0,0,2,15,0,0,7,71,2,0,0,0
De'Von Achane,MIA@WAS,25,0,0,0,0,0,0,17,73,2,0,3,30,0,0,0,0
Jalen Hurts,SF@PHI,25,45,26,298,1,0,0,7,20,1,0,0,0,0,0,0,0
Derrick Henry,IND@TEN,24,0,0,0,0,0,0,21,102,2,0,1,18,0,0,0,0
DeVonta Smith,SF@PHI,24,0,0,0,0,0,0,0,0,0,0,9,96,1,0,0,0
Evan Engram,CIN@JAX,23,0,0,0,0,0,0,0,0,0,0,9,82,1,0,0,0
Gardner Minshew,IND@TEN,23,42,26,312,2,0,0,3,2,0,0,0,0,0,0,1,0
Puka Nacua,CLE@LA,23,0,0,0,0,0,0,2,34,0,0,4,105,1,0,0,0
Tua Tagovailoa,MIA@WAS,23,24,18,280,2,0,0,0,0,0,0,0,0,0,0,0,0
James Conner,ARI@PIT,22,0,0,0,0,0,0,25,105,2,0,0,0,0,0,0,0
Chuba Hubbard,CAR@TB,22,0,0,0,0,0,0,25,104,2,0,0,0,0,0,0,0
Trey McBride,ARI@PIT,22,0,0,0,0,0,0,0,0,0,0,8,89,1,0,0,0
