Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Josh Allen,BUF@PHI,43,51,29,339,2,1,0,9,81,2,0,0,0,0,0,0,0
Jalen Hurts,BUF@PHI,41,31,18,200,3,1,0,14,65,2,0,0,0,0,0,1,0
Dak Prescott,WAS@DAL,40,32,22,331,4,0,1,1,10,0,0,0,0,0,0,0,0
Kyren Williams,LA@ARI,38,0,0,0,0,0,0,16,143,0,0,6,61,2,0,0,0
C.J. Stroud,JAX@HOU,34,36,26,304,2,0,0,6,47,1,0,0,0,0,0,0,0
Jordan Love,GB@DET,31,32,22,268,3,0,0,3,39,0,0,0,0,0,0,0,0
Matthew Stafford,LA@ARI,31,33,25,229,4,1,0,1,2,0,0,0,0,0,0,0,0
Christian McCaffrey,SF@SEA,30,0,0,0,0,0,0,19,114,2,0,5,25,0,0,0,0
Bijan Robinson,NO@ATL,27,0,0,0,0,0,0,16,91,1,0,3,32,1,0,0,0
Trevor Lawrence,JAX@HOU,26,38,23,364,1,1,1,2,0,1,0,0,0,0,0,0,0
Mike Evans,TB@IND,25,0,0,0,0,0,0,0,0,0,0,6,70,2,0,0,0
Tyreek Hill,MIA@NYJ,25,0,0,0,0,0,0,1,2,0,0,9,102,1,0,0,0
Isiah Pacheco,KC@LV,25,0,0,0,0,0,0,15,55,2,0,5,34,0,0,0,0
Jared Goff,GB@DET,24,44,29,332,2,0,1,3,9,0,0,0,0,0,0,3,0
Rashee Rice,KC@LV,24,0,0,0,0,0,0,0,0,0,0,8,107,1,0,0,0
Keenan Allen,BAL@LAC,23,0,0,0,0,0,0,0,0,0,0,14,106,0,0,1,0
Nico Collins,JAX@HOU,23,0,0,0,0,0,0,0,0,0,0,7,104,1,0,0,0
Patrick Mahomes,KC@LV,23,34,27,298,2,0,0,5,9,0,0,0,0,0,0,0,0
DeVonta Smith,BUF@PHI,23,0,0,0,0,0,0,0,0,0,0,7,106,1,0,0,0
Gabriel Davis,BUF@PHI,22,0,0,0,0,0,0,0,0,0,0,6,105,1,0,0,0
Zay Flowers,BAL@LAC,22,0,0,0,0,0,0,1,37,1,0,5,25,1,0,0,0
Josh Jacobs,KC@LV,22,0,0,0,0,0,0,20,110,1,0,4,15,0,0,0,0
D.J. Moore,CHI@MIN,22,0,0,0,0,0,0,0,0,0,0,11,114,0,0,0,0
Kyler Murray,LA@ARI,22,45,27,256,1,0,0,1,2,1,0,0,0,0,0,0,0
Pat Freiermuth,PIT@CIN,21,0,0,0,0,0,0,0,0,0,0,9,120,0,0,0,0
Raheem Mostert,MIA@NYJ,21,0,0,0,0,0,0,20,94,2,0,0,0,0,0,0,0
Tony Pollard,WAS@DAL,21,0,0,0,0,0,0,13,79,1,0,6,24,0,0,0,0
Calvin Ridley,JAX@HOU,21,0,0,0,0,0,0,0,0,0,0,5,89,1,1,0,0
Deebo Samuel,SF@SEA,21,1,0,0,0,0,0,4,15,1,0,7,79,0,0,0,0
Jonathan Taylor,TB@IND,21,0,0,0,0,0,0,15,91,2,0,0,0,0,0,0,0
