Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Jared Goff,DEN@DET,41,34,24,278,5,0,0,0,0,0,0,0,0,0,0,0,0
Christian McCaffrey,SF@ARI,41,0,0,0,0,0,0,18,115,1,0,5,72,2,0,0,0
Baker Mayfield,TB@GB,38,28,22,381,4,0,0,2,-2,0,0,0,0,0,0,1,0
James Cook,DAL@BUF,35,0,0,0,0,0,0,25,179,1,0,2,42,1,0,0,0
Aidan O'Connell,LAC@LV,33,34,20,248,4,0,0,0,0,0,0,0,0,0,0,0,0
Brock Purdy,SF@ARI,33,25,16,242,4,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Addison,MIN@CIN,29,0,0,0,0,0,0,0,0,0,0,6,111,2,0,0,0
Sam LaPorta,DEN@DET,28,0,0,0,0,0,0,0,0,0,0,5,56,3,0,0,0
Jaylen Waddle,NYJ@MIA,28,0,0,0,0,0,0,0,0,0,0,8,142,1,0,0,0
Derek Carr,NYG@NO,26,28,23,218,3,0,0,3,-4,0,0,0,0,0,0,0,0
Terry McLaurin,WAS@LA,26,0,0,0,0,0,0,0,0,0,0,6,141,1,0,0,0
Gardner Minshew,PIT@IND,26,28,18,215,3,0,0,2,0,0,0,0,0,0,0,0,0
David Njoku,CHI@CLE,26,0,0,0,0,0,0,0,0,0,0,10,104,1,0,0,0
Kyren Williams,WAS@LA,26,0,0,0,0,0,0,27,152,1,1,5,3,0,0,2,0
Chris Godwin,TB@GB,25,0,0,0,0,0,0,0,0,0,0,10,155,0,0,0,0
Cooper Kupp,WAS@LA,25,0,0,0,0,0,0,0,0,0,0,8,111,1,0,0,0
Easton Stick,LAC@LV,25,32,23,257,3,1,0,2,11,0,0,0,0,0,0,2,0
Davante Adams,LAC@LV,24,0,0,0,0,0,0,0,0,0,0,8,101,1,0,0,0
Ty Chandler,MIN@CIN,24,0,0,0,0,0,0,23,132,1,0,3,25,0,0,0,0
Jahmyr Gibbs,DEN@DET,24,0,0,0,0,0,0,11,100,1,0,2,8,1,0,0,0
Rashee Rice,KC@NE,24,0,0,0,0,0,0,0,0,0,0,9,91,1,0,0,0
Amon-Ra St. Brown,DEN@DET,24,0,0,0,0,0,0,0,0,0,0,7,112,1,0,0,0
Noah Brown,HOU@TEN,22,0,0,0,0,0,0,0,0,0,0,8,82,1,0,0,0
Jake Browning,MIN@CIN,22,42,29,324,2,1,0,4,0,0,0,0,0,0,0,0,0
Tee Higgins,MIN@CIN,22,0,0,0,0,0,0,0,0,0,0,4,61,2,0,0,0
Jordan Love,TB@GB,22,39,29,284,2,0,0,2,1,0,0,0,0,0,0,1,0
Matthew Stafford,WAS@LA,22,33,25,258,2,0,0,1,2,0,0,0,0,0,0,0,0
Jalen Hurts,PHI@SEA,21,31,17,143,0,2,0,13,82,2,0,0,0,0,0,0,0
Nick Mullens,MIN@CIN,21,33,26,303,2,2,0,6,10,0,0,0,0,0,0,0,0
Josh Palmer,LAC@LV,21,0,0,0,0,0,0,0,0,0,0,4,113,1,0,0,0
Curtis Samuel,WAS@LA,21,0,0,0,0,0,0,0,0,0,0,5,41,2,0,0,0
Deebo Samuel,SF@ARI,21,0,0,0,0,0,0,1,11,0,0,4,48,2,0,0,0
Rachaad White,TB@GB,21,0,0,0,0,0,0,21,89,0,0,2,50,1,0,0,0
Amari Cooper,CHI@CLE,20,0,0,0,0,0,0,0,0,0,0,4,109,1,0,0,0
Joe Flacco,CHI@CLE,20,44,28,374,2,3,0,1,-1,0,0,0,0,0,0,0,0
Patrick Mahomes,KC@NE,20,37,27,305,2,2,0,3,-5,0,0,0,0,0,0,0,0
Trey McBride,SF@ARI,20,0,0,0,0,0,0,0,0,0,0,10,102,0,0,0,0
Devin Singletary,HOU@TEN,20,0,0,0,0,0,0,26,121,0,0,4,49,0,0,0,0
Tre Tucker,LAC@LV,20,0,0,0,0,0,0,1,-2,0,0,3,59,2,0,0,0
Clyde Edwards-Helaire,KC@NE,19,0,0,0,0,0,0,13,37,0,0,4,64,1,0,0,0
Hunter Henry,KC@NE,19,0,0,0,0,0,0,0,0,0,0,7,66,1,0,0,0
Lamar Jackson,BAL@JAX,19,24,14,171,1,1,0,12,97,0,0,0,0,0,0,0,0
Kenneth Walker,PHI@SEA,19,0,0,0,0,0,0,19,86,1,0,3,26,0,0,0,0
Russell Wilson,DEN@DET,19,32,18,223,1,0,0,7,6,1,0,0,0,0,0,1,0
CeeDee Lamb,DAL@BUF,18,0,0,0,0,0,0,1,3,1,0,7,53,0,0,0,0
Trevor Lawrence,BAL@JAX,18,43,25,264,1,0,0,4,41,0,0,0,0,0,0,2,0
