Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Ja'Marr Chase,CIN@ARI,52,0,0,0,0,0,0,0,0,0,0,15,192,3,0,0,0
D.J. Moore,CHI@WAS,49,0,0,0,0,0,0,0,0,0,0,8,230,3,0,0,0
Justin Fields,CHI@WAS,40,29,15,282,4,0,0,11,57,0,0,0,0,0,0,0,0
Travis Etienne,JAX@BUF,35,0,0,0,0,0,0,26,136,2,1,4,48,0,0,0,0
Brock Purdy,DAL@SF,34,24,17,252,4,0,0,0,0,0,0,0,0,0,0,0,0
Jared Goff,CAR@DET,33,28,20,236,3,0,0,2,0,1,0,0,0,0,0,0,0
Zack Moss,TEN@IND,33,0,0,0,0,0,0,23,165,2,0,2,30,0,0,0,0
Tyreek Hill,NYG@MIA,32,0,0,0,0,0,0,0,0,0,0,8,181,1,0,0,0
Josh Allen,JAX@BUF,31,40,27,359,2,1,0,4,14,1,0,0,0,0,0,0,0
Jalen Hurts,PHI@LA,29,38,25,303,1,1,0,15,72,1,0,0,0,0,0,0,0
Joe Burrow,CIN@ARI,28,46,36,317,3,1,0,4,7,0,0,0,0,0,0,0,0
Sam Howell,CHI@WAS,28,51,37,388,2,1,0,4,19,0,1,0,0,0,0,0,0
Desmond Ridder,HOU@ATL,28,37,28,329,1,0,1,4,10,1,0,0,0,0,0,0,0
Breece Hall,NYJ@DEN,27,0,0,0,0,0,0,22,177,1,0,3,17,0,0,0,0
George Kittle,DAL@SF,27,0,0,0,0,0,0,0,0,0,0,3,67,3,0,0,0
Adam Thielen,CAR@DET,27,0,0,0,0,0,0,0,0,0,0,11,107,1,0,0,0
George Pickens,BAL@PIT,26,0,0,0,0,0,0,1,16,0,0,6,130,1,0,0,0
Stefon Diggs,JAX@BUF,25,0,0,0,0,0,0,0,0,0,0,8,121,1,0,1,0
Dallas Goedert,PHI@LA,25,0,0,0,0,0,0,0,0,0,0,8,117,1,0,0,0
Kirk Cousins,KC@MIN,23,47,29,284,2,0,0,3,5,0,0,0,0,0,0,0,0
Patrick Mahomes,KC@MIN,23,41,31,281,2,0,0,0,0,0,0,0,0,0,0,0,0
Bryce Young,CAR@DET,23,41,25,247,3,2,0,1,4,0,0,0,0,0,0,0,0
De'Von Achane,NYG@MIA,22,0,0,0,0,0,0,11,151,1,0,1,14,0,0,1,0
Gabriel Davis,JAX@BUF,22,0,0,0,0,0,0,0,0,0,0,6,100,1,0,0,0
DeAndre Hopkins,TEN@IND,22,0,0,0,0,0,0,0,0,0,0,8,140,0,0,0,0
Travis Kelce,KC@MIN,22,0,0,0,0,0,0,0,0,0,0,10,67,1,0,0,0
Russell Wilson,NYJ@DEN,22,31,20,196,2,0,0,7,49,0,0,0,0,0,0,1,0
Logan Thomas,CHI@WAS,21,0,0,0,0,0,0,0,0,0,0,9,77,1,0,1,0
