Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Alexander Mattison,TB@MIN,13,0,0,0,0,0,0,11,34,0,0,3,10,1,0,0,0
D.K. Metcalf,LA@SEA,13,0,0,0,0,0,0,0,0,0,0,3,47,1,0,0,0
David Montgomery,DET@KC,13,0,0,0,0,0,0,21,74,1,0,0,0,0,0,0,0
Courtland Sutton,LV@DEN,13,0,0,0,0,0,0,0,0,0,0,4,32,1,0,0,0
Davante Adams,LV@DEN,12,0,0,0,0,0,0,0,0,0,0,6,66,0,0,0,0
Justice Hill,HOU@BAL,12,0,0,0,0,0,0,8,9,2,0,0,0,0,0,0,0
Raheem Mostert,MIA@LAC,12,0,0,0,0,0,0,10,37,1,0,2,13,0,0,0,0
Josh Reynolds,DET@KC,12,0,0,0,0,0,0,0,0,0,0,4,80,0,0,0,0
Brian Robinson,ARI@WAS,12,0,0,0,0,0,0,19,59,0,0,1,7,1,0,0,0
Miles Sanders,CAR@ATL,12,0,0,0,0,0,0,18,72,0,0,4,26,0,0,1,0
Josh Allen,BUF@NYJ,11,41,29,236,1,3,0,6,36,0,0,0,0,0,0,1,0
James Conner,ARI@WAS,11,0,0,0,0,0,0,14,62,0,0,5,8,0,0,0,0
J.K. Dobbins,HOU@BAL,11,0,0,0,0,0,0,8,22,1,0,2,15,0,0,0,0
Kenny Gainwell,PHI@NE,11,0,0,0,0,0,0,14,54,0,0,4,20,0,0,0,0
T.J. Hockenson,TB@MIN,11,0,0,0,0,0,0,0,0,0,0,8,35,0,0,0,0
CeeDee Lamb,DAL@NYG,11,0,0,0,0,0,0,0,0,0,0,4,77,0,0,0,0
Donald Parham,MIA@LAC,11,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0
Samaje Perine,LV@DEN,11,0,0,0,0,0,0,8,41,0,0,4,37,0,0,0,0
Kenny Pickett,SF@PIT,11,46,31,232,1,2,0,1,4,0,0,0,0,0,0,0,0
Rashee Rice,DET@KC,11,0,0,0,0,0,0,1,-3,0,0,3,29,1,0,0,0
Desmond Ridder,CAR@ATL,11,18,15,115,1,0,0,1,-1,0,0,1,-6,0,0,0,0
Allen Robinson,SF@PIT,11,0,0,0,0,0,0,0,0,0,0,5,64,0,0,0,0
C.J. Stroud,HOU@BAL,11,44,28,242,0,0,0,4,20,0,0,1,0,0,0,1,0
Michael Thomas,TEN@NO,11,0,0,0,0,0,0,0,0,0,0,5,61,0,0,0,0
Jaylen Waddle,MIA@LAC,11,0,0,0,0,0,0,0,0,0,0,4,78,0,0,0,0
Robert Woods,HOU@BAL,11,0,0,0,0,0,0,0,0,0,0,6,57,0,0,0,0
Chris Godwin,TB@MIN,10,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
Khalil Herbert,GB@CHI,10,0,0,0,0,0,0,9,27,0,1,3,37,0,0,0,0
Curtis Samuel,ARI@WAS,10,0,0,0,0,0,0,1,6,0,0,5,54,0,0,0,0
Deebo Samuel,SF@PIT,10,0,0,0,0,0,0,2,8,0,0,5,55,0,0,0,0
Geno Smith,LA@SEA,10,26,16,112,1,0,0,1,6,0,0,0,0,0,0,0,0
KaVontae Turpin,DAL@NYG,10,0,0,0,0,0,0,3,14,1,0,2,11,0,0,0,0
Kenneth Walker,LA@SEA,10,0,0,0,0,0,0,12,64,0,0,4,3,0,0,0,0
Calvin Austin,SF@PIT,9,0,0,0,0,0,0,0,0,0,0,6,37,0,0,0,0
Saquon Barkley,DAL@NYG,9,0,0,0,0,0,0,12,51,0,0,3,12,0,0,0,0
Blake Bell,DET@KC,9,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
James Cook,BUF@NYJ,9,0,0,0,0,0,0,12,46,0,0,4,17,0,0,0,0
Jahan Dotson,ARI@WAS,9,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0
Evan Engram,JAX@IND,9,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0
Lil'Jordan Humphrey,LV@DEN,9,0,0,0,0,0,0,0,0,0,0,2,11,1,0,0,0
Cole Kmet,GB@CHI,9,0,0,0,0,0,0,1,0,0,0,5,44,0,0,0,0
Joe Mixon,CIN@CLE,9,0,0,0,0,0,0,13,56,0,0,3,17,0,0,0,0
Isiah Pacheco,DET@KC,9,0,0,0,0,0,0,8,23,0,0,4,31,0,0,0,0
Nick Westbrook,TEN@NO,9,0,0,0,0,0,0,0,0,0,0,4,58,0,0,0,0
Javonte Williams,LV@DEN,9,0,0,0,0,0,0,13,52,0,0,4,5,0,0,0,0
Zach Wilson,BUF@NYJ,9,21,14,140,1,1,0,4,6,0,0,0,0,0,0,0,0
Cam Akers,LA@SEA,8,0,0,0,0,0,0,22,29,1,0,0,0,0,0,0,0
Harrison Bryant,CIN@CLE,8,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0
Ja'Marr Chase,CIN@CLE,8,0,0,0,0,0,0,1,2,0,0,5,39,0,0,0,0
