Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
De'Von Achane,DEN@MIA,51,0,0,0,0,0,0,18,203,2,0,4,30,2,0,0,0
Keenan Allen,LAC@MIN,46,1,1,49,1,0,0,0,0,0,0,18,215,0,0,0,0
Raheem Mostert,DEN@MIA,45,0,0,0,0,0,0,13,82,3,0,7,60,1,0,0,0
Davante Adams,PIT@LV,42,0,0,0,0,0,0,0,0,0,0,13,172,2,0,0,0
Tua Tagovailoa,DEN@MIA,36,26,23,309,4,0,0,0,0,0,0,0,0,0,0,0,0
Justin Herbert,LAC@MIN,35,47,40,405,3,0,0,2,11,0,0,0,0,0,0,0,0
Kirk Cousins,LAC@MIN,31,50,32,367,3,1,0,1,10,0,0,0,0,0,0,0,0
Adam Thielen,CAR@SEA,31,0,0,0,0,0,0,0,0,0,0,11,145,1,0,0,0
Tyreek Hill,DEN@MIA,30,0,0,0,0,0,0,0,0,0,0,9,157,1,0,0,0
Patrick Mahomes,CHI@KC,30,33,24,272,3,0,0,3,28,0,0,0,0,0,0,0,0
Lamar Jackson,IND@BAL,29,31,22,202,0,0,0,14,101,2,0,0,0,0,0,1,0
Kenneth Walker,CAR@SEA,29,0,0,0,0,0,0,18,97,2,0,3,59,0,0,0,0
Andy Dalton,CAR@SEA,27,58,34,361,2,0,0,2,11,0,0,0,0,0,0,0,0
Justin Jefferson,LAC@MIN,27,0,0,0,0,0,0,0,0,0,0,7,149,1,0,0,0
Ja'Marr Chase,LA@CIN,26,0,0,0,0,0,0,0,0,0,0,12,141,0,0,0,0
Nathaniel Dell,HOU@JAX,25,0,0,0,0,0,0,0,0,0,0,5,145,1,0,0,0
Jordan Love,NO@GB,25,44,22,259,1,1,1,9,39,1,0,0,0,0,0,0,0
Mike Williams,LAC@MIN,25,0,0,0,0,0,0,0,0,0,0,7,121,1,0,0,0
Amari Cooper,TEN@CLE,24,0,0,0,0,0,0,0,0,0,0,7,116,1,0,0,0
Brock Purdy,NYG@SF,24,37,25,310,2,0,0,4,-1,0,0,0,0,0,0,0,0
Deebo Samuel,NYG@SF,24,0,0,0,0,0,0,1,2,0,0,6,129,1,0,0,0
C.J. Stroud,HOU@JAX,24,30,20,280,2,0,0,3,14,0,0,0,0,0,0,0,0
Deshaun Watson,TEN@CLE,24,33,27,289,2,0,0,4,16,0,0,0,0,0,0,0,0
Josh Allen,BUF@WAS,22,32,20,218,1,1,0,3,46,1,0,0,0,0,0,0,0
A.J. Brown,PHI@TB,22,0,0,0,0,0,0,0,0,0,0,9,131,0,0,0,0
Sam LaPorta,ATL@DET,22,0,0,0,0,0,0,0,0,0,0,8,84,1,0,0,0
Christian McCaffrey,NYG@SF,22,0,0,0,0,0,0,18,85,1,0,5,34,0,0,0,0
Zack Moss,IND@BAL,22,0,0,0,0,0,0,30,122,0,0,2,23,1,0,0,0
Kenny Pickett,PIT@LV,22,28,16,235,2,0,0,3,11,0,0,0,0,0,0,0,0
Jalen Hurts,PHI@TB,21,37,23,277,1,2,0,10,28,1,0,0,0,0,0,0,0
Courtland Sutton,DEN@MIA,21,0,0,0,0,0,0,0,0,0,0,8,91,1,0,2,0
Jimmy Garoppolo,PIT@LV,20,44,28,324,2,3,1,2,7,0,0,0,0,0,0,0,0
Stefon Diggs,BUF@WAS,19,0,0,0,0,0,0,0,0,0,0,8,111,0,0,0,0
Jared Goff,ATL@DET,19,33,22,243,1,1,0,5,3,1,0,0,0,0,0,0,0
Travis Kelce,CHI@KC,19,0,0,0,0,0,0,0,0,0,0,7,69,1,0,0,0
Amon-Ra St. Brown,ATL@DET,19,0,0,0,0,0,0,1,4,0,0,9,102,0,0,0,0
D.J. Chark,CAR@SEA,18,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0
James Conner,DAL@ARI,18,0,0,0,0,0,0,14,98,1,0,2,18,0,0,0,0
Joshua Dobbs,DAL@ARI,18,21,17,189,1,0,0,6,55,0,0,0,0,0,0,0,0
Romeo Doubs,NO@GB,18,0,0,0,0,0,0,0,0,0,0,5,73,1,0,0,0
Jerome Ford,TEN@CLE,18,0,0,0,0,0,0,10,18,1,0,2,33,1,0,0,0
Chris Olave,NO@GB,18,0,0,0,0,0,0,0,0,0,0,8,104,0,0,0,0
Chatarius Atwell,LA@CIN,17,0,0,0,0,0,0,1,22,0,0,4,50,1,0,0,0
