Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Lamar Jackson,LA@BAL,37,43,24,316,3,1,1,11,70,0,0,0,0,0,0,0,0
Deebo Samuel,SEA@SF,33,0,0,0,0,0,0,1,1,1,0,7,149,1,0,0,0
Evan Engram,JAX@CLE,32,0,0,0,0,0,0,0,0,0,0,11,95,2,0,0,0
Drake London,TB@ATL,29,0,0,0,0,0,0,0,0,0,0,10,172,0,1,0,0
Matthew Stafford,LA@BAL,29,41,23,294,3,0,0,1,-1,0,0,0,0,0,0,0,0
Jake Browning,IND@CIN,27,24,18,275,2,1,0,3,7,1,0,0,0,0,0,0,0
Joe Flacco,JAX@CLE,27,45,26,311,3,1,0,4,-1,0,0,0,0,0,0,1,0
David Njoku,JAX@CLE,27,0,0,0,0,0,0,0,0,0,0,6,91,2,0,0,0
Ezekiel Elliott,NE@PIT,26,0,0,0,0,0,0,22,68,0,0,7,72,1,0,0,0
Breece Hall,HOU@NYJ,26,0,0,0,0,0,0,10,40,0,0,8,86,1,0,0,0
D.J. Moore,DET@CHI,26,0,0,0,0,0,0,3,20,1,0,6,68,1,0,0,0
Desmond Ridder,TB@ATL,26,40,26,347,1,1,1,4,15,1,0,0,0,0,0,0,0
Bailey Zappe,NE@PIT,26,28,19,240,3,1,0,3,13,0,0,0,0,0,0,0,0
Justin Fields,DET@CHI,25,33,19,223,1,0,0,12,58,1,0,0,0,0,0,0,0
DeAndre Hopkins,TEN@MIA,25,0,0,0,0,0,0,0,0,0,0,7,124,1,0,0,0
Cooper Kupp,LA@BAL,25,0,0,0,0,0,0,0,0,0,0,8,115,1,0,0,0
James Cook,BUF@KC,24,0,0,0,0,0,0,10,58,0,0,5,83,1,0,0,0
Brock Purdy,SEA@SF,24,27,19,368,2,1,0,2,7,0,0,0,0,0,0,0,0
Zach Wilson,HOU@NYJ,24,36,27,301,2,0,0,3,12,0,0,0,0,0,0,1,0
Saquon Barkley,GB@NYG,23,0,0,0,0,0,0,20,86,2,0,3,15,0,0,1,0
Trevor Lawrence,JAX@CLE,23,50,28,257,3,3,0,3,11,0,0,0,0,0,0,0,0
Baker Mayfield,TB@ATL,23,29,14,144,2,0,0,3,3,1,0,0,0,0,0,0,0
Josh Allen,BUF@KC,22,42,23,233,1,1,0,10,32,1,0,0,0,0,0,0,0
Raheem Mostert,TEN@MIA,22,0,0,0,0,0,0,21,96,2,0,1,4,0,0,0,0
Dak Prescott,PHI@DAL,22,39,24,271,2,0,0,3,11,0,0,0,0,0,0,1,0
Mitchell Trubisky,NE@PIT,22,35,22,190,1,1,1,8,30,1,0,0,0,0,0,0,0
Rachaad White,TB@ATL,21,0,0,0,0,0,0,25,102,0,0,2,33,1,0,0,0
Austin Ekeler,DEN@LAC,20,0,0,0,0,0,0,10,51,1,0,5,49,0,0,0,0
Zay Flowers,LA@BAL,20,0,0,0,0,0,0,0,0,0,0,6,60,1,1,0,0
Joe Mixon,IND@CIN,20,0,0,0,0,0,0,21,79,1,0,3,46,0,0,0,0
Odell Beckham Jr.,LA@BAL,19,0,0,0,0,0,0,0,0,0,0,4,97,1,0,0,0
Chase Brown,IND@CIN,19,0,0,0,0,0,0,8,25,0,0,3,80,1,0,0,0
Tommy DeVito,GB@NYG,19,21,17,158,1,0,0,10,71,0,0,0,0,0,0,0,0
Hunter Henry,NE@PIT,19,0,0,0,0,0,0,0,0,0,0,3,40,2,0,0,0
CeeDee Lamb,PHI@DAL,19,0,0,0,0,0,0,0,0,0,0,6,71,1,0,0,0
Will Levis,TEN@MIA,19,38,23,327,1,1,1,4,15,0,0,0,0,0,0,1,0
Isaiah Likely,LA@BAL,19,0,0,0,0,0,0,0,0,0,0,5,83,1,0,0,0
Michael Pittman,IND@CIN,19,0,0,0,0,0,0,0,0,0,0,8,95,0,1,0,0
Jayden Reed,GB@NYG,19,0,0,0,0,0,0,4,38,1,0,8,27,0,0,0,0
Rashee Rice,BUF@KC,19,0,0,0,0,0,0,0,0,0,0,7,72,1,0,1,0
Bijan Robinson,TB@ATL,19,0,0,0,0,0,0,10,34,1,0,5,54,0,0,0,0
Garrett Wilson,HOU@NYJ,19,0,0,0,0,0,0,1,3,0,0,9,108,0,0,0,0
Drew Lock,SEA@SF,18,31,22,269,2,2,0,3,5,0,0,0,0,0,0,0,0
Russell Wilson,DEN@LAC,18,33,21,224,2,1,0,6,5,0,0,0,0,0,0,0,0
Brandon Aiyuk,SEA@SF,17,0,0,0,0,0,0,0,0,0,0,6,126,0,0,1,0
A.J. Brown,PHI@DAL,17,0,0,0,0,0,0,0,0,0,0,9,94,0,0,1,0
Derrick Henry,TEN@MIA,17,0,0,0,0,0,0,17,34,2,0,1,17,0,0,0,0
Javonte Williams,DEN@LAC,17,0,0,0,0,0,0,17,66,1,0,3,25,0,0,0,0
Travis Etienne,JAX@CLE,16,0,0,0,0,0,0,14,35,1,0,4,37,0,0,0,0
Jahmyr Gibbs,DET@CHI,16,0,0,0,0,0,0,11,66,1,0,3,16,0,0,0,0
George Kittle,SEA@SF,16,0,0,0,0,0,0,0,0,0,0,3,76,1,0,0,0
Wan'Dale Robinson,GB@NYG,16,0,0,0,0,0,0,2,36,0,0,6,79,0,0,0,0
Tyjae Spears,TEN@MIA,16,0,0,0,0,0,0,7,29,0,0,6,89,0,0,0,0
Davis Allen,LA@BAL,15,0,0,0,0,0,0,0,0,0,0,4,50,1,0,0,0
Christian McCaffrey,SEA@SF,15,0,0,0,0,0,0,16,145,0,0,1,8,0,0,0,0
Gardner Minshew,IND@CIN,15,39,26,240,1,1,1,2,5,0,0,0,0,0,0,0,0
Tony Pollard,PHI@DAL,15,0,0,0,0,0,0,16,59,0,0,7,37,0,0,0,0
Courtland Sutton,DEN@LAC,15,0,0,0,0,0,0,0,0,0,0,3,62,1,0,0,0
Derek Carr,CAR@NO,14,26,18,119,2,1,0,0,0,0,0,0,0,0,0,0,0
Diontae Johnson,NE@PIT,14,0,0,0,0,0,0,0,0,0,0,3,57,1,0,0,0
Alvin Kamara,CAR@NO,14,0,0,0,0,0,0,12,56,1,0,3,-11,0,0,0,0
Travis Kelce,BUF@KC,14,0,0,0,0,0,0,0,0,0,0,6,83,0,0,0,0
Tyler Lockett,SEA@SF,14,0,0,0,0,0,0,0,0,0,0,6,89,0,0,0,0
Patrick Mahomes,BUF@KC,14,43,25,271,1,1,0,1,8,0,0,0,0,0,0,0,0
Kyle Pitts,TB@ATL,14,0,0,0,0,0,0,0,0,0,0,3,57,1,0,0,0
Kyren Williams,LA@BAL,14,0,0,0,0,0,0,25,114,0,0,3,-1,0,0,0,0
Amari Cooper,JAX@CLE,13,0,0,0,0,0,0,0,0,0,0,7,77,0,0,1,0
Jerome Ford,JAX@CLE,13,0,0,0,0,0,0,12,51,0,0,5,31,0,0,0,0
Michael Gallup,PHI@DAL,13,0,0,0,0,0,0,0,0,0,0,3,48,1,0,0,0
D.K. Metcalf,SEA@SF,13,0,0,0,0,0,0,0,0,0,0,2,52,1,0,0,0
Puka Nacua,LA@BAL,13,0,0,0,0,0,0,1,6,0,0,5,84,0,0,0,0
Josh Reynolds,DET@CHI,13,0,0,0,0,0,0,0,0,0,0,3,44,1,0,0,0
Demarcus Robinson,LA@BAL,13,0,0,0,0,0,0,0,0,0,0,3,46,1,0,0,0
JuJu Smith-Schuster,NE@PIT,13,0,0,0,0,0,0,0,0,0,0,4,90,0,0,0,0
Jaylen Waddle,TEN@MIA,13,0,0,0,0,0,0,0,0,0,0,6,79,0,0,0,0
Davante Adams,MIN@LV,12,0,0,0,0,0,0,0,0,0,0,7,53,0,0,0,0
Keenan Allen,DEN@LAC,12,1,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0
Jake Ferguson,PHI@DAL,12,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
Quentin Johnston,DEN@LAC,12,0,0,0,0,0,0,0,0,0,0,3,91,0,0,0,0
Chris Olave,CAR@NO,12,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0
Devin Singletary,HOU@NYJ,12,0,0,0,0,0,0,13,65,1,0,0,0,0,0,0,0
Adam Thielen,CAR@NO,12,0,0,0,0,0,0,0,0,0,0,5,74,0,0,0,0
De'Von Achane,TEN@MIA,11,0,0,0,0,0,0,7,47,0,0,5,24,0,0,0,0
David Bell,JAX@CLE,11,0,0,0,0,0,0,0,0,0,0,1,41,1,0,0,0
Rico Dowdle,PHI@DAL,11,0,0,0,0,0,0,12,46,1,0,1,6,0,0,0,0
Cole Kmet,DET@CHI,11,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
Jordan Love,GB@NYG,11,39,25,218,1,1,0,2,2,0,0,0,0,0,0,1,0
Jerick McKinnon,BUF@KC,11,0,0,0,0,0,0,4,19,1,0,3,18,0,0,0,0
DeVonta Smith,PHI@DAL,11,0,0,0,0,0,0,0,0,0,0,5,73,0,0,1,0
Chris Godwin,TB@ATL,10,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
Tyreek Hill,TEN@MIA,10,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
T.J. Hockenson,MIN@LV,10,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
Isaiah Hodgins,GB@NYG,10,0,0,0,0,0,0,0,0,0,0,2,22,1,0,0,0
Chuba Hubbard,CAR@NO,10,0,0,0,0,0,0,23,87,0,0,2,9,0,0,0,0
Tanner Hudson,IND@CIN,10,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0
Tucker Kraft,GB@NYG,10,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
David Montgomery,DET@CHI,10,0,0,0,0,0,0,10,66,0,0,3,19,0,0,0,0
Colby Parkinson,SEA@SF,10,0,0,0,0,0,0,0,0,0,0,2,28,1,0,0,0
Tyler Conklin,HOU@NYJ,9,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
AJ Dillon,GB@NYG,9,0,0,0,0,0,0,15,53,0,0,2,25,0,0,0,0
D'Onta Foreman,DET@CHI,9,0,0,0,0,0,0,11,50,0,0,2,22,0,0,0,0
Jimmy Graham,CAR@NO,9,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0
Tee Higgins,IND@CIN,9,0,0,0,0,0,0,0,0,0,0,2,72,0,0,0,0
Kareem Hunt,JAX@CLE,9,0,0,0,0,0,0,10,27,1,0,1,3,0,0,0,0
Jalen Hurts,PHI@DAL,9,27,18,197,0,0,0,5,30,0,0,0,0,0,0,1,0
Will Mallory,IND@CIN,9,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
Jordan Mason,SEA@SF,9,0,0,0,0,0,0,4,20,1,0,1,6,0,0,0,0
Chigoziem Okonkwo,TEN@MIA,9,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
Cade Otton,TB@ATL,9,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0
Calvin Ridley,JAX@CLE,9,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0
Tua Tagovailoa,TEN@MIA,9,33,23,240,0,0,0,3,15,0,0,0,0,0,0,1,0
Adam Trautman,DEN@LAC,9,0,0,0,0,0,0,0,0,0,0,2,19,1,0,0,0
Kenneth Walker,SEA@SF,9,0,0,0,0,0,0,8,21,0,0,4,33,0,0,0,0
Parker Washington,JAX@CLE,9,0,0,0,0,0,0,0,0,0,0,2,27,1,0,1,0
Nelson Agholor,LA@BAL,8,0,0,0,0,0,0,0,0,0,0,5,32,0,0,0,0
Randall Cobb,HOU@NYJ,8,0,0,0,0,0,0,0,0,0,0,1,15,1,0,0,0
Gerald Everett,DEN@LAC,8,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
Zack Moss,IND@CIN,8,0,0,0,0,0,0,13,28,0,0,4,28,0,0,0,0
Samaje Perine,DEN@LAC,8,0,0,0,0,0,0,2,8,0,0,5,36,0,0,0,0
Bryce Young,CAR@NO,8,36,13,137,0,0,0,3,40,0,0,0,0,0,0,1,0
Mo Alie-Cox,IND@CIN,7,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Romeo Doubs,GB@NYG,7,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
Chase Edmonds,TB@ATL,7,0,0,0,0,0,0,8,40,0,0,2,18,0,0,0,0
Clyde Edwards-Helaire,BUF@KC,7,0,0,0,0,0,0,11,39,0,0,2,29,0,0,0,0
Xavier Gipson,HOU@NYJ,7,0,0,0,0,0,0,1,9,1,0,1,3,0,0,0,0
Dallas Goedert,PHI@DAL,7,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
Jared Goff,DET@CHI,7,35,20,161,1,2,0,1,0,0,0,0,0,0,0,1,0
Malik Heath,GB@NYG,7,0,0,0,0,0,0,0,0,0,0,1,6,1,0,0,0
Zay Jones,JAX@CLE,7,0,0,0,0,0,0,0,0,0,0,5,29,0,0,0,0
Dalton Kincaid,BUF@KC,7,0,0,0,0,0,0,0,0,0,0,5,21,0,0,0,0
Jakobi Meyers,MIN@LV,7,0,0,0,0,0,0,0,0,0,0,5,25,0,0,0,0
Elijah Moore,JAX@CLE,7,0,0,0,0,0,0,0,0,0,0,3,42,0,0,0,0
Miles Sanders,CAR@NO,7,0,0,0,0,0,0,10,74,0,0,0,0,0,0,0,0
Patrick Taylor,GB@NYG,7,0,0,0,0,0,0,4,30,0,0,2,22,0,0,0,0
Jaylen Warren,NE@PIT,7,0,0,0,0,0,0,7,11,0,0,4,29,0,0,0,0
Lynn Bowden,CAR@NO,6,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
Ty Chandler,MIN@LV,6,0,0,0,0,0,0,12,35,0,0,3,7,0,0,0,0
Stefon Diggs,BUF@KC,6,0,0,0,0,0,0,0,0,0,0,4,24,0,0,0,0
Josh Downs,IND@CIN,6,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Pat Freiermuth,NE@PIT,6,0,0,0,0,0,0,0,0,0,0,3,18,0,1,0,0
Najee Harris,NE@PIT,6,0,0,0,0,0,0,12,29,0,0,3,19,0,0,0,0
Josh Jacobs,MIN@LV,6,0,0,0,0,0,0,13,34,0,0,2,16,0,0,0,0
Brevin Jordan,HOU@NYJ,6,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Dawson Knox,BUF@KC,6,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Alexander Mattison,MIN@LV,6,0,0,0,0,0,0,10,66,0,0,0,0,0,0,0,0
Keaton Mitchell,LA@BAL,6,0,0,0,0,0,0,9,54,0,0,1,8,0,0,0,0
Darnell Mooney,DET@CHI,6,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
George Pickens,NE@PIT,6,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0
Hunter Renfrow,MIN@LV,6,0,0,0,0,0,0,0,0,0,0,3,46,0,0,1,0
Jeremy Ruckert,HOU@NYJ,6,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Jonnu Smith,TB@ATL,6,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
Jaxon Smith-Njigba,SEA@SF,6,0,0,0,0,0,0,0,0,0,0,4,25,0,0,0,0
Easton Stick,DEN@LAC,6,24,13,179,0,0,0,0,0,0,0,0,0,0,0,1,0
Kadarius Toney,BUF@KC,6,0,0,0,0,0,0,2,16,0,0,3,25,0,0,0,0
Nick Westbrook,TEN@MIA,6,0,0,0,0,0,0,0,0,0,0,2,28,0,1,0,0
Zach Charbonnet,SEA@SF,5,0,0,0,0,0,0,9,44,0,0,1,4,0,0,0,0
Ja'Marr Chase,IND@CIN,5,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Brandin Cooks,PHI@DAL,5,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
Noah Fant,SEA@SF,5,0,0,0,0,0,0,0,0,0,0,2,35,0,0,0,0
K.J. Osborn,MIN@LV,5,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
A.T. Perry,CAR@NO,5,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0
Amon-Ra St. Brown,DET@CHI,5,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Cedrick Wilson,TEN@MIA,5,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
Jordan Addison,MIN@LV,4,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Tyler Allgeier,TB@ATL,4,0,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0
Rashod Bateman,LA@BAL,4,0,0,0,0,0,0,0,0,0,0,2,24,0,0,0,0
Tyler Boyd,IND@CIN,4,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
D.J. Chark,CAR@NO,4,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
Joshua Dobbs,MIN@LV,4,23,10,63,0,0,0,5,21,0,0,0,0,0,0,0,0
Justin Jefferson,MIN@LV,4,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
D'Ernest Johnson,JAX@CLE,4,0,0,0,0,0,0,3,12,0,0,2,16,0,0,0,0
Lucas Krull,DEN@LAC,4,0,0,0,0,0,0,0,0,0,0,1,35,0,0,0,0
Sam LaPorta,DET@CHI,4,0,0,0,0,0,0,1,4,0,0,2,23,0,0,0,0
Jonathan Mingo,CAR@NO,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Aidan O'Connell,MIN@LV,4,32,21,171,0,1,0,1,2,0,0,0,0,0,0,0,0
Alec Pierce,IND@CIN,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Kalif Raymond,DET@CHI,4,0,0,0,0,0,0,0,0,0,0,3,15,0,0,0,0
Tyquan Thornton,NE@PIT,4,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Cedric Tillman,JAX@CLE,4,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Samori Toure,GB@NYG,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Marquez Valdes-Scantling,BUF@KC,4,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Dontayvion Wicks,GB@NYG,4,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Jamaal Williams,CAR@NO,4,0,0,0,0,0,0,11,43,0,0,0,0,0,0,0,0
Ameer Abdullah,MIN@LV,3,0,0,0,0,0,0,1,12,0,0,2,7,0,0,0,0
Andrew Beck,HOU@NYJ,3,0,0,0,0,0,0,0,0,0,0,1,26,0,0,0,0
Daniel Bellinger,GB@NYG,3,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Braxton Berrios,TEN@MIA,3,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Kylen Granson,IND@CIN,3,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Deonte Harty,BUF@KC,3,0,0,0,0,0,0,0,0,0,0,1,25,0,0,0,0
Connor Heyward,NE@PIT,3,1,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Xavier Hutchinson,HOU@NYJ,3,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Jalin Hyatt,GB@NYG,3,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Jerry Jeudy,DEN@LAC,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Juwan Johnson,CAR@NO,3,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0
Ty Johnson,BUF@KC,3,0,0,0,0,0,0,5,19,0,0,2,2,0,0,0,0
Jaleel McLaughlin,DEN@LAC,3,0,0,0,0,0,0,5,25,0,0,1,7,0,0,0,0
Marvin Mims,DEN@LAC,3,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Chris Moore,TEN@MIA,3,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
Nick Mullens,MIN@LV,3,13,9,83,0,0,0,0,0,0,0,0,0,0,0,0,0
Latavius Murray,BUF@KC,3,0,0,0,0,0,0,3,9,0,0,1,21,0,0,0,0
Jalen Nailor,MIN@LV,3,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
MyCole Pruitt,TB@ATL,3,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Allen Robinson,NE@PIT,3,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Darius Slayton,GB@NYG,3,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Durham Smythe,TEN@MIA,3,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
C.J. Stroud,HOU@NYJ,3,23,10,91,0,0,0,0,0,0,0,0,0,0,0,0,0
D'Andre Swift,PHI@DAL,3,0,0,0,0,0,0,11,39,0,0,0,0,0,0,0,0
Olamide Zaccheaus,PHI@DAL,3,0,0,0,0,0,0,0,0,0,0,1,28,0,0,0,0
Nico Collins,HOU@NYJ,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Dalvin Cook,HOU@NYJ,2,0,0,0,0,0,0,7,13,0,0,1,-5,0,0,0,0
Kenny Gainwell,PHI@DAL,2,0,0,0,0,0,0,4,28,0,0,0,0,0,0,0,0
Justice Hill,LA@BAL,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Khadarel Hodge,TB@ATL,2,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Lil'Jordan Humphrey,DEN@LAC,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Alec Ingold,TEN@MIA,2,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Velus Jones,DET@CHI,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Michael Mayer,MIN@LV,2,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Ty Montgomery,NE@PIT,2,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
David Moore,TB@ATL,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Foster Moreau,CAR@NO,2,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Donald Parham,DEN@LAC,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Donovan Peoples-Jones,DET@CHI,2,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Drew Sample,IND@CIN,2,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Tyler Scott,DET@CHI,2,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Khalil Shakir,BUF@KC,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
KaVontae Turpin,PHI@DAL,2,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,0
Darnell Washington,NE@PIT,2,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Justin Watson,BUF@KC,2,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Brock Wright,DET@CHI,2,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
Jordan Akins,JAX@CLE,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Calvin Austin,NE@PIT,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0
