Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Puka Nacua,LA@SF,14,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
Chris Olave,ATL@NO,14,0,0,0,0,0,0,0,0,0,0,3,56,1,0,0,0
Jarrett Stidham,DEN@LV,14,34,20,272,1,1,0,3,2,0,0,0,0,0,0,0,0
Will Dissly,SEA@ARI,13,0,0,0,0,0,0,0,0,0,0,3,46,1,0,0,0
Travis Etienne,JAX@TEN,13,0,0,0,0,0,0,16,57,0,0,5,30,0,0,0,0
Mecole Hardman,KC@LAC,13,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0
Sam LaPorta,MIN@DET,13,0,0,0,0,0,0,0,0,0,0,5,29,1,0,0,0
Donald Parham,KC@LAC,13,0,0,0,0,0,0,0,0,0,0,5,83,0,0,0,0
Lamical Perine,KC@LAC,13,0,0,0,0,0,0,21,76,0,0,3,33,0,0,0,0
Wan'Dale Robinson,PHI@NYG,13,0,0,0,0,0,0,0,0,0,0,5,85,0,0,0,0
Devin Singletary,HOU@IND,13,0,0,0,0,0,0,24,63,1,0,1,2,0,0,0,0
Tre Tucker,DEN@LV,13,0,0,0,0,0,0,1,11,0,0,5,79,0,0,0,0
De'Von Achane,BUF@MIA,12,0,0,0,0,0,0,10,56,1,0,1,5,0,0,0,0
Rico Dowdle,DAL@WAS,12,0,0,0,0,0,0,9,46,0,0,3,54,0,0,0,0
Ezekiel Elliott,NYJ@NE,12,0,0,0,0,0,0,13,54,0,0,5,27,0,0,0,0
Jake Ferguson,DAL@WAS,12,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
Brandon Johnson,DEN@LV,12,0,0,0,0,0,0,0,0,0,0,4,88,0,0,0,0
Marcus Mariota,PHI@NYG,12,20,13,148,1,1,0,6,46,0,0,0,0,0,0,1,0
Trey McBride,SEA@ARI,12,0,0,0,0,0,0,0,0,0,0,3,34,1,0,0,0
Bo Melton,CHI@GB,12,0,0,0,0,0,0,2,14,0,0,5,62,0,0,0,0
Rachaad White,TB@CAR,12,0,0,0,0,0,0,19,75,0,0,4,18,0,0,0,0
