Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Christian McCaffrey,ARI@SF,48,0,0,0,0,0,0,20,106,3,0,7,71,1,0,0,0
Josh Allen,MIA@BUF,43,25,21,320,4,0,0,4,17,1,0,0,0,0,0,0,0
A.J. Brown,WAS@PHI,38,0,0,0,0,0,0,0,0,0,0,9,175,2,0,0,0
Stefon Diggs,MIA@BUF,36,0,0,0,0,0,0,0,0,0,0,6,120,3,0,0,0
Justin Fields,DEN@CHI,36,35,28,335,4,1,0,4,25,0,0,0,0,0,0,1,0
Nico Collins,PIT@HOU,35,0,0,0,0,0,0,0,0,0,0,7,168,2,0,0,0
David Montgomery,DET@GB,34,0,0,0,0,0,0,32,121,3,0,2,20,0,0,0,0
Anthony Richardson,LA@IND,34,25,11,200,2,0,2,10,56,1,0,0,0,0,0,1,0
Lamar Jackson,BAL@CLE,32,19,15,186,2,0,0,9,27,2,0,0,0,0,0,1,0
Puka Nacua,LA@IND,31,0,0,0,0,0,0,0,0,0,0,9,163,1,0,0,0
Baker Mayfield,TB@NO,28,32,25,246,3,1,0,8,31,0,0,0,0,0,0,0,0
Jalen Hurts,WAS@PHI,27,37,25,319,2,0,0,9,34,0,0,0,0,0,0,0,0
Josh Jacobs,LV@LAC,27,0,0,0,0,0,0,17,58,1,0,8,81,0,0,0,0
Cole Kmet,DEN@CHI,27,0,0,0,0,0,0,1,1,0,0,7,85,2,0,0,0
D.J. Moore,DEN@CHI,27,0,0,0,0,0,0,0,0,0,0,8,131,1,0,0,0
Kyren Williams,LA@IND,27,0,0,0,0,0,0,25,103,2,0,3,24,0,0,0,0
Russell Wilson,DEN@CHI,27,28,21,223,3,0,0,4,13,0,0,0,0,0,0,0,0
De'Von Achane,MIA@BUF,26,0,0,0,0,0,0,8,101,2,0,3,19,0,0,0,0
Joshua Dobbs,ARI@SF,26,41,28,265,2,0,0,12,48,0,0,0,0,0,0,0,0
Derrick Henry,CIN@TEN,26,1,1,2,1,0,0,22,122,1,0,1,11,0,0,0,0
Justin Jefferson,MIN@CAR,26,0,0,0,0,0,0,0,0,0,0,6,85,2,0,0,0
Michael Wilson,ARI@SF,26,0,0,0,0,0,0,0,0,0,0,7,76,2,0,0,0
