Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
C.J. Stroud,TB@HOU,51,42,30,470,5,0,0,0,10,0,1,0,0,0,0,0,0
Dak Prescott,DAL@PHI,33,44,29,374,3,0,0,6,14,0,0,0,0,0,0,0,0
Joshua Dobbs,MIN@ATL,30,30,20,158,2,0,1,7,66,1,0,0,0,0,0,2,0
Nathaniel Dell,TB@HOU,29,0,0,0,0,0,0,2,2,0,0,6,114,2,0,0,0
Jalen Hurts,DAL@PHI,29,23,17,207,2,0,0,10,36,1,0,0,0,0,0,0,0
CeeDee Lamb,DAL@PHI,29,0,0,0,0,0,0,0,0,0,0,11,191,0,0,1,0
Dalton Schultz,TB@HOU,28,0,0,0,0,0,0,0,0,0,0,10,130,1,0,1,0
Noah Brown,TB@HOU,27,0,0,0,0,0,0,0,0,0,0,6,153,1,0,0,0
Rachaad White,TB@HOU,27,0,0,0,0,0,0,20,73,2,0,4,46,0,0,0,0
Josh Allen,BUF@CIN,26,38,26,258,1,1,1,8,44,1,0,0,0,0,0,0,0
Joe Burrow,BUF@CIN,25,44,31,348,2,0,0,5,4,0,0,0,0,0,0,0,0
Amari Cooper,ARI@CLE,24,0,0,0,0,0,0,0,0,0,0,5,139,1,0,0,0
Cade Otton,TB@HOU,24,0,0,0,0,0,0,0,0,0,0,6,70,2,0,1,0
Cole Kmet,CHI@NO,23,0,0,0,0,0,0,0,0,0,0,6,55,2,0,0,0
Stefon Diggs,BUF@CIN,22,0,0,0,0,0,0,0,0,0,0,6,86,1,1,0,0
Jake Ferguson,DAL@PHI,22,0,0,0,0,0,0,0,0,0,0,7,91,1,0,0,0
Taysom Hill,CHI@NO,22,1,1,3,1,0,0,11,52,0,0,4,13,1,0,0,0
Diontae Johnson,TEN@PIT,22,0,0,0,0,0,0,0,0,0,0,7,90,1,0,0,0
