Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Lamar Jackson,DET@BAL,40,27,21,357,3,0,0,9,36,1,0,0,0,0,0,1,0
Patrick Mahomes,LAC@KC,40,42,32,424,4,1,0,4,29,0,0,0,0,0,0,0,0
Travis Kelce,LAC@KC,35,0,0,0,0,0,0,0,0,0,0,12,179,1,0,0,0
Gardner Minshew,CLE@IND,33,23,15,305,2,1,0,3,29,2,0,0,0,0,0,3,0
D'Onta Foreman,LV@CHI,32,0,0,0,0,0,0,16,89,2,0,3,31,1,0,0,0
Jordan Addison,SF@MIN,31,0,0,0,0,0,0,0,0,0,0,7,123,2,0,0,0
A.J. Brown,MIA@PHI,29,0,0,0,0,0,0,0,0,0,0,10,137,1,0,0,0
Alvin Kamara,JAX@NO,29,0,0,0,0,0,0,17,62,0,0,12,91,0,1,0,0
Josh Allen,BUF@NE,28,41,27,265,2,1,1,7,17,1,0,0,0,0,0,1,0
Jalen Hurts,MIA@PHI,28,31,23,279,2,1,0,11,21,1,0,0,0,0,0,1,0
Jahmyr Gibbs,DET@BAL,26,0,0,0,0,0,0,11,68,1,0,9,58,0,0,0,0
Kirk Cousins,SF@MIN,25,45,35,378,2,1,0,2,-1,0,0,0,0,0,0,0,0
Tyreek Hill,MIA@PHI,25,0,0,0,0,0,0,0,0,0,0,11,88,1,0,0,0
Tyrod Taylor,WAS@NYG,25,29,18,279,2,0,0,8,25,0,0,0,0,0,0,0,0
Josh Downs,CLE@IND,23,0,0,0,0,0,0,0,0,0,0,5,125,1,0,0,0
Mac Jones,BUF@NE,23,30,25,272,2,0,0,3,11,0,0,0,0,0,0,0,0
Christian McCaffrey,SF@MIN,23,0,0,0,0,0,0,15,45,1,0,3,51,1,0,1,0
Puka Nacua,PIT@LA,23,0,0,0,0,0,0,0,0,0,0,8,154,0,0,0,0
Amon-Ra St. Brown,DET@BAL,23,0,0,0,0,0,0,0,0,0,0,13,102,0,0,0,0
Mark Andrews,DET@BAL,22,0,0,0,0,0,0,0,0,0,0,4,63,2,0,0,0
Travis Etienne,JAX@NO,22,0,0,0,0,0,0,14,53,2,0,3,24,0,0,0,0
Darren Waller,WAS@NYG,22,0,0,0,0,0,0,0,0,0,0,7,98,1,0,0,0
Gus Edwards,DET@BAL,21,0,0,0,0,0,0,14,64,1,0,1,80,0,0,0,0
Mike Evans,ATL@TB,20,0,0,0,0,0,0,0,0,0,0,6,82,1,0,0,0
Christian Kirk,JAX@NO,20,0,0,0,0,0,0,0,0,0,0,6,90,1,0,1,0
Jonathan Taylor,CLE@IND,20,0,0,0,0,0,0,18,75,1,0,3,45,0,0,0,0
Saquon Barkley,WAS@NYG,19,0,0,0,0,0,0,21,77,0,0,3,41,1,0,1,0
Derek Carr,JAX@NO,19,55,33,301,1,1,1,3,14,0,0,0,0,0,0,0,0
T.J. Hockenson,SF@MIN,19,0,0,0,0,0,0,0,0,0,0,11,86,0,0,0,0
Trevor Lawrence,JAX@NO,19,29,20,204,1,0,0,8,59,0,0,0,0,0,0,0,0
Jordan Love,GB@DEN,19,31,21,180,2,1,0,3,21,0,0,0,0,0,0,0,0
Courtland Sutton,GB@DEN,19,0,0,0,0,0,0,0,0,0,0,6,76,1,0,0,0
