Player,Game,FantasyPoints,PassingAtt,PassingCmp,PassingYds,PssingTD,Int,2Pt,RushingAtt,RushingYds,RushingTD,2Pt,Rec,ReceivingYds,ReceivingTD,2Pt,Fumbles,TD
Raheem Mostert,CAR@MIA,33,0,0,0,0,0,0,17,115,2,0,3,17,1,0,0,0
Amon-Ra St. Brown,DET@TB,30,0,0,0,0,0,0,0,0,0,0,12,124,1,0,0,0
Tyreek Hill,CAR@MIA,28,0,0,0,0,0,0,0,0,0,0,6,163,1,0,0,0
Tua Tagovailoa,CAR@MIA,28,31,21,262,3,0,0,1,0,0,0,0,0,0,0,0,0
Adam Thielen,CAR@MIA,28,0,0,0,0,0,0,0,0,0,0,11,115,1,0,0,0
Cooper Kupp,ARI@LA,27,0,0,0,0,0,0,0,0,0,0,7,148,1,0,0,0
Jared Goff,DET@TB,26,44,30,353,2,0,0,2,3,0,0,0,0,0,0,0,0
Dak Prescott,DAL@LAC,26,30,21,272,1,0,0,7,40,1,0,0,0,0,0,0,0
Sam Howell,WAS@ATL,24,23,14,151,3,0,0,4,3,0,0,0,0,0,0,0,0
Justin Herbert,DAL@LAC,23,37,22,227,2,1,0,6,20,0,0,1,10,0,0,0,0
Travis Etienne,IND@JAX,22,0,0,0,0,0,0,18,55,2,0,3,28,0,0,0,0
Keenan Allen,DAL@LAC,21,0,0,0,0,0,0,0,0,0,0,7,85,1,0,0,0
Jalen Hurts,PHI@NYJ,21,45,28,280,1,3,0,8,47,1,0,0,0,0,0,0,0
Travis Kelce,DEN@KC,21,0,0,0,0,0,0,0,0,0,0,9,124,0,0,0,0
Drake London,WAS@ATL,21,0,0,0,0,0,0,0,0,0,0,9,125,0,0,0,0
Kyren Williams,ARI@LA,21,0,0,0,0,0,0,20,158,1,0,0,0,0,0,0,0
A.J. Brown,PHI@NYJ,20,0,0,0,0,0,0,0,0,0,0,7,131,0,0,0,0
Stefon Diggs,NYG@BUF,20,0,0,0,0,0,0,0,0,0,0,10,100,0,0,0,0
Breece Hall,PHI@NYJ,19,0,0,0,0,0,0,12,39,1,0,5,54,0,0,0,0
Patrick Mahomes,DEN@KC,19,40,30,306,1,1,0,6,31,0,0,0,0,0,0,0,0
Michael Pittman,IND@JAX,19,0,0,0,0,0,0,0,0,0,0,9,109,0,0,0,0
Desmond Ridder,WAS@ATL,19,47,28,307,2,3,0,2,18,0,0,0,0,0,0,0,0
Kendrick Bourne,NE@LV,18,0,0,0,0,0,0,1,4,0,0,10,89,0,0,0,0
Derek Carr,NO@HOU,18,50,32,353,1,1,0,1,2,0,0,0,0,0,0,0,0
Derrick Henry,BAL@TEN,18,0,0,0,0,0,0,12,97,1,0,2,16,0,0,0,0
Lamar Jackson,BAL@TEN,18,30,21,223,1,1,0,13,62,0,0,0,0,0,0,0,0
CeeDee Lamb,DAL@LAC,18,0,0,0,0,0,0,0,0,0,0,7,117,0,0,0,0
Trevor Lawrence,IND@JAX,18,30,20,181,2,1,0,3,15,0,0,0,0,0,0,0,0
D'Andre Swift,PHI@NYJ,18,0,0,0,0,0,0,10,18,0,0,8,40,1,0,1,0
Jaylen Waddle,CAR@MIA,18,0,0,0,0,0,0,0,0,0,0,7,51,1,0,0,0
Josh Allen,NYG@BUF,17,30,19,169,2,1,0,2,11,0,0,0,0,0,0,0,0
Joe Burrow,SEA@CIN,17,35,24,185,2,1,0,2,4,0,0,0,0,0,0,0,0
Zay Flowers,BAL@TEN,17,0,0,0,0,0,0,1,1,0,0,6,50,1,0,0,0
Jakobi Meyers,NE@LV,17,0,0,0,0,0,0,0,0,0,0,5,61,1,0,0,0
Zack Moss,IND@JAX,17,0,0,0,0,0,0,7,21,1,0,6,38,0,0,0,0
Tony Pollard,DAL@LAC,17,0,0,0,0,0,0,15,30,0,0,6,80,0,0,0,0
Rashid Shaheed,NO@HOU,17,0,0,0,0,0,0,2,18,0,0,2,85,1,0,0,0
Rhamondre Stevenson,NE@LV,17,0,0,0,0,0,0,10,46,1,0,5,24,0,0,0,0
C.J. Stroud,NO@HOU,17,27,13,199,2,1,0,3,2,0,0,0,0,0,0,0,0
Kenneth Walker,SEA@CIN,17,0,0,0,0,0,0,19,62,1,0,3,27,0,0,0,0
Garrett Wilson,PHI@NYJ,17,0,0,0,0,0,0,0,0,0,0,8,90,0,0,0,0
Tyler Boyd,SEA@CIN,16,0,0,0,0,0,0,0,0,0,0,7,38,1,0,0,0
Alvin Kamara,NO@HOU,16,0,0,0,0,0,0,19,68,0,0,7,36,0,0,0,0
Chris Olave,NO@HOU,16,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0,0
Dalton Schultz,NO@HOU,16,0,0,0,0,0,0,0,0,0,0,4,61,1,0,0,0
Chuba Hubbard,CAR@MIA,15,0,0,0,0,0,0,19,88,1,0,1,2,0,0,0,0
Kareem Hunt,SF@CLE,15,0,0,0,0,0,0,12,47,1,0,3,24,0,0,0,0
Tyler Lockett,SEA@CIN,15,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,0
Isiah Pacheco,DEN@KC,15,0,0,0,0,0,0,16,62,0,0,6,36,0,0,0,0
Matthew Stafford,ARI@LA,15,24,15,226,1,0,0,1,2,0,0,0,0,0,0,0,0
Ja'Marr Chase,SEA@CIN,14,0,0,0,0,0,0,0,0,0,0,6,80,0,0,0,0
Brandin Cooks,DAL@LAC,14,0,0,0,0,0,0,1,14,0,0,4,36,1,0,0,0
Amari Cooper,SF@CLE,14,0,0,0,0,0,0,0,0,0,0,4,108,0,0,0,0
Terry McLaurin,WAS@ATL,14,0,0,0,0,0,0,0,0,0,0,6,81,0,0,0,0
Kyle Pitts,WAS@ATL,14,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
Wan'Dale Robinson,NYG@BUF,14,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0
Curtis Samuel,WAS@ATL,14,0,0,0,0,0,0,1,0,0,0,4,42,1,0,0,0
Courtland Sutton,DEN@KC,14,0,0,0,0,0,0,0,0,0,0,4,46,1,0,0,0
Bryce Young,CAR@MIA,14,38,23,217,1,0,0,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,NYG@BUF,13,0,0,0,0,0,0,24,93,0,0,4,5,0,0,0,0
Josh Downs,IND@JAX,13,0,0,0,0,0,0,0,0,0,0,5,21,1,0,0,0
Chris Godwin,DET@TB,13,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0
Christian Kirk,IND@JAX,13,0,0,0,0,0,0,0,0,0,0,3,49,1,0,0,0
Christian McCaffrey,SF@CLE,13,0,0,0,0,0,0,11,43,0,0,3,9,1,0,0,0
Brian Robinson,WAS@ATL,13,0,0,0,0,0,0,10,31,0,0,2,25,1,0,0,0
Jonnu Smith,WAS@ATL,13,0,0,0,0,0,0,0,0,0,0,4,36,1,0,0,0
Jameson Williams,DET@TB,13,0,0,0,0,0,0,0,0,0,0,2,53,1,0,0,0
