Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Jalen Hurts,PHI,QB,24,14,14,0,0,3472,22,425,747,13,156,0,0,370,369.6,5,9,2
Josh Jacobs,LVR,RB,24,14,14,55,46,0,0,0,1495,11,291,363,0,250,295.8,0,3,1
Patrick Mahomes,KAN,QB,27,14,14,0,0,4496,35,552,313,3,52,0,0,353,353.1,11,5,0
Josh Allen,BUF,QB,26,14,14,0,0,3857,30,510,705,6,109,0,0,351,350.8,11,12,5
Derrick Henry,TEN,RB,28,14,14,38,30,4,1,2,1303,12,296,379,0,240,270.4,0,5,2
Travis Kelce,KAN,TE,33,14,14,127,91,0,0,0,5,0,2,1144,12,187,277.9,0,1,1
Justin Jefferson,MIN,WR,23,14,14,158,111,34,0,2,24,1,4,1623,7,216,327.1,0,0,0
Tyreek Hill,MIA,WR,28,14,14,152,109,0,0,0,30,0,6,1529,7,204,312.9,0,1,0
Christian McCaffrey,2TM,RB,26,14,13,94,74,34,1,1,927,6,200,623,4,220,294.4,0,1,0
Davante Adams,LVR,WR,30,14,14,151,86,0,0,0,-1,0,3,1275,12,199,285.4,0,1,0
Nick Chubb,CLE,RB,27,14,14,29,20,0,0,0,1252,12,252,172,0,214,234.4,0,1,1
Austin Ekeler,LAC,RB,27,14,14,115,95,0,0,0,692,9,165,635,5,213,307.7,0,4,2
Joe Burrow,CIN,QB,26,14,14,0,0,3885,31,512,242,5,68,0,0,316,315.6,10,5,2
Stefon Diggs,BUF,WR,29,14,14,142,99,0,0,0,-3,0,1,1299,10,190,288.6,0,1,0
Saquon Barkley,NYG,RB,25,14,14,62,47,0,0,0,1170,9,269,294,0,202,249.4,0,1,0
Tony Pollard,DAL,RB,25,14,4,46,33,0,0,0,969,9,177,310,3,200,232.9,0,0,0
A.J. Brown,PHI,WR,25,14,13,118,74,0,0,0,0,0,0,1201,10,176,250.1,0,2,2
Dalvin Cook,MIN,RB,27,14,14,48,33,0,0,0,1045,8,230,265,2,185,218.0,0,3,3
Miles Sanders,PHI,RB,25,14,12,24,19,0,0,0,1110,11,215,72,0,182,201.2,0,1,1
