Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Nick Chubb,CLE,RB,27,9,9,19,13,0,0,0,904,11,160,88,0,165,178.2,0,1,1
Patrick Mahomes,KAN,QB,27,9,9,0,0,2936,25,366,215,1,34,0,0,235,234.9,7,3,0
Josh Allen,BUF,QB,26,9,9,0,0,2733,20,341,476,4,68,0,0,235,234.9,10,8,3
Derrick Henry,TEN,RB,28,9,9,21,16,0,0,0,923,9,202,154,0,162,177.7,0,1,0
Travis Kelce,KAN,TE,33,9,9,84,63,0,0,0,5,0,2,740,8,125,187.5,0,0,0
Tyreek Hill,MIA,WR,28,10,10,106,81,0,0,0,25,0,5,1148,4,141,222.3,0,1,0
Stefon Diggs,BUF,WR,29,9,9,99,72,0,0,0,0,0,0,985,7,141,212.5,0,1,0
Justin Jefferson,MIN,WR,23,9,9,100,69,23,0,1,13,1,2,1060,4,140,209.2,0,0,0
Saquon Barkley,NYG,RB,25,9,9,36,29,0,0,0,931,6,198,197,0,151,179.8,0,1,0
Austin Ekeler,LAC,RB,27,9,9,81,67,0,0,0,451,6,104,420,4,145,212.1,0,3,1
Josh Jacobs,LVR,RB,24,9,9,37,31,0,0,0,821,7,159,200,0,144,175.1,0,1,0
Jalen Hurts,PHI,QB,24,9,9,0,0,2217,14,265,354,7,94,0,0,216,216.1,3,5,1
Cooper Kupp,LAR,WR,29,9,9,98,75,0,0,1,52,1,9,812,6,126,201.4,0,2,1
Davante Adams,LVR,WR,30,9,9,99,57,0,0,0,-1,0,3,784,8,126,183.3,0,1,0
Jaylen Waddle,MIA,WR,24,10,10,75,51,0,0,0,17,0,2,878,6,124,174.5,0,1,1
Christian McCaffrey,2TM,RB,26,9,8,60,47,34,1,1,563,4,125,395,2,137,184.2,0,1,0
Joe Mixon,CIN,RB,26,9,9,50,38,0,0,0,585,6,151,272,2,134,171.7,0,0,0
Justin Fields,CHI,QB,23,10,10,0,0,1489,12,207,749,6,104,0,0,204,204.5,7,12,1
Dalvin Cook,MIN,RB,27,9,9,33,22,0,0,0,727,6,145,146,1,127,149.3,0,1,1
Joe Burrow,CIN,QB,26,9,9,0,0,2535,18,333,141,4,35,0,0,200,199.5,6,4,2
Aaron Jones,GNB,RB,28,10,10,42,34,0,0,0,738,2,131,228,3,125,158.6,0,2,1
Lamar Jackson,BAL,QB,25,9,9,0,0,1768,16,257,635,2,86,0,0,196,196.2,6,4,1
Christian Kirk,JAX,WR,26,10,10,82,52,0,0,1,12,0,3,679,7,109,161.1,0,1,1
A.J. Brown,PHI,WR,25,9,8,73,44,0,0,0,0,0,0,725,6,109,152.5,0,0,0
Jamaal Williams,DET,RB,27,9,5,12,9,0,0,0,604,9,142,57,0,120,129.1,0,2,1
Travis Etienne,JAX,RB,23,10,5,31,22,0,0,0,725,4,131,202,0,117,138.7,0,3,1
CeeDee Lamb,DAL,WR,23,9,9,88,53,0,0,0,12,0,5,706,5,102,154.8,0,0,0
Rhamondre Stevenson,NWE,RB,24,9,3,43,35,0,0,0,618,4,129,227,1,115,149.5,0,0,0
Taysom Hill,NOR,TE,32,9,4,5,3,101,1,10,344,5,43,16,1,80,83.0,0,1,0
Mark Andrews,BAL,TE,27,8,8,64,42,0,0,0,7,0,2,488,5,80,121.5,0,0,0
Dameon Pierce,HOU,RB,22,9,9,27,22,0,0,0,772,3,165,126,1,112,133.8,0,3,1
Leonard Fournette,TAM,RB,27,10,9,50,43,0,0,1,462,3,135,315,3,112,154.7,1,0,0
Tony Pollard,DAL,RB,25,9,3,25,15,0,0,0,621,6,103,134,0,112,126.5,0,0,0
Miles Sanders,PHI,RB,25,9,8,14,11,0,0,0,710,6,143,42,0,111,122.2,0,0,0
Kenneth Walker III,SEA,RB,22,9,5,24,18,0,0,0,587,7,121,103,0,111,129.0,0,0,0
Geno Smith,SEA,QB,32,10,10,0,0,2474,17,316,218,1,45,0,0,183,182.8,4,4,2
Ja'Marr Chase,CIN,WR,22,7,7,74,47,0,0,0,2,0,4,605,6,95,141.7,0,1,1
T.J. Hockenson,2TM,TE,25,9,9,62,42,0,0,0,0,0,0,510,3,71,113.0,0,0,0
Dallas Goedert,PHI,TE,27,9,9,53,43,0,0,0,0,0,0,544,3,70,113.4,0,1,1
Tyler Lockett,SEA,WR,30,10,10,71,54,0,0,0,0,0,0,640,5,90,144.0,0,2,2
Zach Ertz,ARI,TE,32,10,10,69,47,0,0,0,0,0,0,406,4,69,115.6,0,0,0
Kyler Murray,ARI,QB,25,9,9,0,0,2168,12,360,359,2,59,0,0,175,174.6,6,8,2
Terry McLaurin,WAS,WR,27,10,10,73,46,0,0,0,11,0,4,737,2,87,132.8,0,1,0
Khalil Herbert,CHI,RB,24,10,1,7,6,0,0,0,643,4,108,62,1,101,106.5,0,0,0
Amari Cooper,CLE,WR,28,9,9,69,42,0,0,1,0,0,0,585,5,87,128.5,1,0,0
Mike Evans,TAM,WR,29,9,9,76,49,0,0,0,0,0,0,671,3,85,134.1,0,0,0
Gabriel Davis,BUF,WR,23,8,8,47,24,0,0,0,0,0,0,544,5,84,108.4,0,0,0
Jeff Wilson,2TM,RB,27,10,6,21,15,0,0,0,638,3,118,136,1,97,112.4,0,2,2
Breece Hall,NYJ,RB,21,7,2,31,19,0,0,0,463,4,80,218,1,96,115.1,0,1,1
Alvin Kamara,NOR,RB,27,8,7,53,39,0,0,0,469,1,112,338,2,95,133.7,0,2,2
Tyler Boyd,CIN,WR,28,9,7,49,37,23,0,1,0,0,0,537,4,81,117.6,0,0,0
Brandon Aiyuk,SFO,WR,24,9,9,62,44,0,0,0,7,0,1,567,4,79,123.4,0,1,1
Antonio Gibson,WAS,RB,24,10,6,41,34,0,0,0,372,3,103,253,2,93,126.5,0,0,0
Cole Kmet,CHI,TE,23,10,10,33,23,0,0,0,9,0,2,274,5,58,81.3,0,0,0
D.K. Metcalf,SEA,WR,25,10,10,77,48,0,0,0,0,0,0,581,4,78,126.1,0,2,2
Chris Olave,NOR,WR,22,9,6,77,46,0,0,0,0,0,0,658,2,78,123.8,0,1,1
Curtis Samuel,WAS,WR,26,10,8,70,47,0,0,0,134,0,22,483,3,78,124.7,0,1,1
Allen Lazard,GNB,WR,27,8,8,55,33,0,0,0,0,0,0,472,5,77,110.2,0,0,0
Amon-Ra St. Brown,DET,WR,23,8,8,70,49,0,0,0,70,0,3,518,3,77,125.8,0,0,0
Raheem Mostert,MIA,RB,30,10,8,26,17,0,0,0,543,3,118,119,1,90,107.2,0,0,0
Trevor Lawrence,JAX,QB,23,10,10,0,0,2334,13,348,178,3,37,0,0,163,163.2,6,6,4
Juwan Johnson,NOR,TE,26,10,6,43,28,0,0,0,0,0,0,302,4,54,82.2,0,0,0
Tee Higgins,CIN,WR,23,9,8,58,41,0,0,0,0,0,0,564,3,74,115.4,0,0,0
Deebo Samuel,SFO,WR,26,8,7,60,34,0,0,0,165,1,28,411,2,74,107.6,0,2,1
Tua Tagovailoa,MIA,QB,24,8,8,0,0,2265,18,248,35,0,19,0,0,160,160.1,3,2,0
JuJu Smith-Schuster,KAN,WR,26,9,9,64,46,0,0,0,0,0,0,615,2,72,117.5,0,2,1
Mike Gesicki,MIA,TE,27,10,1,35,24,0,0,0,0,0,0,269,4,51,74.9,0,0,0
Tyler Conklin,NYJ,TE,27,9,9,50,33,0,0,0,1,0,1,316,3,50,82.7,0,2,0
D.J. Moore,CAR,WR,25,10,10,77,39,0,0,0,39,0,7,478,3,70,108.7,0,0,0
Mecole Hardman,KAN,WR,24,8,5,34,25,0,0,0,31,2,4,297,4,69,93.8,0,1,0
Gerald Everett,LAC,TE,28,9,6,55,34,0,0,0,0,0,1,364,2,48,82.4,0,0,0
Marcus Mariota,ATL,QB,29,10,10,0,0,1747,12,231,347,3,63,0,0,155,154.6,7,8,3
Mike Williams,LAC,WR,28,7,7,59,37,0,0,0,0,0,0,495,3,68,104.5,0,0,0
Devin Duvernay,BAL,WR,25,9,9,33,25,0,0,0,55,1,7,318,3,67,92.3,0,0,0
Marquise Brown,ARI,WR,25,6,6,64,43,0,0,0,0,0,0,485,3,67,109.5,0,1,0
Tory Carter,TEN,,23,6,3,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Alex Armah,WAS,,28,2,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,9,6,23,17,0,0,0,293,3,69,151,3,80,97.4,0,0,0
Tom Brady,TAM,QB,45,10,10,1,0,2805,12,427,-8,0,18,0,0,153,153.4,2,3,2
Kirk Cousins,MIN,QB,34,9,9,0,0,2356,14,354,50,2,21,0,0,153,153.2,8,4,1
Daniel Jones,NYG,QB,25,9,9,0,0,1596,8,237,387,3,69,0,0,147,146.5,2,3,2
Justin Herbert,LAC,QB,24,9,9,1,1,2450,14,386,73,0,27,-8,0,145,145.5,6,3,2
Aaron Rodgers,GNB,QB,39,10,10,0,0,2315,17,337,64,0,16,0,0,145,145.0,7,7,4
Jared Goff,DET,QB,28,9,9,1,1,2277,15,301,43,0,17,5,0,140,140.9,7,5,3
Derek Carr,LVR,QB,31,9,9,0,0,2128,13,311,67,0,15,0,0,134,133.8,5,3,0
Jacoby Brissett,CLE,QB,30,9,9,0,0,2074,8,290,182,2,38,0,0,129,129.2,5,5,3
Jimmy Garoppolo,SFO,QB,31,8,7,0,0,1931,11,238,26,2,18,0,0,124,123.8,4,3,2
