Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Lamar Jackson,BAL,QB,25,4,4,0,0,893,11,117,316,2,37,0,0,115,4,1,0
Josh Allen,BUF,QB,26,4,4,0,0,1227,10,168,183,2,30,0,0,111,3,4,1
Nick Chubb,CLE,RB,27,4,4,8,6,0,0,0,459,5,81,37,0,80,0,0,0
Jalen Hurts,PHI,QB,24,4,4,0,0,1120,4,123,205,4,53,0,0,101,2,2,0
Saquon Barkley,NYG,RB,25,4,4,17,15,0,0,0,463,2,84,107,0,71,0,1,0
Stefon Diggs,BUF,WR,29,4,4,41,31,0,0,0,0,0,0,406,4,65,0,0,0
Cooper Kupp,LAR,WR,29,4,4,54,42,0,0,0,20,1,1,402,3,64,0,1,1
Jamaal Williams,DET,RB,27,4,1,8,5,0,0,0,276,6,62,30,0,67,0,0,0
Travis Kelce,KAN,TE,33,4,4,34,26,0,0,0,1,0,1,322,3,52,0,0,0
Patrick Mahomes,KAN,QB,27,4,4,0,0,1106,11,146,64,0,13,0,0,93,2,1,0
Tyreek Hill,MIA,WR,28,4,4,43,31,0,0,0,5,0,2,477,2,60,0,1,0
Clyde Edwards-Helaire,KAN,RB,23,4,4,14,13,0,0,0,208,2,41,117,3,63,0,0,0
Jared Goff,DET,QB,28,4,4,0,0,1126,11,151,16,0,7,0,0,89,3,1,0
Jaylen Waddle,MIA,WR,24,4,4,35,21,0,0,0,17,0,2,381,3,58,0,0,0
Justin Jefferson,MIN,WR,23,4,4,42,28,0,0,0,3,1,1,393,2,58,0,0,0
T.J. Hockenson,DET,TE,25,4,4,30,18,0,0,0,0,0,0,261,3,46,0,0,0
Derrick Henry,TEN,RB,28,4,4,12,8,0,0,0,306,3,76,91,0,58,0,1,0
Miles Sanders,PHI,RB,25,4,4,9,8,0,0,0,356,3,72,35,0,57,0,0,0
Mark Andrews,BAL,TE,27,4,4,36,24,0,0,0,3,0,1,260,3,44,0,0,0
Cordarrelle Patterson,ATL,RB,31,4,3,7,4,0,0,0,340,3,58,28,0,55,0,0,0
Kyler Murray,ARI,QB,25,4,4,0,0,991,5,173,91,2,24,0,0,83,2,2,0
Josh Jacobs,LVR,RB,24,4,4,13,12,0,0,0,336,2,70,90,0,55,0,1,0
Christian Kirk,JAX,WR,26,4,4,36,20,0,0,0,3,0,1,327,3,51,0,0,0
Khalil Herbert,CHI,RB,24,4,1,5,5,0,0,0,317,3,52,37,0,53,0,0,0
James Robinson,JAX,RB,24,4,4,7,6,0,0,0,259,3,59,33,1,53,0,1,0
Amon-Ra St. Brown,DET,WR,23,3,3,33,23,0,0,0,68,0,2,253,3,50,0,0,0
Christian McCaffrey,CAR,RB,26,4,4,23,19,0,0,0,270,1,58,138,1,53,0,0,0
Justin Herbert,LAC,QB,24,4,4,0,0,1250,9,166,4,0,11,0,0,80,2,1,1
Austin Ekeler,LAC,RB,27,4,4,29,27,0,0,0,140,2,45,188,1,51,0,1,0
Aaron Jones,GNB,RB,28,4,4,16,12,0,0,0,327,1,48,81,1,51,0,1,1
Joe Burrow,CIN,QB,26,4,4,0,0,1099,8,156,79,0,20,0,0,78,4,3,1
Davante Adams,LVR,WR,30,4,4,47,26,0,0,0,0,0,2,290,3,47,0,0,0
A.J. Brown,PHI,WR,25,4,4,38,25,0,0,0,0,0,0,404,1,46,0,0,0
Marquise Brown,ARI,WR,25,4,4,45,30,0,0,0,0,0,0,339,2,46,0,0,0
Deebo Samuel,SFO,WR,26,4,4,28,18,0,0,0,113,1,19,246,1,46,0,2,1
Dameon Pierce,HOU,RB,22,4,4,10,10,0,0,0,313,2,60,43,0,48,0,2,0
Tee Higgins,CIN,WR,23,4,4,28,20,0,0,0,0,0,0,315,2,44,0,0,0
Geno Smith,SEA,QB,32,4,4,0,0,1037,6,132,64,1,17,0,0,74,2,1,0
Gerald Everett,LAC,TE,28,4,4,26,16,0,0,0,0,0,0,211,2,33,0,0,0
Damien Harris,NWE,RB,25,4,4,9,7,0,0,0,246,3,53,29,0,46,0,0,0
Zach Ertz,ARI,TE,32,4,4,31,22,0,0,0,0,0,0,181,2,32,0,0,0
Mike Evans,TAM,WR,29,3,3,21,16,0,0,0,0,0,0,235,3,42,0,0,0
CeeDee Lamb,DAL,WR,23,4,4,42,23,0,0,0,6,0,1,288,2,41,0,0,0
Devin Duvernay,BAL,WR,25,4,4,13,12,0,0,0,-2,0,2,172,3,41,0,0,0
Courtland Sutton,DEN,WR,27,4,4,35,24,0,0,0,5,0,1,343,1,41,0,0,0
Carson Wentz,WAS,QB,30,4,4,0,0,1031,8,172,62,0,12,0,0,71,5,3,1
Jahan Dotson,WAS,WR,22,4,3,22,12,0,0,0,-10,0,1,152,4,40,0,0,0
Dallas Goedert,PHI,TE,27,4,4,20,16,0,0,0,0,0,0,240,1,30,0,0,0
Rashaad Penny,SEA,RB,26,4,4,5,4,0,0,0,292,2,49,16,0,43,0,1,0
D'Andre Swift,DET,RB,23,3,3,12,8,0,0,0,231,1,27,77,1,43,0,0,0
Will Dissly,SEA,TE,26,4,4,12,12,0,0,0,0,0,0,116,3,30,0,0,0
Chris Olave,NOR,WR,22,4,2,36,21,0,0,0,0,0,0,335,1,40,0,1,1
Ja'Marr Chase,CIN,WR,22,4,4,41,25,0,0,0,2,0,3,293,2,40,0,1,1
Jonathan Taylor,IND,RB,23,4,4,16,9,0,0,0,328,1,81,44,0,41,0,1,1
Pat Freiermuth,PIT,TE,24,4,4,30,18,0,0,0,0,0,0,223,1,28,0,0,0
Corey Davis,NYJ,WR,27,4,2,26,15,0,0,0,0,0,0,261,2,38,0,0,0
Mike Williams,LAC,WR,28,4,4,31,18,0,0,0,0,0,0,258,2,38,0,0,0
Garrett Wilson,NYJ,WR,22,4,2,39,20,0,0,0,-2,0,1,255,2,37,0,0,0
Joe Mixon,CIN,RB,26,4,4,24,17,0,0,0,224,1,82,116,0,40,0,0,0
Drake London,ATL,WR,21,4,3,32,18,0,0,0,0,0,0,231,2,37,0,0,0
Curtis Samuel,WAS,WR,26,4,3,37,26,0,0,0,51,0,8,219,2,37,0,1,1
Tua Tagovailoa,MIA,QB,24,4,4,0,0,1035,8,115,1,0,4,0,0,68,3,1,0
Leonard Fournette,TAM,RB,27,4,4,19,16,0,0,0,224,0,60,111,1,40,0,0,0
Antonio Gibson,WAS,RB,24,4,4,16,13,0,0,0,173,2,53,101,0,39,0,0,0
Kareem Hunt,CLE,RB,27,4,0,13,11,0,0,0,200,1,46,73,1,39,0,0,0
Breece Hall,NYJ,RB,21,4,0,27,15,0,0,0,178,1,38,113,1,39,0,1,1
Josh Reynolds,DET,WR,27,4,4,24,17,0,0,0,0,0,0,243,2,36,0,0,0
Tyler Conklin,NYJ,TE,27,4,4,29,21,0,0,0,0,0,0,192,1,25,0,2,0
Tyler Boyd,CIN,WR,28,4,2,19,12,23,0,1,0,0,0,202,2,35,0,0,0
Michael Thomas,NOR,WR,29,3,3,22,16,0,0,0,0,0,0,171,3,35,0,0,0
Mo Alie-Cox,IND,TE,29,4,2,14,10,0,0,0,0,0,0,129,2,25,0,0,0
Amari Cooper,CLE,WR,28,4,4,31,20,0,0,0,0,0,0,228,2,35,0,0,0
Tyler Higbee,LAR,TE,29,4,4,38,26,0,0,0,0,0,0,244,0,24,0,0,0
Rashod Bateman,BAL,WR,23,4,3,22,11,0,0,0,0,0,0,243,2,34,0,1,1
Daniel Jones,NYG,QB,25,4,4,0,0,631,3,105,193,2,31,0,0,65,2,1,1
Tory Carter,TEN,,23,4,3,0,0,0,0,0,0,0,0,0,0,,0,0,0
Isaiah McKenzie,BUF,WR,27,4,4,21,15,0,0,0,6,0,1,153,3,34,0,0,0
Taysom Hill,NOR,TE,32,3,1,1,1,0,0,0,116,2,12,2,0,24,0,0,0
Derek Carr,LVR,QB,31,4,4,0,0,1038,6,154,66,0,10,0,0,64,4,2,0
Russell Wilson,DEN,QB,34,4,4,1,1,980,4,131,51,1,13,1,0,64,1,0,0
Trevor Lawrence,JAX,QB,23,4,4,0,0,946,8,134,29,0,10,0,0,63,2,4,4
Tom Brady,TAM,QB,45,4,4,0,0,1058,6,155,-4,0,6,0,0,60,1,2,2
Jacoby Brissett,CLE,QB,30,4,4,0,0,830,4,127,80,1,18,0,0,59,2,0,0
Kirk Cousins,MIN,QB,34,4,4,0,0,1031,6,157,19,0,3,0,0,59,4,1,0
Marcus Mariota,ATL,QB,29,4,4,0,0,779,3,98,95,2,30,0,0,53,4,6,3
Ryan Tannehill,TEN,QB,34,4,4,0,0,784,5,101,20,1,12,0,0,53,3,1,0
Aaron Rodgers,GNB,QB,39,4,4,0,0,935,6,129,9,0,8,0,0,52,3,2,2
Matt Ryan,IND,QB,37,4,4,0,0,1125,5,154,12,0,9,0,0,50,5,9,3
Baker Mayfield,CAR,QB,27,4,4,0,0,747,4,117,40,1,14,0,0,48,3,6,1
Davis Mills,HOU,QB,24,4,4,0,0,908,5,142,0,0,4,0,0,46,4,4,1
Cooper Rush,DAL,QB,29,4,3,0,0,737,4,102,7,0,5,0,0,46,0,0,0
Joe Flacco,NYJ,QB,37,3,3,0,0,901,5,155,6,0,3,0,0,45,3,4,3
Matthew Stafford,LAR,QB,34,4,4,0,0,1015,4,150,10,0,6,0,0,44,6,2,1
Jameis Winston,NOR,QB,28,3,3,0,0,858,4,115,16,0,5,0,0,44,5,3,0
Mitchell Trubisky,PIT,QB,28,4,4,0,0,653,2,116,24,1,7,0,0,41,2,0,0
Jimmy Garoppolo,SFO,QB,31,3,2,0,0,604,3,77,8,1,6,0,0,39,1,1,1
Justin Fields,CHI,QB,23,4,4,0,0,471,2,67,147,1,34,0,0,38,4,4,1
Dalvin Cook,MIN,RB,27,4,4,13,9,0,0,0,279,1,63,47,0,37,0,1,1
Mac Jones,NWE,QB,24,3,3,0,0,786,2,97,37,1,14,0,0,37,5,1,1
Najee Harris,PIT,RB,24,4,4,11,10,0,0,0,202,1,58,48,1,35,0,1,1
Jeff Wilson,SFO,RB,27,4,2,7,7,0,0,0,255,1,57,58,0,35,0,1,1
AJ Dillon,GNB,RB,24,4,1,14,9,0,0,0,211,1,57,69,0,34,0,0,0
Noah Brown,DAL,WR,26,4,4,27,18,0,0,0,0,0,0,274,1,33,0,0,0
Chase Edmonds,MIA,RB,26,4,2,11,8,0,0,0,85,2,28,68,1,33,0,0,0
Mack Hollins,LVR,WR,29,4,3,25,17,4,0,1,0,0,0,273,1,33,0,0,0
DeVonta Smith,PHI,WR,24,4,4,27,18,0,0,0,0,0,0,266,1,33,0,0,0
Rhamondre Stevenson,NWE,RB,24,4,0,14,11,0,0,0,211,1,43,57,0,33,0,0,0
Terry McLaurin,WAS,WR,27,4,4,27,14,0,0,0,7,0,1,250,1,32,0,0,0
D.K. Metcalf,SEA,WR,25,4,4,35,23,0,0,0,0,0,0,284,1,32,0,1,1
Ezekiel Elliott,DAL,RB,27,4,4,7,5,0,0,0,227,1,59,27,0,31,0,0,0
Devin Singletary,BUF,RB,25,4,4,21,17,0,0,0,129,0,34,141,1,31,0,1,1
James Conner,ARI,RB,27,4,4,18,13,0,0,0,145,1,45,95,0,30,0,1,0
Romeo Doubs,GNB,WR,22,4,2,24,19,0,0,0,11,0,1,184,2,30,0,2,1
Jerry Jeudy,DEN,WR,23,4,4,21,11,0,0,0,1,0,1,183,2,30,0,0,0
Allen Lazard,GNB,WR,27,3,3,17,12,0,0,0,0,0,0,174,2,29,0,0,0
Tony Pollard,DAL,RB,25,4,1,13,7,0,0,0,162,1,36,71,0,29,0,0,0
Brandin Cooks,HOU,WR,29,4,4,36,20,0,0,0,0,0,0,215,1,28,0,0,0
Tyler Lockett,SEA,WR,30,4,4,34,27,0,0,0,0,0,0,302,0,28,0,1,1
Michael Pittman Jr.,IND,WR,25,3,3,28,20,0,0,0,0,0,0,224,1,28,0,0,0
Adam Thielen,MIN,WR,32,4,4,28,21,0,0,0,0,0,0,221,1,28,0,0,0
Greg Dortch,ARI,WR,24,4,2,24,21,0,0,0,0,0,0,204,1,26,0,0,0
Javonte Williams,DEN,RB,22,4,4,22,16,0,0,0,204,0,47,76,0,26,0,1,1
Nelson Agholor,NWE,WR,29,4,2,18,14,0,0,0,0,0,0,225,1,25,0,2,2
Brandon Aiyuk,SFO,WR,24,4,4,23,14,0,0,0,7,0,1,179,1,25,0,0,0
Dontrell Hilliard,TEN,RB,27,3,0,9,8,0,0,0,22,0,4,109,2,25,0,0,0
DeVante Parker,NWE,WR,29,4,4,16,8,0,0,0,0,0,0,189,1,25,0,0,0
Darrell Henderson,LAR,RB,25,4,3,10,8,0,0,0,138,1,34,38,0,24,0,0,0
Diontae Johnson,PIT,WR,26,4,4,37,23,0,0,0,11,0,2,207,0,24,0,1,0
David Njoku,CLE,TE,26,4,4,23,18,0,0,0,-6,0,1,201,1,24,0,1,1
Darren Waller,LVR,TE,30,4,4,24,16,0,0,0,0,0,0,175,1,24,0,0,0
Michael Carter,NYJ,RB,23,4,4,19,15,0,0,0,137,0,37,88,0,23,0,0,0
Travis Etienne,JAX,RB,23,4,0,11,8,0,0,0,144,0,34,81,0,23,0,1,0
Zay Jones,JAX,WR,27,3,2,24,19,0,0,0,0,0,1,173,1,23,0,0,0
Alexander Mattison,MIN,RB,24,4,0,7,5,0,0,0,75,1,20,37,1,23,0,0,0
D.J. Moore,CAR,WR,25,4,4,29,13,0,0,0,31,0,4,138,1,23,0,0,0
Robert Woods,TEN,WR,30,4,3,20,13,0,0,0,0,0,0,167,1,23,0,0,0
J.K. Dobbins,BAL,RB,24,2,2,6,6,0,0,0,64,1,20,39,1,22,0,0,0
Josh Palmer,LAC,WR,24,4,4,22,14,0,0,0,4,0,1,159,1,22,0,0,0
Robbie Anderson,CAR,WR,29,4,4,22,12,0,0,0,0,0,0,174,1,21,0,1,1
Rex Burkhead,HOU,RB,32,4,0,21,16,0,0,0,49,0,17,99,1,21,0,0,0
Nico Collins,HOU,WR,23,4,2,21,11,0,0,0,0,0,0,207,0,21,0,0,0
Melvin Gordon,DEN,RB,29,4,0,10,8,0,0,0,139,1,37,49,0,21,0,4,2
J.D. McKissic,WAS,RB,29,4,0,23,19,0,0,0,65,0,17,122,0,21,0,0,0
Sterling Shepard,NYG,WR,29,3,2,24,13,0,0,0,0,0,0,154,1,21,0,0,0
Olamide Zaccheaus,ATL,WR,25,4,2,10,10,0,0,0,0,0,0,174,1,21,0,1,1
Jamal Agnew,JAX,WR,27,4,0,9,6,0,0,0,7,0,3,73,2,20,0,0,0
DeAndre Carter,LAC,WR,29,4,2,14,11,0,0,0,-5,0,1,166,1,20,0,1,1
Gabriel Davis,BUF,WR,23,3,3,14,8,0,0,0,0,0,0,138,1,20,0,0,0
David Montgomery,CHI,RB,25,3,3,6,5,0,0,0,159,0,35,38,0,20,0,0,0
Raheem Mostert,MIA,RB,30,4,2,9,6,0,0,0,147,0,39,56,0,20,0,0,0
Isiah Pacheco,KAN,RB,22,4,0,0,0,0,0,0,140,1,28,0,0,20,0,2,0
JuJu Smith-Schuster,KAN,WR,26,4,4,27,19,0,0,0,0,0,0,224,0,20,0,2,1
Russell Gage,TAM,WR,26,4,1,25,21,0,0,0,0,0,0,152,1,19,0,1,1
Kenneth Gainwell,PHI,RB,23,4,0,8,4,0,0,0,52,2,15,21,0,19,0,0,0
O.J. Howard,HOU,TE,28,4,3,9,5,0,0,0,0,0,0,72,2,19,0,0,0
Jarvis Landry,NOR,WR,30,4,1,21,15,0,0,0,0,0,0,168,0,19,0,0,0
Elijah Moore,NYJ,WR,22,4,4,25,15,0,0,0,-4,0,2,192,0,19,0,0,0
Equanimeous St. Brown,CHI,WR,26,4,4,11,4,0,0,0,43,0,2,86,1,19,0,1,0
Cam Akers,LAR,RB,23,4,1,4,2,0,0,0,118,1,38,18,0,18,0,1,1
Eno Benjamin,ARI,RB,23,4,0,13,9,0,0,0,111,0,22,69,0,18,0,0,0
K.J. Osborn,MIN,WR,25,4,3,16,11,0,0,0,-1,0,1,118,1,18,0,0,0
Colby Parkinson,SEA,TE,23,4,0,7,6,0,0,0,0,0,0,115,1,18,0,0,0
Zach Wilson,NYJ,QB,23,1,1,1,1,252,1,36,15,0,2,2,1,18,2,0,0
Mark Ingram,NOR,RB,33,4,2,6,6,0,0,0,128,1,29,17,0,17,0,2,2
Samaje Perine,CIN,RB,27,4,0,9,6,0,0,0,53,0,12,55,1,17,0,0,0
George Pickens,PIT,WR,21,4,2,20,11,0,0,0,0,0,0,167,0,17,0,0,0
Logan Thomas,WAS,TE,31,4,4,20,13,0,0,0,0,0,0,106,1,17,0,0,0
Robert Tonyan,GNB,TE,28,4,2,16,13,0,0,0,0,0,0,106,1,17,0,0,0
Marquez Valdes-Scantling,KAN,WR,28,4,3,23,13,0,0,0,-3,0,1,168,0,17,0,0,0
Jelani Woods,IND,TE,24,4,0,4,3,0,0,0,0,0,0,46,2,17,0,0,0
Tyler Allgeier,ATL,RB,22,3,0,2,2,0,0,0,139,0,26,25,0,16,0,0,0
DJ Chark,DET,WR,26,3,3,18,7,0,0,0,0,0,0,98,1,16,0,0,0
Hayden Hurst,CIN,TE,29,4,4,21,14,0,0,0,0,0,0,104,1,16,0,0,0
Marvin Jones,JAX,WR,32,4,4,19,11,0,0,0,0,0,0,104,1,16,0,0,0
Jakobi Meyers,NWE,WR,26,2,2,19,13,0,0,0,7,0,1,150,0,16,0,0,0
Allen Robinson,LAR,WR,29,4,4,18,9,0,0,0,0,0,0,95,1,16,0,0,0
Kendrick Bourne,NWE,WR,27,4,1,12,9,0,0,0,15,0,1,138,0,15,0,1,0
Randall Cobb,GNB,WR,32,4,1,12,10,0,0,0,0,0,0,150,0,15,0,1,0
Ashton Dulin,IND,WR,25,4,1,17,11,0,0,0,3,0,1,150,0,15,0,0,0
Jerick McKinnon,KAN,RB,30,4,0,8,6,0,0,0,53,0,17,32,1,15,0,0,0
Kyle Pitts,ATL,TE,22,4,4,22,10,0,0,0,0,0,0,150,0,15,0,0,0
Laviska Shenault Jr.,CAR,WR,24,2,0,2,2,0,0,0,0,0,1,90,1,15,0,0,0
Irv Smith Jr.,MIN,TE,24,4,0,20,10,0,0,0,0,0,0,91,1,15,0,0,0
Darrel Williams,ARI,RB,27,4,0,5,2,0,0,0,85,1,13,3,0,15,0,0,0
