Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,Standard,PPR,Int,Fumbles,FumblesLost
Giovanni Ricci,CAR,RB,26,6,2,6,5,0,0,0,0,0,0,58,0,6,10.8,0,0,0
Dalton Schultz,DAL,TE,26,4,4,17,9,0,0,0,0,0,0,80,0,6,15.0,0,1,1
Mike Strachan,IND,WR,25,6,0,8,3,0,0,0,0,0,0,59,0,6,8.9,0,0,0
Mike Thomas,CIN,WR,28,6,1,8,2,0,0,0,0,0,0,38,0,6,7.8,0,0,0
Dan Arnold,JAX,TE,27,6,0,4,3,0,0,0,0,0,0,54,0,5,8.4,0,0,0
Michael Bandy,LAC,WR,25,3,0,4,3,0,0,0,0,0,0,53,0,5,8.3,0,0,0
Travis Homer,SEA,RB,24,3,0,4,4,0,0,0,18,0,4,33,0,5,9.1,0,0,0
Velus Jones Jr.,CHI,WR,25,3,0,2,2,0,0,0,8,0,1,19,1,5,6.7,0,2,2
Tom Kennedy,DET,WR,26,2,1,5,3,0,0,0,0,0,0,54,0,5,8.4,0,0,0
Ray-Ray McCloud,SFO,WR,26,6,1,9,4,0,0,0,0,0,0,53,0,5,9.3,0,2,0
Quintin Morris,BUF,TE,23,5,1,9,6,0,0,0,0,0,0,67,0,5,10.7,0,1,1
Albert Okwuegbunam,DEN,TE,24,5,0,11,7,0,0,0,0,0,0,50,0,5,12.0,0,0,0
Donald Parham,LAC,TE,25,2,0,4,3,0,0,0,0,0,0,53,0,5,8.3,0,0,0
P.J. Walker,CAR,QB,27,2,1,0,0,120,0,22,-1,0,1,0,0,5,4.7,0,0,0
Jonathan Williams,WAS,RB,28,5,0,0,0,0,0,0,54,0,6,0,0,5,5.4,0,0,0
Cedrick Wilson Jr.,MIA,WR,27,5,0,7,4,0,0,0,8,0,1,40,0,5,8.8,0,0,0
Kendall Blanton,LAR,TE,27,4,0,2,2,0,0,0,0,0,0,35,0,4,5.5,0,0,0
Grant Calcaterra,PHI,TE,24,4,1,1,1,0,0,0,0,0,0,40,0,4,5.0,0,0,0
Anthony Firkser,ATL,TE,27,5,1,4,3,0,0,0,0,0,0,39,0,4,6.9,0,0,0
D'Onta Foreman,CAR,RB,26,6,0,0,0,0,0,0,37,0,12,0,0,4,3.7,0,0,0
Hassan Haskins,TEN,RB,23,5,0,1,1,0,0,0,37,0,9,0,0,4,4.7,0,0,0
Parker Hesse,ATL,TE,27,6,3,5,4,0,0,0,0,0,0,41,0,4,8.1,0,0,0
Isaiah Hodgins,BUF,WR,24,2,0,6,4,0,0,0,0,0,0,41,0,4,8.1,0,0,0
Tanner Hudson,NYG,TE,28,6,0,5,3,0,0,0,0,0,0,40,0,4,7.0,0,0,0
Alec Ingold,MIA,RB,26,6,6,7,5,0,0,0,5,0,4,33,0,4,8.8,0,0,0
Elijah Mitchell,SFO,RB,24,1,1,0,0,0,0,0,41,0,6,0,0,4,4.1,0,0,0
Zach Pascal,PHI,WR,28,6,0,7,6,0,0,0,0,0,1,39,0,4,9.9,0,0,0
Kyle Philips,TEN,WR,23,4,0,13,8,0,0,0,0,0,0,78,0,4,11.8,0,2,2
Dak Prescott,DAL,QB,29,1,1,0,0,134,0,29,11,0,2,0,0,4,4.5,1,0,0
Patrick Ricard,BAL,RB,28,6,6,6,5,0,0,0,8,0,2,36,0,4,9.4,0,0,0
Anthony Schwartz,CLE,WR,22,6,0,6,1,0,0,0,20,0,2,19,0,4,4.9,0,0,0
Tommy Tremble,CAR,TE,22,6,1,9,5,0,0,0,0,0,0,42,0,4,9.2,0,0,0
Andre Baccellia,ARI,WR,25,5,0,6,4,0,0,0,0,0,0,25,0,3,6.5,0,0,0
Malcolm Brown,LAR,RB,29,3,0,1,1,0,0,0,15,0,7,13,0,3,3.8,0,0,0
Tyrie Cleveland,DEN,WR,25,4,0,4,2,0,0,0,0,0,0,28,0,3,4.8,0,0,0
DeeJay Dallas,SEA,RB,24,6,0,3,3,0,0,1,26,0,6,23,0,3,5.9,1,0,0
Jaelon Darden,TAM,WR,23,6,0,1,1,0,0,0,2,0,1,25,0,3,3.7,0,0,0
Tyler Davis,GNB,TE,25,6,1,6,4,0,0,0,0,0,0,26,0,3,6.6,0,0,0
Tyrion Davis-Price,SFO,RB,22,2,0,0,0,0,0,0,33,0,14,0,0,3,3.3,0,0,0
Trestan Ebner,CHI,RB,23,6,0,4,2,0,0,0,43,0,13,8,0,3,5.1,0,2,1
Ben Ellefson,MIN,TE,26,4,1,3,3,0,0,0,0,0,0,26,0,3,5.6,0,0,0
Myles Gaskin,MIA,RB,25,2,0,5,3,0,0,0,9,0,4,24,0,3,6.3,0,0,0
Jordan Love,GNB,QB,24,2,0,0,0,73,0,9,0,0,0,0,0,3,2.9,0,0,0
Terrace Marshall Jr.,CAR,WR,22,3,0,5,4,0,0,0,0,0,0,30,0,3,7.0,0,0,0
Tre' McKitty,LAC,TE,23,6,2,7,4,0,0,0,0,0,0,28,0,3,6.8,0,1,0
Byron Pringle,CHI,WR,29,3,1,3,2,0,0,0,0,0,0,33,0,3,5.3,0,0,0
Jeff Smith,NYJ,WR,25,6,0,3,2,0,0,0,0,0,0,28,0,3,4.8,0,0,0
Jack Stoll,PHI,TE,24,6,4,3,2,0,0,0,0,0,0,25,0,3,4.5,0,0,0
C.J. Uzomah,NYJ,TE,29,5,4,5,5,0,0,0,0,0,0,34,0,3,8.4,0,0,0
Mitchell Wilcox,CIN,TE,26,6,0,3,3,0,0,0,0,0,0,30,0,3,6.0,0,0,0
Brock Wright,DET,TE,24,5,1,1,1,0,0,0,0,0,0,25,0,3,3.5,0,0,0
Ameer Abdullah,LVR,RB,29,5,0,2,1,0,0,0,0,0,0,23,0,2,3.3,0,0,0
Cole Beasley,TAM,WR,33,2,0,5,4,0,0,0,0,0,0,17,0,2,5.7,0,0,0
Quintez Cephus,DET,WR,24,4,1,3,2,0,0,0,0,0,0,15,0,2,3.5,0,0,0
Mike Davis,BAL,RB,29,6,0,0,0,0,0,0,18,0,8,0,0,2,1.8,0,1,0
Phillip Dorsett,HOU,WR,29,4,0,4,1,0,0,0,0,0,0,15,0,2,2.5,0,0,0
Jeff Driskel,HOU,TE,29,2,0,0,0,0,0,0,15,0,2,0,0,2,1.5,0,0,0
Simi Fehoko,DAL,WR,25,5,0,4,3,0,0,0,0,0,0,24,0,2,5.4,0,0,0
Kenny Golladay,NYG,WR,29,4,2,6,2,0,0,0,0,0,0,22,0,2,4.2,0,0,0
Ryan Griffin,CHI,TE,32,4,0,5,2,0,0,0,0,0,0,19,0,2,3.9,0,0,0
C.J. Ham,MIN,RB,29,6,1,5,3,0,0,0,3,0,1,21,0,2,5.4,0,0,0
Penny Hart,SEA,WR,26,5,0,1,1,0,0,0,0,0,0,15,0,2,2.5,0,0,0
Cody Hollister,TEN,WR,29,5,1,1,1,0,0,0,0,0,0,22,0,2,3.2,0,0,0
Jesper Horsted,LVR,TE,25,5,0,3,3,0,0,0,0,0,0,19,0,2,4.9,0,0,0
Dennis Houston,DAL,WR,23,2,0,6,2,0,0,0,0,0,0,16,0,2,3.6,0,0,0
Chuba Hubbard,CAR,RB,23,6,0,1,1,0,0,0,34,0,6,1,0,2,2.5,0,1,1
Lil'Jordan Humphrey,NWE,WR,24,6,2,4,2,0,0,0,0,0,0,20,0,2,4.0,0,0,0
Andy Isabella,ARI,WR,26,3,0,5,2,0,0,0,0,0,0,21,0,2,4.1,0,0,0
Tim Jones,JAX,WR,24,6,1,2,1,0,0,0,0,0,0,20,0,2,3.0,0,0,0
Tony Jones,2TM,RB,25,3,0,2,2,0,0,0,8,0,2,12,0,2,4.0,0,0,0
Ko Kieft,TAM,TE,24,6,3,1,1,0,0,0,0,0,0,19,0,2,2.9,0,0,0
Keith Kirkwood,NOR,WR,28,2,1,2,2,0,0,0,0,0,0,18,0,2,3.8,0,0,0
Chris Manhertz,JAX,TE,30,6,4,3,3,0,0,0,0,0,0,15,0,2,4.5,0,0,0
Trey McBride,ARI,TE,23,5,4,3,3,0,0,0,0,0,0,24,0,2,5.4,0,0,0
Trace McSorley,ARI,QB,27,1,0,0,0,12,0,4,20,0,3,0,0,2,2.5,0,0,0
Dax Milne,WAS,WR,23,6,0,4,3,0,0,0,0,0,0,23,0,2,5.3,0,0,0
Dezmon Patmon,IND,WR,24,1,0,6,2,0,0,0,0,0,0,24,0,2,4.4,0,0,0
Armani Rogers,WAS,TE,25,6,1,1,1,0,0,0,0,0,0,23,0,2,3.3,0,0,0
Trey Sermon,PHI,RB,23,2,0,0,0,0,0,0,19,0,2,0,0,2,1.9,0,0,0
Eric Tomlinson,DEN,TE,30,6,5,3,1,0,0,0,0,0,0,16,0,2,2.6,0,0,0
Kadarius Toney,NYG,WR,23,2,1,3,2,0,0,0,23,0,2,0,0,2,4.3,0,0,0
Cole Turner,WAS,TE,22,2,1,5,2,0,0,0,0,0,0,23,0,2,4.3,0,0,0
