Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
Stefon Diggs,BUF,WR,29,2,2,23,20,0,0,0,0,0,0,270,4,51,0,0,0
Lamar Jackson,BAL,QB,25,2,2,0,0,531,6,59,136,1,15,0,0,63,1,1,0
Josh Allen,BUF,QB,26,2,2,0,0,614,7,69,66,1,11,0,0,61,2,0,0
Nick Chubb,CLE,RB,27,2,2,4,4,0,0,0,228,3,39,28,0,44,0,0,0
Amon-Ra St. Brown,DET,WR,23,2,2,24,17,0,0,0,68,0,2,180,3,43,0,0,0
Jaylen Waddle,MIA,WR,24,2,2,24,15,0,0,0,8,0,1,240,3,43,0,0,0
Jalen Hurts,PHI,QB,24,2,2,0,0,576,1,63,147,3,28,0,0,58,1,1,0
Tyreek Hill,MIA,WR,28,2,2,25,19,0,0,0,6,0,1,284,2,41,0,1,0
Carson Wentz,WAS,QB,30,2,2,0,0,650,7,87,35,0,8,0,0,56,3,1,0
Cooper Kupp,LAR,WR,29,2,2,29,24,0,0,0,0,0,0,236,3,40,0,1,1
D'Andre Swift,DET,RB,23,2,2,8,5,0,0,0,200,1,20,62,1,38,0,0,0
Tua Tagovailoa,MIA,QB,24,2,2,0,0,739,7,83,1,0,3,0,0,54,2,1,0
Aaron Jones,GNB,RB,28,2,2,8,6,0,0,0,181,1,20,65,1,37,0,0,0
Saquon Barkley,NYG,RB,25,2,2,11,9,0,0,0,236,1,39,46,0,36,0,1,0
Patrick Mahomes,KAN,QB,27,2,2,0,0,595,7,74,4,0,5,0,0,52,0,1,0
Justin Jefferson,MIN,WR,23,2,2,23,15,0,0,0,0,0,0,232,2,35,0,0,0
James Robinson,JAX,RB,24,2,2,4,3,0,0,0,130,2,34,17,1,33,0,0,0
Clyde Edwards-Helaire,KAN,RB,23,2,2,7,7,0,0,0,116,0,15,76,2,31,0,0,0
Christian Kirk,JAX,WR,26,2,2,18,12,0,0,0,0,0,0,195,2,32,0,0,0
Justin Herbert,LAC,QB,24,2,2,0,0,613,6,82,2,0,6,0,0,47,1,0,0
Kyler Murray,ARI,QB,25,2,2,0,0,470,3,83,57,1,10,0,0,47,1,0,0
Jonathan Taylor,IND,RB,23,2,2,8,5,0,0,0,215,1,40,23,0,30,0,0,0
Michael Thomas,NOR,WR,29,2,2,17,11,0,0,0,0,0,0,122,3,30,0,0,0
Travis Kelce,KAN,TE,33,2,2,16,13,0,0,0,0,0,0,172,1,23,0,0,0
Jahan Dotson,WAS,WR,22,2,2,10,7,0,0,0,-10,0,1,99,3,29,0,0,0
Rashod Bateman,BAL,WR,23,2,1,12,6,0,0,0,0,0,0,167,2,29,0,0,0
Mark Andrews,BAL,TE,27,2,2,18,14,0,0,0,3,0,1,156,1,22,0,0,0
Devin Duvernay,BAL,WR,25,2,2,6,6,0,0,0,0,0,0,96,2,28,0,0,0
Davante Adams,LVR,WR,30,2,2,24,12,0,0,0,0,0,0,153,2,27,0,0,0
Garrett Wilson,NYJ,WR,22,2,1,22,12,0,0,0,-2,0,1,154,2,27,0,0,0
Curtis Samuel,WAS,WR,26,2,1,20,15,0,0,0,38,0,5,133,2,27,0,1,1
Kareem Hunt,CLE,RB,27,2,0,6,6,0,0,0,104,1,24,40,1,26,0,0,0
Miles Sanders,PHI,RB,25,2,2,5,5,0,0,0,176,1,30,15,0,25,0,0,0
Jared Goff,DET,QB,28,2,2,0,0,471,6,71,7,0,4,0,0,42,1,1,0
Joe Flacco,NYJ,QB,37,2,2,0,0,616,5,103,6,0,3,0,0,41,1,1,1
Darren Waller,LVR,TE,30,2,2,14,10,0,0,0,0,0,0,129,1,19,0,0,0
Christian McCaffrey,CAR,RB,26,2,2,10,8,0,0,0,135,1,25,50,0,25,0,0,0
Gerald Everett,LAC,TE,28,2,2,14,9,0,0,0,0,0,0,125,1,19,0,0,0
Ja'Marr Chase,CIN,WR,22,2,2,25,15,0,0,0,4,0,1,183,1,25,0,0,0
Cordarrelle Patterson,ATL,RB,31,2,1,6,3,0,0,0,161,1,32,16,0,24,0,0,0
Drake London,ATL,WR,21,2,1,19,13,0,0,0,0,0,0,160,1,24,0,0,0
Antonio Gibson,WAS,RB,24,2,2,12,9,0,0,0,86,1,28,85,0,23,0,0,0
Joe Mixon,CIN,RB,26,2,2,13,10,0,0,0,139,0,46,89,0,23,0,0,0
Zach Ertz,ARI,TE,32,2,2,15,10,0,0,0,0,0,0,89,1,17,0,0,0
O.J. Howard,HOU,TE,28,2,1,3,3,0,0,0,0,0,0,45,2,17,0,0,0
AJ Dillon,GNB,RB,24,2,0,9,6,0,0,0,106,1,28,52,0,22,0,0,0
A.J. Brown,PHI,WR,25,2,2,21,15,0,0,0,0,0,0,224,0,22,0,0,0
Taysom Hill,NOR,TE,32,2,1,1,1,0,0,0,95,1,7,2,0,16,0,0,0
Pat Freiermuth,PIT,TE,24,2,2,17,9,0,0,0,0,0,0,97,1,16,0,0,0
Corey Davis,NYJ,WR,27,2,1,14,8,0,0,0,0,0,0,160,1,22,0,0,0
Noah Brown,DAL,WR,26,2,2,14,10,0,0,0,0,0,0,159,1,22,0,0,0
Leonard Fournette,TAM,RB,27,2,2,6,4,0,0,0,192,0,45,19,0,21,0,0,0
Jamaal Williams,DET,RB,27,2,0,3,2,0,0,0,81,2,23,9,0,21,0,0,0
Damien Harris,NWE,RB,25,2,2,5,4,0,0,0,119,1,24,26,0,21,0,0,0
Dallas Goedert,PHI,TE,27,2,2,10,8,0,0,0,0,0,0,142,0,14,0,0,0
Logan Thomas,WAS,TE,31,2,2,11,6,0,0,0,0,0,0,82,1,14,0,0,0
Deebo Samuel,SFO,WR,26,2,2,13,7,0,0,0,105,1,12,58,0,20,0,2,1
Terry McLaurin,WAS,WR,27,2,2,12,6,0,0,0,7,0,1,133,1,20,0,0,0
Courtland Sutton,DEN,WR,27,2,2,18,11,0,0,0,5,0,1,194,0,20,0,0,0
Dontrell Hilliard,TEN,RB,27,1,0,4,3,0,0,0,8,0,2,61,2,19,0,0,0
David Montgomery,CHI,RB,25,2,2,6,5,0,0,0,148,0,32,38,0,19,0,0,0
Mike Evans,TAM,WR,29,2,2,11,8,0,0,0,0,0,0,132,1,19,0,0,0
Joe Burrow,CIN,QB,26,2,2,0,0,537,3,89,73,0,10,0,0,35,4,3,1
Tony Pollard,DAL,RB,25,2,1,9,6,0,0,0,51,1,15,69,0,18,0,0,0
Darrell Henderson,LAR,RB,25,2,2,5,5,0,0,0,94,1,23,26,0,18,0,0,0
Mike Williams,LAC,WR,28,2,2,14,10,0,0,0,0,0,0,123,1,18,0,0,0
Najee Harris,PIT,RB,24,2,2,8,7,0,0,0,72,0,25,43,1,18,0,0,0
Michael Pittman Jr.,IND,WR,25,1,1,13,9,0,0,0,0,0,0,121,1,18,0,0,0
Javonte Williams,DEN,RB,22,2,2,16,12,0,0,0,118,0,22,75,0,17,0,1,1
Tyler Conklin,NYJ,TE,27,2,2,16,10,0,0,0,0,0,0,56,1,12,0,2,0
DeAndre Carter,LAC,WR,29,2,1,7,6,0,0,0,0,0,0,119,1,18,0,0,0
Greg Dortch,ARI,WR,24,2,2,13,11,0,0,0,0,0,0,118,1,18,0,0,0
Nelson Agholor,NWE,WR,29,2,0,11,9,0,0,0,0,0,0,138,1,18,0,1,1
Amari Cooper,CLE,WR,28,2,2,16,12,0,0,0,0,0,0,118,1,18,0,0,0
Derrick Henry,TEN,RB,28,2,2,1,0,0,0,0,107,1,34,0,0,17,0,1,0
Tyler Higbee,LAR,TE,29,2,2,20,12,0,0,0,0,0,0,110,0,11,0,0,0
Tory Carter,TEN,,23,2,1,0,0,0,0,0,0,0,0,0,0,,0,0,0
Jerry Jeudy,DEN,WR,23,2,2,10,5,0,0,0,1,0,1,113,1,17,0,0,0
Marcus Mariota,ATL,QB,29,2,2,0,0,411,2,59,88,1,18,0,0,33,2,3,2
Derek Carr,LVR,QB,31,2,2,0,0,547,4,76,9,0,1,0,0,33,3,2,0
Trevor Lawrence,JAX,QB,23,2,2,0,0,510,3,72,15,0,5,0,0,32,1,0,0
Baker Mayfield,CAR,QB,27,2,2,0,0,380,2,56,41,1,11,0,0,31,1,5,0
Russell Wilson,DEN,QB,34,2,2,0,0,559,2,73,5,0,3,0,0,29,1,0,0
Jameis Winston,NOR,QB,28,2,2,0,0,505,3,74,11,0,3,0,0,29,3,1,0
Daniel Jones,NYG,QB,25,2,2,0,0,364,3,55,46,0,16,0,0,29,1,1,1
Kirk Cousins,MIN,QB,34,2,2,0,0,498,3,78,20,0,2,0,0,28,3,1,0
Matthew Stafford,LAR,QB,34,2,2,0,0,512,4,77,2,0,1,0,0,27,5,1,0
Jacoby Brissett,CLE,QB,30,2,2,0,0,376,2,61,53,0,10,0,0,26,1,0,0
Mitchell Trubisky,PIT,QB,28,2,2,0,0,362,2,71,16,0,4,0,0,24,1,0,0
Davis Mills,HOU,QB,24,2,2,0,0,417,2,75,0,0,4,0,0,23,0,3,1
Geno Smith,SEA,QB,32,2,2,0,0,392,2,58,16,0,8,0,0,23,1,1,0
Justin Fields,CHI,QB,23,2,2,0,0,191,2,28,48,1,19,0,0,22,2,1,0
Mac Jones,NWE,QB,24,2,2,0,0,465,2,65,6,0,9,0,0,21,2,1,1
Aaron Rodgers,GNB,QB,39,2,2,0,0,429,2,59,9,0,6,0,0,20,1,2,2
Ryan Tannehill,TEN,QB,34,2,2,0,0,383,2,53,9,0,3,0,0,20,2,0,0
Tom Brady,TAM,QB,45,2,2,0,0,402,2,61,-3,0,5,0,0,20,1,1,1
Robbie Anderson,CAR,WR,29,2,2,13,8,0,0,0,0,0,0,134,1,17,0,1,1
Matt Ryan,IND,QB,37,2,2,0,0,547,1,80,12,0,4,0,0,17,4,5,1
Marquise Brown,ARI,WR,25,2,2,17,10,0,0,0,0,0,0,111,1,17,0,0,0
James Conner,ARI,RB,27,2,2,10,7,0,0,0,51,1,17,55,0,17,0,1,0
Sterling Shepard,NYG,WR,29,2,1,14,8,0,0,0,0,0,0,105,1,17,0,0,0
Austin Ekeler,LAC,RB,27,2,2,14,13,0,0,0,75,0,28,91,0,17,0,0,0
Jimmy Garoppolo,SFO,QB,31,1,0,0,0,154,1,21,5,1,4,0,0,17,0,0,0
Tee Higgins,CIN,WR,23,2,2,12,8,0,0,0,0,0,0,98,1,16,0,0,0
Cooper Rush,DAL,QB,29,2,1,0,0,299,1,44,2,0,1,0,0,16,0,0,0
Jakobi Meyers,NWE,WR,26,2,2,19,13,0,0,0,7,0,1,150,0,16,0,0,0
Breece Hall,NYJ,RB,21,2,0,10,7,0,0,0,73,0,13,48,1,16,0,1,1
Gabriel Davis,BUF,WR,23,1,1,5,4,0,0,0,0,0,0,88,1,15,0,0,0
D.J. Moore,CAR,WR,25,2,2,12,6,0,0,0,7,0,1,86,1,15,0,0,0
Michael Carter,NYJ,RB,23,2,2,14,12,0,0,0,83,0,17,67,0,15,0,0,0
Josh Jacobs,LVR,RB,24,2,2,2,2,0,0,0,126,0,29,28,0,15,0,0,0
Khalil Herbert,CHI,RB,24,2,0,2,2,0,0,0,83,1,13,1,0,14,0,0,0
Brandin Cooks,HOU,WR,29,2,2,22,11,0,0,0,0,0,0,136,0,14,0,0,0
Dalvin Cook,MIN,RB,27,2,2,11,7,0,0,0,107,0,26,37,0,14,0,0,0
Jarvis Landry,NOR,WR,30,2,1,14,11,0,0,0,0,0,0,139,0,14,0,0,0
Tyler Lockett,SEA,WR,30,2,2,15,12,0,0,0,0,0,0,135,0,14,0,0,0
Tyler Boyd,CIN,WR,28,2,0,9,6,0,0,0,0,0,0,50,1,13,0,0,0
Ashton Dulin,IND,WR,25,2,1,13,8,0,0,0,3,0,1,125,0,13,0,0,0
Josh Reynolds,DET,WR,27,2,2,6,4,0,0,0,0,0,0,66,1,13,0,0,0
Jerick McKinnon,KAN,RB,30,2,0,6,5,0,0,0,34,0,8,31,1,13,0,0,0
Isiah Pacheco,KAN,RB,22,2,0,0,0,0,0,0,68,1,14,0,0,13,0,1,0
Quez Watkins,PHI,WR,24,2,1,2,2,0,0,0,0,0,0,69,1,13,0,0,0
Diontae Johnson,PIT,WR,26,2,2,22,13,0,0,0,0,0,0,112,0,13,0,1,0
Allen Robinson,LAR,WR,29,2,2,7,5,0,0,0,0,0,0,65,1,13,0,0,0
Zander Horvath,LAC,RB,24,2,0,4,3,0,0,0,2,0,1,7,2,13,0,0,0
Jeff Wilson,SFO,RB,27,2,1,4,4,0,0,0,106,0,27,27,0,13,0,0,0
Isaiah McKenzie,BUF,WR,27,2,2,6,4,0,0,0,0,0,0,56,1,12,0,0,0
Equanimeous St. Brown,CHI,WR,26,2,2,7,3,0,0,0,0,0,0,57,1,12,0,0,0
Darrel Williams,ARI,RB,27,2,0,3,2,0,0,0,59,1,8,3,0,12,0,0,0
Dameon Pierce,HOU,RB,22,2,2,2,2,0,0,0,102,0,26,14,0,12,0,0,0
Travis Etienne,JAX,RB,23,2,0,7,5,0,0,0,67,0,13,51,0,12,0,1,0
Mecole Hardman,KAN,WR,24,2,2,10,6,0,0,0,-4,0,1,65,1,12,0,0,0
Chris Olave,NOR,WR,22,2,1,16,8,0,0,0,0,0,0,121,0,12,0,1,1
Trey Lance,SFO,QB,22,2,2,0,0,194,0,31,67,0,16,0,0,12,1,1,0
Olamide Zaccheaus,ATL,WR,25,2,2,6,6,0,0,0,0,0,0,70,1,11,0,1,1
Dante Pettis,CHI,WR,27,2,2,1,1,0,0,0,0,0,0,51,1,11,0,0,0
Eno Benjamin,ARI,RB,23,2,0,8,6,0,0,0,59,0,12,53,0,11,0,0,0
CeeDee Lamb,DAL,WR,23,2,2,22,9,0,0,0,6,0,1,104,0,11,0,0,0
Melvin Gordon,DEN,RB,29,2,0,3,3,0,0,0,105,0,22,20,0,11,0,1,1
DJ Chark,DET,WR,26,2,2,12,4,0,0,0,0,0,0,52,1,11,0,0,0
Sammy Watkins,GNB,WR,29,2,2,7,6,0,0,0,0,0,0,111,0,11,0,0,0
Justin Watson,KAN,WR,26,2,0,3,2,0,0,0,0,0,0,50,1,11,0,0,0
Chase Edmonds,MIA,RB,26,2,1,7,5,0,0,0,58,0,17,48,0,11,0,0,0
Raheem Mostert,MIA,RB,30,2,1,4,4,0,0,0,67,0,16,44,0,11,0,0,0
Richie James,NYG,WR,27,2,0,12,10,0,0,0,2,0,1,110,0,11,0,0,0
Kenneth Gainwell,PHI,RB,23,2,0,6,3,0,0,0,27,1,7,23,0,11,0,0,0
Brandon Aiyuk,SFO,WR,24,2,2,11,7,0,0,0,7,0,1,103,0,11,0,0,0
Ross Dwelley,SFO,TE,27,2,0,3,2,0,0,0,0,0,0,49,1,11,0,0,0
J.D. McKissic,WAS,RB,29,2,0,10,10,0,0,0,17,0,6,74,0,11,0,0,0
KhaDarel Hodge,ATL,WR,27,2,1,6,5,0,0,0,0,0,0,95,0,10,0,0,0
Ezekiel Elliott,DAL,RB,27,2,2,4,2,0,0,0,105,0,25,-7,0,10,0,0,0
Mike Gesicki,MIA,TE,27,2,0,5,5,0,0,0,0,0,0,42,1,10,0,0,0
Irv Smith Jr.,MIN,TE,24,2,0,10,5,0,0,0,0,0,0,36,1,10,0,0,0
Treylon Burks,TEN,WR,22,2,1,11,7,0,0,0,0,0,0,102,0,10,0,0,0
Josh Palmer,LAC,WR,24,2,2,12,7,0,0,0,4,0,1,35,1,10,0,0,0
Will Dissly,SEA,TE,26,2,2,5,5,0,0,0,0,0,0,43,1,10,0,0,0
Colby Parkinson,SEA,TE,23,2,0,2,2,0,0,0,0,0,0,43,1,10,0,0,0
