Player,Tm,Pos,Age,G,GS,Tgt,Rec,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints,Int,Fumbles,FumblesLost
James Cook,BUF,RB,23,2,0,1,0,0,0,0,55,0,12,0,0,4,0,1,1
Jamison Crowder,BUF,WR,29,2,0,6,4,0,0,0,0,0,0,44,0,4,0,0,0
David Njoku,CLE,TE,26,2,2,6,4,0,0,0,0,0,0,39,0,4,0,0,0
Anthony Schwartz,CLE,WR,22,2,0,2,1,0,0,0,20,0,2,19,0,4,0,0,0
Mo Alie-Cox,IND,TE,29,2,1,5,3,0,0,0,0,0,0,35,0,4,0,0,0
Parris Campbell,IND,WR,25,2,2,6,3,0,0,0,0,0,0,37,0,4,0,0,0
Kylen Granson,IND,TE,24,2,1,9,5,0,0,0,0,0,0,36,0,4,0,0,0
Dak Prescott,DAL,QB,29,1,1,0,0,134,0,29,11,0,2,0,0,4,1,0,0
Pharaoh Brown,HOU,TE,28,2,2,6,4,0,0,0,0,0,0,41,0,4,0,0,0
K.J. Osborn,MIN,WR,25,2,2,6,5,0,0,0,0,0,0,39,0,4,0,0,0
Mark Ingram,NOR,RB,33,2,1,3,3,0,0,0,80,0,14,4,0,4,0,2,2
David Sills,NYG,WR,26,2,2,4,3,0,0,0,0,0,0,37,0,4,0,0,0
Hassan Haskins,TEN,RB,23,2,0,1,1,0,0,0,37,0,9,0,0,4,0,0,0
Zach Gentry,PIT,TE,26,2,1,2,2,0,0,0,0,0,0,40,0,4,0,0,0
Ben Skowronek,LAR,WR,25,2,2,9,6,0,0,0,0,0,0,41,0,4,0,0,0
Isaiah Likely,BAL,TE,22,2,0,9,4,0,0,0,0,0,0,43,0,4,0,0,0
Travis Homer,SEA,RB,24,2,0,4,4,0,0,0,11,0,3,33,0,4,0,0,0
Ray-Ray McCloud,SFO,WR,26,2,0,4,2,0,0,0,0,0,0,36,0,4,0,0,0
Elijah Mitchell,SFO,RB,24,1,1,0,0,0,0,0,41,0,6,0,0,4,0,0,0
Russell Gage,TAM,WR,26,2,0,8,7,0,0,0,0,0,0,41,0,4,0,0,0
Chris Godwin,TAM,WR,26,1,1,3,3,0,0,0,0,0,0,35,0,4,0,0,0
Scott Miller,TAM,WR,25,1,0,8,3,0,0,0,8,0,1,34,0,4,0,0,0
Tyler Allgeier,ATL,RB,22,1,0,0,0,0,0,0,30,0,10,0,0,3,0,0,0
Zack Moss,BUF,RB,25,2,0,7,6,0,0,0,32,0,9,21,0,3,0,1,1
Mike Thomas,CIN,WR,28,2,0,5,1,0,0,0,0,0,0,5,0,3,0,0,0
Tyrie Cleveland,DEN,WR,25,2,0,3,2,0,0,0,0,0,0,28,0,3,0,0,0
Albert Okwuegbunam,DEN,TE,24,2,0,8,5,0,0,0,0,0,0,33,0,3,0,0,0
Craig Reynolds,DET,RB,26,2,0,1,1,0,0,0,16,0,3,13,0,3,0,0,0
Brock Wright,DET,TE,24,2,0,1,1,0,0,0,0,0,0,25,0,3,0,0,0
Josiah Deguara,GNB,TE,25,2,0,2,2,0,0,0,0,0,0,28,0,3,0,0,0
Jordan Love,GNB,QB,24,1,0,0,0,65,0,5,0,0,0,0,0,3,0,0,0
Skyy Moore,KAN,WR,22,2,0,1,1,0,0,0,0,0,0,30,0,3,0,0,0
Alec Ingold,MIA,RB,26,2,2,4,3,0,0,0,3,0,2,23,0,3,0,0,0
Cedrick Wilson Jr.,MIA,WR,27,2,0,3,2,0,0,0,8,0,1,20,0,3,0,0,0
Jonnu Smith,NWE,TE,27,2,1,7,3,0,0,0,0,0,0,33,0,3,0,0,0
Austin Hooper,TEN,TE,28,2,0,6,2,0,0,0,0,0,0,25,0,3,0,0,0
Kyle Philips,TEN,WR,23,2,0,10,7,0,0,0,0,0,0,71,0,3,0,2,2
Nick Westbrook-Ikhine,TEN,WR,25,2,2,6,2,0,0,0,0,0,0,26,0,3,0,0,0
George Pickens,PIT,WR,21,2,1,5,2,0,0,0,0,0,0,26,0,3,0,0,0
Foster Moreau,LVR,TE,25,2,1,4,3,0,0,0,0,0,0,30,0,3,0,0,0
Justice Hill,BAL,RB,25,2,0,2,2,0,0,0,20,0,5,7,0,3,0,0,0
Sony Michel,LAC,RB,27,2,0,1,1,0,0,0,25,0,11,6,0,3,0,0,0
Noah Fant,SEA,TE,25,2,2,6,5,0,0,0,0,0,0,27,0,3,0,0,0
Tyrion Davis-Price,SFO,RB,22,1,0,0,0,0,0,0,33,0,14,0,0,3,0,0,0
Giovanni Ricci,CAR,RB,26,2,0,1,1,0,0,0,0,0,0,16,0,2,0,0,0
Ryan Griffin,CHI,TE,32,2,0,3,1,0,0,0,0,0,0,18,0,2,0,0,0
Byron Pringle,CHI,WR,29,2,0,2,1,0,0,0,0,0,0,22,0,2,0,0,0
Dezmon Patmon,IND,WR,24,1,0,6,2,0,0,0,0,0,0,24,0,2,0,0,0
Trace McSorley,ARI,QB,27,1,0,0,0,12,0,4,20,0,3,0,0,2,0,0,0
Dennis Houston,DAL,WR,23,2,0,6,2,0,0,0,0,0,0,16,0,2,0,0,0
Kendall Hinton,DEN,WR,25,1,1,1,1,0,0,0,0,0,0,20,0,2,0,0,0
Montrell Washington,DEN,WR,23,2,0,1,0,0,0,0,19,0,1,0,0,2,0,0,0
Juwann Winfree,GNB,WR,26,1,0,1,1,0,0,0,0,0,0,17,0,2,0,0,0
Jeff Driskel,HOU,TE,29,2,0,0,0,0,0,0,15,0,2,0,0,2,0,0,0
Noah Gray,KAN,TE,23,2,0,5,3,0,0,0,0,0,0,22,0,2,0,0,0
Trent Sherfield,MIA,WR,26,2,0,4,3,0,0,0,0,0,0,17,0,2,0,0,0
Durham Smythe,MIA,TE,27,2,2,3,2,0,0,0,0,0,0,19,0,2,0,0,0
Jalen Reagor,MIN,WR,23,2,0,2,1,0,0,0,17,0,1,7,0,2,0,0,0
