,Player,PPRFantasyPoints
216,Tre'Davious White,0.0
217,Ty Nsekhe,0.0
218,Taron Johnson,0.0
219,Ed Oliver,0.0
220,Quincy Wilson,0.0
221,Jordan Willis,0.0
222,Breshad Perriman,4.7
223,Sam Darnold,11.2
224,Blake Cashman,0.0
225,Bradley McDougald,0.0
226,Sam Ficken,0.0
227,Le'Veon Bell,6.6000000000000005
228,Henry Anderson,0.0
229,Frankie Luvu,0.0
230,Connor McGovern,0.0
231,Folorunso Fatukasi,0.0
232,Marcus Maye,0.0
233,Ryan Griffin,0.0
234,Jordan Jenkins,0.0
235,Chris Herndon,7.7
236,Jamison Crowder,24.5
237,Quinnen Williams,0.0
238,Trevon Wesco,0.0
239,Blessuan Austin,0.0
240,Braxton Berrios,0.0
241,Alex Lewis,0.0
242,Brian Poole,0.0
243,Ashtyn Davis,0.0
244,Thomas Hennessy,0.0
245,Daniel Brown,0.0
246,Steve McLendon,0.0
247,Arthur Maulet,0.0
248,Neville Hewitt,0.0
249,Pierre Desir,0.0
250,Nathan Shepherd,0.0
251,Nate Hairston,0.0
252,Kyle Phillips,0.0
253,Matthias Farley,0.0
254,Mekhi Becton,0.0
255,Frank Gore,2.4000000000000004
256,Tarell Basham,0.0
257,Greg Van Roten,0.0
258,George Fant,0.0
259,Conor McDermott,0.0
260,Josh Andrews,0.0
261,Chris Hogan,1.0
262,Braden Mann,0.0
263,Harvey Langi,0.0
264,Zach Kerr,0.0
265,Alex Armah,0.1
266,Adarius Taylor,0.0
267,Rasul Douglas,0.0
268,Stephen Weatherly,0.0
269,Jeremy Chinn,0.0
270,Jermaine Carter Jr.,0.0
271,Joey Slye,0.0
272,Brian Burns,0.0
273,Tahir Whitehead,0.0
274,Pharoh Cooper,0.0
275,Tyler Larsen,0.0
276,Yetur Gross-Matos,0.0
277,John Miller,0.0
278,D.J. Moore,9.4
279,Julian Stanford,0.0
280,Robby Anderson,23.5
281,Taylor Moton,0.0
282,Brandon Zylstra,0.0
283,Bravvion Roy,0.0
284,Mike Davis,0.0
285,Corn Elder,0.0
286,Seth Roberts,1.5
287,Efe Obada,0.0
288,Juston Burris,0.0
289,Shaq Thompson,0.0
290,Troy Pride Jr.,0.0
291,Derrick Brown,0.0
292,Tre Boston,0.0
293,Christian McCaffrey,28.4
294,Chris Manhertz,1.4
295,Matt Paradis,0.0
296,Russell Okung,0.0
297,Donte Jackson,0.0
298,J.J. Jansen,0.0
299,Marquis Haynes,0.0
300,Michael Schofield,0.0
301,Curtis Samuel,9.3
302,Kawann Short,0.0
303,Teddy Bridgewater,17.4
304,Ian Thomas,3.6
305,Trenton Cannon,0.0
306,Foster Moreau,0.0
307,Daniel Carlson,0.0
308,Gabe Jackson,0.0
309,AJ Cole III,0.0
310,Trent Sieg,0.0
311,Jason Witten,1.2
312,Maliek Collins,0.0
313,Nick Kwiatkoski,0.0
314,Derek Carr,13.56
315,Derek Carrier,0.0
316,Darren Waller,10.5
317,Nicholas Morrow,0.0
318,Zay Jones,0.0
319,Johnathan Abram,0.0
320,Richie Incognito,0.0
321,Nelson Agholor,9.3
322,Jeff Heath,0.0
323,Devontae Booker,8.2
324,Hunter Renfrow,4.1
325,Isaiah Johnson,0.0
326,Keisean Nixon,0.0
327,Alec Ingold,0.0
328,Bryan Edwards,1.9
329,Kendal Vickers,0.0
330,Josh Jacobs,35.9
331,Damon Arnette,0.0
332,Clelin Ferrell,0.0
333,Henry Ruggs III,9.6
334,Kolton Miller,0.0
335,Jalen Richard,2.5
336,Maurice Hurst Jr.,0.0
337,Rodney Hudson,0.0
