,Player,PPRFantasyPoints
939,Forrest Lamp,0.0
940,Damion Square,0.0
941,Hunter Henry,12.3
942,Justin Jackson,0.4
943,Bryan Bulaga,0.0
944,Dan Feeney,0.0
945,Stephen Anderson,0.0
946,Nick Vigil,0.0
947,Denzel Perryman,0.0
948,Emeke Egbule,0.0
949,Isaac Rochell,0.0
950,Sam Tevi,0.0
951,K.J. Hill,0.0
952,Rayshawn Jenkins,0.0
953,Ty Long,0.0
954,Joey Bosa,0.0
955,Virgil Green,2.0
956,Nasir Adderley,0.0
957,Jerry Tillery,0.0
958,Keenan Allen,7.7
959,Michael Davis,0.0
960,Chris Harris Jr.,0.0
961,Brandon Facyson,0.0
962,Mike Williams,10.9
963,Desmond King,0.0
964,Cole Mazza,0.0
965,Jalen Guyton,2.6
966,Linval Joseph,0.0
967,Kyzir White,0.0
968,Austin Ekeler,9.7
969,Kenneth Murray,0.0
970,Justin Jones,0.0
971,Michael Badgley,0.0
972,Casey Hayward,0.0
973,Scott Quessenberry,0.0
974,Melvin Ingram,0.0
975,Thomas Morstead,0.0
976,Malcom Brown,0.0
977,Carl Granderson,0.0
978,Sheldon Rankins,0.0
979,Patrick Robinson,0.0
980,Josh Hill,0.0
981,Derrick Kelly,0.0
982,Latavius Murray,4.800000000000001
983,Alvin Kamara,23.7
984,Deonte Harris,3.6
985,Chauncey Gardner-Johnson,0.0
986,D.J. Swearinger,0.0
987,Emmanuel Sanders,10.5
988,Cameron Jordan,0.0
989,Chase Hansen,0.0
990,Erik McCoy,0.0
991,Marshon Lattimore,0.0
992,Taysom Hill,5.220000000000001
993,Ethan Greenidge,0.0
994,David Onyemata,0.0
995,Terron Armstead,0.0
996,Michael Thomas,4.7
997,Tre'Quan Smith,1.4
998,Wil Lutz,0.0
999,Demario Davis,0.0
1000,Marcus Williams,0.0
1001,Andrus Peat,0.0
1002,Jared Cook,13.0
1003,Zach Wood,0.0
1004,Ryan Ramczyk,0.0
1005,Janoris Jenkins,0.0
1006,Craig Robertson,0.0
1007,Kaden Elliss,0.0
1008,Drew Brees,14.4
1009,Alex Anzalone,0.0
1010,Ty Montgomery,-0.4
1011,Malcolm Jenkins,0.0
1012,Michael Burton,0.0
1013,Justin Hardee,0.0
1014,Trey Hendrickson,0.0
1015,J.T. Gray,0.0
1016,Nick Easton,0.0
1017,Will Clapp,0.0
1018,Adam Trautman,0.0
1019,Pat O'Connor,0.0
1020,Ryan Jensen,0.0
1021,Scott Miller,12.9
1022,Lavonte David,0.0
1023,LeSean McCoy,1.2
1024,Tom Brady,20.46
1025,Sean Murphy-Bunting,0.0
1026,Donovan Smith,0.0
1027,Justin Watson,1.6
1028,Rakeem Nunez-Roches,0.0
1029,Bradley Pinion,0.0
1030,Mike Edwards,-2.0
1031,Kevin Minter,0.0
1032,Jamel Dean,0.0
1033,Jordan Whitehead,0.0
1034,O.J. Howard,13.6
1035,Ali Marpet,0.0
1036,Ronald Jones II,10.2
1037,Rob Gronkowski,3.1
1038,Ryan Smith,0.0
1039,Ryan Succop,0.0
1040,Ndamukong Suh,0.0
1041,William Gholston,0.0
1042,Devin White,0.0
1043,Antoine Winfield Jr.,0.0
1044,Antony Auclair,0.0
1045,Tristan Wirfs,0.0
1046,Mike Evans,7.2
1047,Jack Cichy,0.0
1048,Andrew Adams,0.0
1049,Alex Cappa,0.0
1050,Anthony Nelson,0.0
1051,Jaydon Mickens,0.0
1052,Jason Pierre-Paul,0.0
1053,Leonard Fournette,2.9000000000000004
1054,Shaquil Barrett,0.0
1055,Chris Godwin,13.9
1056,Zach Triner,0.0
1057,Quinton Bell,0.0
1058,Cameron Brate,0.0
1059,Vita Vea,0.0
1060,Carlton Davis,0.0
1061,Azeez Al-Shaair,0.0
1062,Mike McGlinchey,0.0
1063,Javon Kinlaw,0.0
1064,Kerry Hyder,0.0
1065,Ahkello Witherspoon,0.0
1066,Kevin Givens,0.0
1067,Robbie Gould,0.0
1068,Richard Sherman,0.0
1069,K'Waun Williams,0.0
1070,Nick Bosa,0.0
1071,Dee Ford,0.0
1072,Raheem Mostert,25.1
1073,Tevin Coleman,3.4000000000000004
1074,Fred Warner,0.0
1075,Mark Nzeocha,0.0
1076,Kendrick Bourne,5.4
1077,Kwon Alexander,0.0
1078,Marcell Harris,0.0
1079,Solomon Thomas,0.0
1080,Dante Pettis,0.0
1081,Kyle Juszczyk,5.800000000000001
1082,Jerick McKinnon,13.4
1083,Jaquiski Tartt,0.0
1084,Tom Compton,0.0
1085,George Kittle,9.3
1086,Laken Tomlinson,0.0
1087,Charlie Woerner,0.0
1088,Trent Taylor,2.7
1089,Trent Williams,0.0
1090,Mitch Wishnowsky,0.0
1091,Jimmy Garoppolo,19.26
1092,Emmanuel Moseley,0.0
1093,Tarvarius Moore,0.0
1094,Jordan Reed,3.2
1095,Ross Dwelley,0.0
1096,Jimmie Ward,0.0
1097,Dre Greenlaw,0.0
1098,Richie James,0.0
1099,Daniel Brunskill,0.0
1100,Jeff Wilson,0.0
1101,Kyle Nelson,0.0
1102,Arik Armstead,0.0
1103,Justin Skule,0.0
1104,D.J. Jones,0.0
1105,Byron Murphy,0.0
1106,Justin Murray,0.0
1107,Zeke Turner,0.0
1108,Mason Cole,0.0
1109,Kelvin Beachum,0.0
1110,Andy Isabella,0.0
1111,Dennis Gardeck,0.0
1112,Dan Arnold,4.1
1113,Chris Banjo,0.0
1114,Kyler Murray,26.3
1115,Chase Edmonds,13.5
1116,DeAndre Hopkins,29.1
1117,Isaiah Simmons,0.0
1118,D.J. Humphries,0.0
1119,Larry Fitzgerald,7.4
1120,Zane Gonzalez,0.0
1121,Leki Fotu,0.0
1122,Justin Pugh,0.0
1123,De'Vondre Campbell,0.0
1124,Dre Kirkpatrick,0.0
1125,Devon Kennard,0.0
1126,Haason Reddick,0.0
1127,Jordan Hicks,0.0
1128,Darrell Daniels,0.0
1129,Andy Lee,0.0
1130,Maxx Williams,0.0
1131,Jordan Phillips,0.0
1132,Rashard Lawrence,0.0
1133,Trent Sherfield,0.0
1134,Lamont Gaillard,0.0
1135,J.R. Sweezy,0.0
1136,Patrick Peterson,0.0
1137,Charles Washington,0.0
1138,Aaron Brewer,0.0
1139,Jalen Thompson,0.0
1140,Kylie Fitts,0.0
1141,Christian Kirk,1.0
1142,Zach Allen,0.0
1143,Kenyan Drake,14.5
1144,Tanner Vallejo,0.0
1145,Kevin Peterson,0.0
1146,Corey Peters,0.0
1147,Chandler Jones,0.0
1148,Budda Baker,0.0
1149,Chris Streveler,0.3
1150,Max Garcia,0.0
1151,Malcolm Brown,26.0
1152,Michael Brockers,0.0
1153,Darrell Henderson,0.6000000000000001
1154,Taylor Rapp,0.0
1155,Jordan Fuller,0.0
1156,Greg Gaines,0.0
1157,Austin Corbett,0.0
1158,Samson Ebukam,0.0
1159,Darious Williams,0.0
1160,Johnny Hekker,0.0
1161,Andrew Whitworth,0.0
1162,Rob Havenstein,0.0
1163,Leonard Floyd,0.0
1164,Van Jefferson,4.1
1165,Joseph Noteboom,0.0
1166,Jachai Polite,0.0
1167,Austin Blythe,0.0
1168,Kenny Young,0.0
1169,Jared Goff,10.5
1170,Johnny Mundt,0.0
1171,Nsimba Webster,0.0
1172,Jake McQuaide,0.0
1173,Robert Woods,17.9
1174,Troy Reeder,0.0
1175,Cam Akers,5.3
1176,Sam Sloman,0.0
1177,Morgan Fox,0.0
1178,Tyler Higbee,7.0
1179,Aaron Donald,0.0
1180,John Johnson,0.0
1181,Bobby Evans,0.0
1182,Troy Hill,0.0
1183,Micah Kiser,0.0
1184,Sebastian Joseph,0.0
1185,Gerald Everett,1.7000000000000002
1186,Terrell Burgess,0.0
1187,Josh Reynolds,2.7
1188,Nick Scott,0.0
1189,David Edwards,0.0
1190,Jalen Ramsey,0.0
1191,Ogbonnia Okoronkwo,0.0
1192,Justin Hollins,0.0
1193,David Long,0.0
1194,Cooper Kupp,8.0
1195,Michael Gallup,8.0
1196,Tyrone Crawford,0.0
1197,Brandon Knight,0.0
1198,Connor Williams,0.0
1199,Joe Thomas,0.0
1200,Xavier Woods,0.0
1201,Trevon Diggs,0.0
1202,CeeDee Lamb,10.9
1203,Zack Martin,0.0
1204,Dak Prescott,17.64
1205,Darian Thompson,0.0
1206,DeMarcus Lawrence,0.0
1207,L.P. Ladouceur,0.0
1208,Jaylon Smith,0.0
1209,Dorance Armstrong Jr.,0.0
1210,Antwaun Woods,0.0
1211,Tony Pollard,5.2
1212,Joe Looney,0.0
1213,Dalton Schultz,2.1
1214,Greg Zuerlein,0.0
1215,Everson Griffen,0.0
1216,Tyron Smith,0.0
1217,Daryl Worley,0.0
1218,Bradlee Anae,0.0
1219,Malik Turner,0.0
1220,Aldon Smith,0.0
1221,Amari Cooper,18.1
1222,Anthony Brown,0.0
1223,C.J. Goodwin,0.0
1224,Trysten Hill,0.0
1225,Cameron Erving,0.0
1226,Donovan Wilson,0.0
1227,Chris Jones,0.0
1228,Leighton Vander Esch,0.0
1229,Tyler Biadasz,0.0
1230,Noah Brown,0.0
1231,Cedrick Wilson Jr.,0.0
1232,Dontari Poe,0.0
1233,Blake Jarwin,2.2
1234,Ezekiel Elliott,27.700000000000003
1235,Chidobe Awuzie,0.0
1236,Neville Gallimore,0.0
1237,Justin March-Lillard,0.0
1238,Blake Bell,0.0
1239,Darius Slayton,28.200000000000003
1240,Graham Gano,0.0
1241,Kevin Zeitler,0.0
1242,Leonard Williams,0.0
1243,Devante Downs,0.0
1244,Dalvin Tomlinson,0.0
1245,Damion Ratley,0.0
1246,Adrian Colbert,0.0
1247,Markus Golden,0.0
1248,Dion Lewis,0.1
1249,Sean Chandler,0.0
1250,Eric Tomlinson,0.0
1251,Carter Coughlin,0.0
1252,Nate Ebner,0.0
1253,B.J. Hill,0.0
1254,James Bradberry,0.0
1255,Andrew Thomas,0.0
1256,Sterling Shepard,10.7
1257,Levine Toilolo,2.3
1258,Will Hernandez,0.0
1259,Dexter Lawrence,0.0
1260,Brandon Williams,0.0
1261,Kaden Smith,3.7
1262,Saquon Barkley,12.6
1263,Lorenzo Carter,0.0
1264,Oshane Ximines,0.0
1265,C.J. Board,3.7
1266,Nick Gates,0.0
1267,Isaac Yiadom,0.0
1268,Riley Dixon,0.0
1269,Casey Kreiter,0.0
1270,Logan Ryan,0.0
1271,Austin Johnson,0.0
1272,Kyler Fackrell,0.0
1273,Darnay Holmes,0.0
1274,Elijhaa Penny,0.0
1275,Corey Ballentine,0.0
1276,Blake Martinez,0.0
1277,Evan Engram,2.9
1278,Cameron Fleming,0.0
1279,Jabrill Peppers,0.0
1280,Julian Love,0.0
1281,Daniel Jones,17.36
1282,Wayne Gallman,2.4000000000000004
1283,Kevin Dotson,0.0
1284,Chris Wormley,0.0
1285,Chukwuma Okorafor,0.0
1286,Cameron Heyward,0.0
1287,Vince Williams,0.0
1288,James Conner,3.7
1289,Chris Boswell,0.0
1290,Terrell Edmunds,0.0
1291,Joe Haden,0.0
1292,Isaiah Buggs,0.0
1293,James Washington,11.4
1294,Stephon Tuitt,0.0
1295,Derek Watt,0.0
1296,Ray-Ray McCloud,0.0
1297,Alejandro Villanueva,0.0
1298,Cameron Sutton,0.0
1299,Vance McDonald,1.3
1300,Sean Davis,0.0
1301,Zach Banner,0.0
1302,Dustin Colquitt,0.0
1303,Olasunkanmi Adeniyi,0.0
1304,Mike Hilton,0.0
1305,Matt Feiler,0.0
1306,Jaylen Samuels,1.3
1307,Kameron Canaday,0.0
1308,Marcus Allen,0.0
1309,Diontae Johnson,9.7
1310,Tyson Alualu,0.0
1311,Alex Highsmith,0.0
1312,Steven Nelson,0.0
1313,Devin Bush Jr.,0.0
1314,Bud Dupree,0.0
1315,Eric Ebron,2.8
1316,Maurkice Pouncey,0.0
1317,Minkah Fitzpatrick,0.0
1318,Robert Spillane,0.0
1319,Chase Claypool,6.7
1320,T.J. Watt,0.0
1321,JuJu Smith-Schuster,24.9
1322,Ben Roethlisberger,22.06
1323,Benny Snell Jr.,11.3
1324,Stefen Wisniewski,0.0
1325,J.C. Hassenauer,0.0
1326,Justin Layne,0.0
1327,Jordan Dangerfield,0.0
1328,Trey Marshall,0.0
1329,DeMarcus Walker,0.0
1330,Royce Freeman,2.2
1331,Noah Fant,19.1
1332,Nick Vannett,0.3999999999999999
1333,Austin Calitro,0.0
1334,DaeSean Hamilton,2.8
1335,Diontae Spencer,0.0
1336,Michael Ojemudia,0.0
1337,Jeremiah Attaochu,0.0
1338,Duke Dawson,0.0
1339,Joseph Jones,0.0
1340,Bradley Chubb,0.0
1341,Lloyd Cushenberry III,0.0
1342,Josey Jewell,0.0
1343,Tim Patrick,6.9
1344,Graham Glasgow,0.0
1345,Alexander Johnson,0.0
1346,P.J. Locke,0.0
1347,Brandon McManus,0.0
1348,Jurrell Casey,0.0
1349,Dre'Mont Jones,0.0
1350,A.J. Bouye,0.0
1351,Justin Simmons,0.0
1352,Calvin Anderson,0.0
1353,Melvin Gordon,15.6
1354,Jake Butt,1.0
1355,Mike Purcell,0.0
1356,Phillip Lindsay,4.5
1357,Sam Martin,0.0
1358,Elijah Wilkinson,0.0
1359,Tyrie Cleveland,1.7000000000000002
1360,Andrew Beck,0.0
1361,Kareem Jackson,0.0
1362,Austin Schlottmann,0.0
1363,Garett Bolles,0.0
1364,Drew Lock,13.14
1365,Dalton Risner,0.0
1366,Jerry Jeudy,9.6
1367,Shelby Harris,0.0
1368,Malik Reed,0.0
1369,Davontae Harris,0.0
1370,Bryce Callahan,0.0
1371,Jadeveon Clowney,0.0
1372,Corey Davis,17.1
1373,Johnathan Joseph,0.0
1374,Cody Hollister,0.0
1375,Jayon Brown,0.0
1376,Rodger Saffold,0.0
1377,Dennis Kelly,0.0
1378,Isaiah Mack,0.0
1379,Kenny Vaccaro,0.0
1380,Nick Dzubnar,0.0
1381,A.J. Brown,8.9
1382,Christopher Milton,0.0
1383,Adam Humphries,10.7
1384,Chris Jackson,0.0
1385,Ty Sambrailo,0.0
1386,Stephen Gostkowski,0.0
1387,Senorise Perry,0.0
1388,Ryan Tannehill,19.36
1389,Khari Blasingame,1.5
1390,William Compton,0.0
1391,Harold Landry,0.0
1392,Joshua Kalu,0.0
1393,Tye Smith,0.0
1394,Daniel Munyer,0.0
1395,Derrick Henry,16.1
1396,Jack Crawford,0.0
1397,Jeffery Simmons,0.0
1398,Nate Davis,0.0
1399,Malcolm Butler,0.0
1400,Kamalei Correa,0.0
1401,Kristian Fulton,0.0
1402,Rashaan Evans,0.0
1403,Ben Jones,0.0
1404,Anthony Firkser,2.5
1405,MyCole Pruitt,7.1
1406,Brett Kern,0.0
1407,David Long,0.0
1408,Kalif Raymond,0.0
1409,Taylor Lewan,0.0
1410,Kevin Byard,0.0
1411,Amani Hooker,0.0
1412,Beau Brinkley,0.0
1413,Jeremy McNichols,0.0
1414,Matt Dickerson,0.0
1415,Jonnu Smith,13.6
1416,DaQuan Jones,0.0
